date,p1,p2,p3
07/1963,0.0142348753,,
08/1963,0.0666666701,,
09/1963,0.0016556291,,
10/1963,0.1603305787,,
11/1963,-0.078347579,,
12/1963,-0.003169572,,
01/1964,0.0174880754,,
02/1964,0.0081249997,,
03/1964,0.0015625,,
04/1964,0.0546021834,,
05/1964,0.038757395,,
06/1964,0.012987013,,
07/1964,0.0769230798,0.0172413792,
08/1964,0.021428572,-0.031073445,
09/1964,0.035202086,0.0147058824,
10/1964,0.0050377832,0.0347826071,
11/1964,-0.028822055,0.0123249302,
12/1964,0.0316205546,0.0069832401,
01/1965,0.035759896,-0.030513177,
02/1965,-0.016029593,-0.054363377,
03/1965,0.017676767,-0.041221373,
04/1965,0.0818858594,0.0047770701,
05/1965,-0.04472477,-0.003169572,
06/1965,-0.068209499,0.0048154094,
07/1965,0.0170656548,-0.025559105,
08/1965,0.023073345,-0.021311475,
09/1965,0.0550455645,0.0626057535,
10/1965,0.0626056765,0.0254777074,
11/1965,-0.06300694,0.0034161487,
12/1965,0.0035654103,0.0062597808,
01/1966,-0.008095161,0.00311042,
02/1966,-0.020773844,-0.039689921,
03/1966,-0.05668991,-0.03752039,
04/1966,-0.035139817,0.0491525419,
05/1966,-0.067462929,-0.057512116,
06/1966,-0.021436942,-0.046793763,
07/1966,0.0034848971,-0.013636364,0.0072727273
08/1966,-0.084190383,-0.040552996,-0.064259924
09/1966,0.0231037305,-0.004854369,-0.009765625
10/1966,-0.016741286,0.1000000015,0.1025641039
11/1966,-0.072107568,-0.03902439,-0.067620754
12/1966,-0.010773203,0.025641026,-0.015564202
01/1967,0.1458023664,0.0522727259,-0.007905139
02/1967,-0.022949747,0.0116630672,-0.02310757
03/1967,0.0602195604,0.0344827585,0.05785124
04/1967,0.1284094459,-0.0125,-0.013671875
05/1967,-0.079597732,-0.062447257,-0.019009901
06/1967,-0.019818529,0.0363636352,-0.00204499
07/1967,0.0947981842,0.05532787,-0.085526317
08/1967,-0.006301746,-0.020582523,-0.015827337
09/1967,0.0505183488,0.076305218,0.0221674871
10/1967,-0.058259194,0.0149253728,-0.024096385
11/1967,-0.009588805,-0.006617662,0.004444445
12/1967,0.0244089464,0.0150375944,0.0024875621
01/1968,-0.04516991,0.025925925,0.0347394533
02/1968,-0.023571692,-0.009386281,-0.026858512
03/1968,-0.011740618,0.0313653126,-0.012468828
04/1968,0.0981452383,0.0250447225,0.0075757578
05/1968,-0.006281683,-0.047469459,-0.020551378
06/1968,-0.002136106,0.0092764376,0.0440414511
07/1968,0.1321626927,0.012406948,-0.020249221
08/1968,0.0170121158,0.0191176478,0.0076311608
09/1968,-0.001544511,0.0291970801,0.0590111651
10/1968,0.0437019771,0.0330969281,0.0572289154
11/1968,0.0436286226,0.0590389036,-0.042735044
12/1968,-0.068663927,-0.074235804,-0.040909089
01/1969,0.0103383627,0.0188679248,-0.003159558
02/1969,-0.013629968,-0.02824074,-0.005071315
03/1969,0.0512885427,-0.004819277,0.0547504015
04/1969,-0.009199309,0.0920096859,-0.003053435
05/1969,0.0364712495,0.0128603112,0.0241960194
06/1969,-0.071387225,-0.039823011,-0.041538462
07/1969,-0.095362461,-0.070626006,-0.074603178
08/1969,0.0536779514,0.0134715028,0.0956521705
09/1969,-0.05375108,0.0120689655,-0.08730159
10/1969,-0.025573835,0.0221465081,0.0399999991
11/1969,-0.046235969,-0.033333335,-0.042372882
12/1969,-0.012338825,-0.026408451,-0.029498525
01/1970,-0.08004489,-0.074141048,-0.079635255
02/1970,-0.010733048,0.0972656235,0.1375838965
03/1970,0.0566224703,0.0720720738,0.0796460211
04/1970,-0.065178926,-0.067226894,-0.057923496
05/1970,0.0630729529,-0.052612614,-0.00882353
06/1970,-0.041343526,-0.04238921,0.0415430255
07/1970,0.0881747737,0.1181818172,0.1324200928
08/1970,0.096773306,0.0140921408,0.0770161301
09/1970,-0.014019356,-0.01897019,0.017077798
