date,p1,p2,p3
07/1963,-0.002446262,0.0063898121,-0.009866641
08/1963,0.060518448,0.0452049211,0.0677979628
09/1963,-0.013660271,-0.017976315,-0.014762595
10/1963,0.0632191197,0.0146420718,0.0210871744
11/1963,-0.016940136,-0.004736645,-0.00707556
12/1963,0.0198228501,0.0343900567,0.0183586809
01/1964,0.0272873676,0.0321918132,0.0248687863
02/1964,0.0235042745,0.016225811,0.0295088038
03/1964,0.0224508502,0.0189849942,0.0448040227
04/1964,-0.00466287,0.0138093299,-0.004499285
05/1964,0.0197655129,0.0161994428,0.0132229735
06/1964,0.0095284434,0.0116348914,0.0162964673
07/1964,0.023471745,0.0239058134,0.0184000558
08/1964,-0.010472476,-0.011005472,-0.021371014
09/1964,0.0313496167,0.0404421414,0.0283480461
10/1964,0.001925507,0.0212559602,0.0134772216
11/1964,0.0005379041,0.019705175,0.0018803216
12/1964,0.0078578103,-0.000488222,-0.006470815
01/1965,0.0620533124,0.0289542092,0.0184987847
02/1965,0.0078289449,0.0062642622,-0.002510391
03/1965,-0.009895317,-0.012981075,-0.015534082
04/1965,0.0525620079,0.0314512068,0.0239134128
05/1965,-0.003832518,-0.003289462,-0.004692073
06/1965,-0.059500409,-0.04290727,-0.046490778
07/1965,0.0194040193,0.0233072835,0.0109664267
08/1965,0.0387779401,0.0337891072,0.021825725
09/1965,0.0407944673,0.043325518,0.035715397
10/1965,0.0354837905,0.032547504,0.0350587162
11/1965,0.0019362712,0.0127653082,0.0020636863
12/1965,0.0094140399,0.0165770423,0.0183395296
01/1966,0.0112296542,0.0111715463,0.0268919009
02/1966,0.0052022461,-0.02116039,-0.017907274
03/1966,-0.021245507,-0.016799114,-0.025423233
04/1966,0.0231940288,0.0332294199,0.0244831798
05/1966,-0.054836426,-0.057660045,-0.052401184
06/1966,-0.012460812,-0.008863674,-0.017223351
07/1966,-0.017205651,-0.008956041,-0.001987616
08/1966,-0.074893466,-0.066541987,-0.074047448
09/1966,-0.032506459,0.0076775381,0.0034981938
