date,p1,p2,p3
07/1963,-0.000774278,,
08/1963,0.0532338104,,
09/1963,-0.017353932,,
10/1963,0.0255725156,,
11/1963,-0.010244595,,
12/1963,0.0233392789,,
01/1964,0.0245239954,,
02/1964,0.020066013,,
03/1964,0.0197978316,,
04/1964,0.0023765004,,
05/1964,0.0179640536,,
06/1964,0.0118820872,,
07/1964,0.0246372895,,
08/1964,-0.011854805,,
09/1964,0.0327389741,,
10/1964,0.0113218912,,
11/1964,0.0058112914,,
12/1964,0.0001041401,,
01/1965,0.0411356622,,
02/1965,0.00705487,,
03/1965,-0.009311463,,
04/1965,0.0327900198,,
05/1965,-0.006809619,,
06/1965,-0.052101465,,
07/1965,0.0197720462,,
08/1965,0.0318844537,,
09/1965,0.0340829134,,
10/1965,0.0316199514,,
11/1965,0.0082431713,,
12/1965,0.0148787076,,
01/1966,0.0141509979,,
02/1966,-0.009932702,,
03/1966,-0.019213934,,
04/1966,0.0266570338,,
05/1966,-0.054487046,,
06/1966,-0.011505307,,
07/1966,-0.011887779,,
08/1966,-0.077070892,,
09/1966,-0.006160072,,
10/1966,0.0420466751,,
11/1966,0.0216940593,,
12/1966,0.0051440152,,
01/1967,0.0854519951,,
02/1967,0.0113912734,,
03/1967,0.0432252102,,
04/1967,0.0433074482,,
05/1967,-0.036950684,,
06/1967,0.0277970462,,
07/1967,0.0565571474,,
08/1967,-0.00498808,,
09/1967,0.0355028814,,
10/1967,-0.027149958,,
11/1967,0.0078429718,,
12/1967,0.0356279211,,
01/1968,-0.037854304,,
02/1968,-0.033501432,,
03/1968,0.0069300756,,
04/1968,0.0981852489,,
05/1968,0.0292839418,,
06/1968,0.0103449823,,
07/1968,-0.022608686,,
08/1968,0.0187333265,,
09/1968,0.0449414389,,
10/1968,0.0075287707,,
11/1968,0.0597124565,,
12/1968,-0.032387875,,
01/1969,-0.008762814,,
02/1969,-0.055096089,,
03/1969,0.0335370143,,
04/1969,0.0168589012,,
05/1969,0.0039016488,,
06/1969,-0.067835568,,
07/1969,-0.067122156,,
08/1969,0.0532999931,,
09/1969,-0.023130101,,
10/1969,0.0574805704,,
11/1969,-0.03488088,,
12/1969,-0.017788954,,
01/1970,-0.076933388,,
02/1970,0.0554257769,,
03/1970,-0.006649575,,
04/1970,-0.106863451,,
05/1970,-0.064906185,,
06/1970,-0.049622295,,
07/1970,0.0712092288,,
08/1970,0.0512702576,,
09/1970,0.0503835737,,
10/1970,-0.016970759,,
11/1970,0.0492176141,,
12/1970,0.0606274453,,
01/1971,0.04962268,,
02/1971,0.021786299,,
03/1971,0.0458847582,,
04/1971,0.0341271304,,
05/1971,-0.03617384,,
06/1971,0.0031583295,,
07/1971,-0.042153786,,
08/1971,0.0433353977,,
09/1971,-0.005167097,,
10/1971,-0.040677653,,
11/1971,-0.001157799,,
12/1971,0.0918280769,,
01/1972,0.0289659949,,
02/1972,0.0322190853,,
03/1972,0.0093448031,,
04/1972,0.0067742592,,
05/1972,0.015265028,,
06/1972,-0.020009627,,
07/1972,-0.00483856,,
08/1972,0.0353180762,,
09/1972,-0.010386725,,
10/1972,0.0087877234,,
11/1972,0.0482962148,,
12/1972,0.0088555148,,
01/1973,-0.028449736,,
02/1973,-0.044198578,,
03/1973,-0.007962955,,
04/1973,-0.052486176,,
05/1973,-0.025928848,,
06/1973,-0.0102025,,
07/1973,0.0585348758,,
08/1973,-0.030503392,,
09/1973,0.0523272152,,
10/1973,0.0008691418,,
11/1973,-0.123732522,,
12/1973,0.0126826845,,
01/1974,0.0031890061,,
02/1974,-0.001419695,,
03/1974,-0.021255339,,
04/1974,-0.04538644,,
05/1974,-0.043697186,,
06/1974,-0.023849425,,
07/1974,-0.069621431,,
08/1974,-0.092493325,,
09/1974,-0.111853493,,
10/1974,0.1707179737,,
11/1974,-0.038132837,,
12/1974,-0.031340207,,
01/1975,0.1435026164,,
02/1975,0.0607373513,,
03/1975,0.030224662,,
04/1975,0.0493158956,,
05/1975,0.0584192164,,
06/1975,0.0533948377,,
07/1975,-0.062144434,,
08/1975,-0.023491428,,
09/1975,-0.038646927,,
10/1975,0.0576671661,,
11/1975,0.0292067966,,
12/1975,-0.011829223,,
01/1976,0.127533658,,
02/1976,0.0050702135,,
03/1976,0.0277361501,,
04/1976,-0.011125817,,
05/1976,-0.007957484,,
06/1976,0.0459888052,,
07/1976,-0.006500657,,
08/1976,-0.003498439,,
09/1976,0.0253318996,,
10/1976,-0.022193413,,
11/1976,0.0061975755,,
12/1976,0.0623887226,,
01/1977,-0.036919403,,
02/1977,-0.017480779,,
03/1977,-0.008474454,,
04/1977,0.0056948056,,
05/1977,-0.012284942,,
06/1977,0.0534271666,,
07/1977,-0.01239298,,
08/1977,-0.013657608,,
09/1977,-0.000343818,,
10/1977,-0.037194061,,
11/1977,0.0468793379,,
12/1977,0.0074853873,,
01/1978,-0.054652364,,
02/1978,-0.012118649,,
03/1978,0.0348649271,,
04/1978,0.085312098,,
05/1978,0.0250771507,,
06/1978,-0.010880319,,
07/1978,0.0589710161,,
08/1978,0.0445979561,,
09/1978,-0.009254864,,
10/1978,-0.11549315,,
11/1978,0.0344642856,,
12/1978,0.0184496314,,
01/1979,0.0512101991,,
02/1979,-0.029251053,,
03/1979,0.0673823524,,
04/1979,0.0094028856,,
05/1979,-0.01472417,,
06/1979,0.0477982649,,
07/1979,0.0169658733,,
08/1979,0.0638777623,,
09/1979,0.0019425161,,
10/1979,-0.072811391,,
11/1979,0.0631177076,,
12/1979,0.0292763347,,
01/1980,0.0664622313,,
02/1980,-0.002302823,,
03/1980,-0.121230514,,
04/1980,0.0523702313,,
05/1980,0.0608390941,,
06/1980,0.0388099394,,
07/1980,0.0707618391,,
08/1980,0.0234083489,,
09/1980,0.0302396512,,
10/1980,0.0219380364,,
11/1980,0.1102652603,,
12/1980,-0.033076022,,
01/1981,-0.043105654,,
02/1981,0.0153825855,,
03/1981,0.0472159588,,
04/1981,-0.013053514,,
05/1981,0.0107730777,,
06/1981,-0.008844287,,
07/1981,-0.003471471,,
08/1981,-0.058363458,,
09/1981,-0.062556373,,
10/1981,0.0617291359,,
11/1981,0.0453612919,,
12/1981,-0.02711499,,
01/1982,-0.026189784,,
02/1982,-0.048326603,,
03/1982,-0.009895857,,
04/1982,0.0469324022,,
05/1982,-0.028625413,,
06/1982,-0.0214636,,
07/1982,-0.021687414,,
08/1982,0.1172144762,,
09/1982,0.0202143155,,
10/1982,0.1189834986,,
11/1982,0.053526917,,
12/1982,0.0138979097,,
01/1983,0.0393851989,,
02/1983,0.033436045,,
03/1983,0.0360465048,,
04/1983,0.0749329837,,
05/1983,0.0144207431,,
06/1983,0.038184884,,
07/1983,-0.0335126,,
08/1983,0.0005531371,,
09/1983,0.0166149752,,
10/1983,-0.026728465,,
11/1983,0.0286331459,,
12/1983,-0.010931844,,
01/1984,-0.014371024,,
