date,p1,p2,p3
08/1963,0.0693542232,0.0582122708,0.0497272968
09/1963,-0.019788391,-0.021846692,-0.015828419
10/1963,0.0262613322,0.0224634687,0.0265713151
11/1963,-0.010425971,-0.010415816,-0.010081211
12/1963,0.0042585709,0.0133381237,0.0298813597
01/1964,0.0129559619,0.0211078185,0.0276934046
02/1964,0.0316967762,0.0251255834,0.0169794358
03/1964,0.0210015183,0.0243820568,0.0184248327
04/1964,-0.012822473,-0.007550496,0.0073480817
05/1964,0.0252123752,0.0112398922,0.0182516505
06/1964,0.0055813309,0.0207964475,0.0104999284
07/1964,0.0127881211,0.0201855887,0.027544384
08/1964,-0.019877785,-0.00332922,-0.013104359
09/1964,0.0540643191,0.0395040517,0.0280365512
10/1964,0.0109584116,0.0094057452,0.0118543245
11/1964,-0.010018978,0.0050130976,0.0080262882
12/1964,-0.002881354,-0.002404319,0.0012030932
01/1965,0.0570692735,0.0485536682,0.0366791983
02/1965,0.0423561993,0.0214893091,-0.002028275
03/1965,-0.000712532,-0.007272219,-0.011204008
04/1965,0.049529064,0.0373296244,0.0292126249
05/1965,-0.009935914,-0.008356488,-0.005558081
06/1965,-0.098756384,-0.065975008,-0.041405485
07/1965,0.0358236617,0.0205484538,0.0174183733
08/1965,0.0697095016,0.0451139997,0.0227605937
09/1965,0.0432097997,0.0390281028,0.031263175
10/1965,0.0693112198,0.0475401018,0.0203083958
11/1965,0.0686863408,0.0231959085,-0.006958243
12/1965,0.0430256102,0.0232185696,0.0069496466
01/1966,0.0595645207,0.0364165657,-0.000751067
02/1966,0.046754419,0.0088949661,-0.026375472
03/1966,-0.01911386,-0.012279364,-0.021660912
04/1966,0.0520192985,0.0372321745,0.0180386474
05/1966,-0.106477695,-0.061738015,-0.041253079
06/1966,0.0201257665,-0.009739815,-0.018569476
07/1966,-0.016014723,-0.025242219,-0.005997459
08/1966,-0.097437159,-0.082959734,-0.07005069
09/1966,-0.045016929,0.0022088188,-0.000310993
10/1966,-0.030045904,0.0522098987,0.0571561436
11/1966,0.1062181611,0.0276454116,0.0001110175
12/1966,0.0125433516,0.0116297692,0.0000172666
01/1967,0.1526743245,0.0925619139,0.0674878326
02/1967,0.0272739829,0.0172119819,0.0057606939
