date,p1,p2,p3
07/1963,0.0036985963,0.0016304256,-0.007549046
08/1963,0.0525559646,0.0533252362,0.0569156409
09/1963,-0.016878004,-0.021171828,-0.012558742
10/1963,0.0394778332,0.0034398634,0.0260940223
11/1963,-0.012307173,-0.008365517,-0.008302949
12/1963,0.0292911609,0.023474777,0.010014307
01/1964,0.0321874738,0.0138432293,0.0167639051
02/1964,0.0180755624,0.0169377761,0.0332375902
03/1964,0.0178445729,0.0219211196,0.0295235832
04/1964,0.0047768225,0.0008755411,0.0067580099
05/1964,0.0178640787,0.0075940832,0.0251353842
06/1964,0.009611775,0.017338825,0.0219198972
07/1964,0.0254207908,0.0296316693,0.0136593174
08/1964,-0.015458294,-0.003003159,-0.006841047
09/1964,0.031002571,0.036459652,0.0397041501
10/1964,0.0100387417,0.0142995852,0.0085685659
11/1964,0.0108398695,0.0093456223,-0.012388985
12/1964,0.0053074762,-0.003485004,-0.008551692
01/1965,0.0383174346,0.0387626764,0.0488229914
02/1965,0.000310853,0.0119033588,0.0196119718
03/1965,-0.015148144,-0.005058602,-0.002609361
04/1965,0.0344288935,0.0325259252,0.0381174978
05/1965,-0.004554526,-0.0021245,-0.007899708
06/1965,-0.044701763,-0.04971841,-0.064748536
07/1965,0.0140686206,0.0237497313,0.0293182977
08/1965,0.0317229796,0.0253886346,0.0346391241
09/1965,0.0412063182,0.0239973193,0.0326115833
10/1965,0.0273842565,0.0312486684,0.0466635411
11/1965,0.0003423456,0.01664379,0.0136177589
12/1965,0.0092610462,0.0143135882,0.0240627622
01/1966,0.0052289596,0.0099701096,0.038593122
02/1966,-0.015620458,-0.014124751,0.0049589204
03/1966,-0.017268992,-0.016751716,-0.022699519
04/1966,0.0280635279,0.0124296977,0.0365398542
05/1966,-0.049860007,-0.049492494,-0.070057486
06/1966,-0.016778805,-0.0095782,0.0031924075
07/1966,-0.012860669,-0.005992701,-0.013474644
08/1966,-0.075913803,-0.070655921,-0.085394451
09/1966,-0.011788432,0.0103057978,-0.006998823
10/1966,0.0366740012,0.0526946231,0.0657081265
11/1966,0.0317314323,0.0039639937,0.0068430398
12/1966,-0.004062253,0.0125096285,0.0145370559
01/1967,0.0738192687,0.0787015486,0.1104644234
02/1967,0.0194066314,-0.005413775,-0.001129238
03/1967,0.0424573187,0.0443332049,0.0430485884
04/1967,0.054383085,0.0332649511,0.0307318401
05/1967,-0.042280432,-0.042101661,-0.031993854
