date,p1,p2,p3
07/1963,-0.002987055,0.0006191096,-0.000335168
08/1963,0.051055843,0.0480055462,0.0719189446
09/1963,-0.02042126,-0.016864045,-0.01212568
10/1963,0.0151499777,0.0461816183,0.0182969911
11/1963,-0.004765315,-0.017944324,-0.004161489
12/1963,0.023790065,0.0283110241,0.0245390761
01/1964,0.0232996689,0.0325323627,0.0197883694
02/1964,0.0221137933,0.0139701588,0.0259556356
03/1964,0.0080008241,0.0261522871,0.0410772972
04/1964,0.0127667168,-0.002128607,-0.021045483
05/1964,0.0200333583,0.0165978013,0.009472032
06/1964,0.0132943267,0.0136060213,0.0129537945
07/1964,0.0257027397,0.0299654552,0.0143334458
08/1964,-0.009695542,-0.015586444,-0.009792892
09/1964,0.0250248436,0.0371365672,0.05575101
10/1964,0.0107573705,0.0198870458,0.0044596701
11/1964,0.0092110771,0.0102110807,-0.01787688
12/1964,0.0054086828,-0.005075033,-0.009608495
01/1965,0.0285412065,0.0546585269,0.0582545954
02/1965,-0.003697812,0.0069061409,0.0362092155
03/1965,-0.015313756,-0.001434008,-0.007428705
04/1965,0.0343824221,0.0275805555,0.0378596469
05/1965,-0.005843683,-0.005630026,-0.01240395
06/1965,-0.040991856,-0.051791997,-0.067368346
07/1965,0.015918732,0.0234917473,0.0235691079
08/1965,0.0207304409,0.0319628049,0.049809989
09/1965,0.0404597109,0.0159895883,0.0581471926
10/1965,0.0319140299,0.0246318535,0.0419680199
11/1965,0.0034705545,0.0013824826,0.0130207497
12/1965,0.0104823657,0.010392944,0.0247172828
01/1966,0.0086762571,0.0037483847,0.0295840994
02/1966,-0.018351875,-0.01373901,-0.001034047
03/1966,-0.023833515,-0.013200961,-0.023742716
04/1966,0.0192444816,0.0315952977,0.0262939313
05/1966,-0.054536051,-0.047418551,-0.059379505
06/1966,-0.02059291,-0.007599122,-0.000685025
07/1966,-0.010163293,-0.011540444,-0.009205634
08/1966,-0.081637552,-0.071966723,-0.062779451
09/1966,-0.003544947,0.0019178205,-0.016968731
10/1966,0.0447474454,0.0542871591,0.0438373944
11/1966,0.0184626578,0.0004849435,0.0358622279
12/1966,-0.004963934,0.0049872516,0.0138451982
01/1967,0.0793805148,0.0656593596,0.1008054605
02/1967,0.0043508833,0.0019264201,0.0208373129
03/1967,0.0512445541,0.0328738802,0.0405087282
04/1967,0.058098823,0.0450830657,0.0163755182
05/1967,-0.0474414,-0.036995173,-0.035773465
06/1967,0.0280902837,0.0201653046,0.019685457
07/1967,0.0524353565,0.0607315335,0.0500646143
08/1967,-0.006840204,-0.006456466,-0.001631913
09/1967,0.0305970726,0.0470658118,0.0131981192
10/1967,-0.024698578,-0.019995031,-0.048937664
11/1967,0.0157811669,0.0096256673,-0.009272799
12/1967,0.0241610368,0.0332655572,0.0479555543
01/1968,-0.057898576,-0.030492229,-0.010141432
02/1968,-0.042915366,-0.02976629,-0.017206698
03/1968,0.0299447849,-0.004327141,-0.011417484
04/1968,0.1167616538,0.0873975866,0.0702103854
05/1968,0.0386452104,0.0183785023,0.0187200333
06/1968,-0.00403606,0.0134396954,0.0288607042
07/1968,-0.049975896,-0.016877054,0.0107355963
08/1968,0.0115587509,0.0222279969,0.0211640089
09/1968,0.0335254724,0.0591907056,0.0346004462
10/1968,-0.020402467,0.0237896665,0.019767034
11/1968,0.0721048416,0.0625894264,0.0427883798
12/1968,-0.037515363,-0.024900293,-0.035952538
01/1969,-0.022769935,-0.014795247,0.0052616727
02/1969,-0.057992047,-0.058368908,-0.042978518
03/1969,0.0342008008,0.0470150326,0.0275494954
04/1969,0.0247413222,0.0201147308,0.0093920162
05/1969,-0.000826476,0.0042658119,0.0084042935
06/1969,-0.044335479,-0.077580658,-0.07037071
07/1969,-0.066430226,-0.069076198,-0.06121992
08/1969,0.0723968785,0.0581437514,0.027390081
09/1969,-0.012821184,-0.030004907,-0.032983105
10/1969,0.0672318606,0.0431477601,0.0493771141
11/1969,-0.026049898,-0.030721504,-0.043442682
12/1969,-0.014691995,-0.014728135,-0.019982487
01/1970,-0.088250443,-0.081394475,-0.068478505
02/1970,0.0407873118,0.0547483569,0.0646489463
03/1970,-0.022347224,-0.012787482,0.017862721
04/1970,-0.133382064,-0.100734874,-0.075711625
05/1970,-0.084055563,-0.065971752,-0.042087346
06/1970,-0.078363321,-0.039695281,-0.037085159
07/1970,0.0488097516,0.0667511395,0.0936741241
08/1970,0.0506443052,0.0507689529,0.0542897159
09/1970,0.0846193964,0.0422378626,0.0107885581
10/1970,-0.012220154,-0.01325593,-0.012113704
11/1970,0.0419785336,0.045584082,0.0645276271
12/1970,0.0494980373,0.0761673242,0.0590756857
01/1971,0.0471375263,0.0479877637,0.0451770419
02/1971,0.0233913785,0.013762277,0.0222058014
03/1971,0.0549640168,0.0307970698,0.0346386638
04/1971,0.0294825803,0.0386156095,0.0434773293
05/1971,-0.038003776,-0.034261489,-0.037308445
06/1971,0.0067318553,0.0023991073,-0.002427841
07/1971,-0.042327996,-0.028415217,-0.067896912
08/1971,0.0419254067,0.034422725,0.0594932491
09/1971,-0.006491486,0.0005661599,-0.01647833
10/1971,-0.039174248,-0.039848716,-0.04154806
11/1971,0.0018482975,0.0058634768,-0.012595109
12/1971,0.098889979,0.0827868373,0.0903788941
01/1972,0.0319229362,0.0095658261,0.0559076587
02/1972,0.0451321395,0.0188177212,0.0317938455
03/1972,0.0091231479,0.0068589547,-0.004265586
04/1972,0.0131877165,-0.001985321,0.0073968992
