date,p1,p2,p3
07/1963,-0.008848907,-0.001909897,0.0053772167
08/1963,0.0453924425,0.0509789358,0.0663356358
09/1963,-0.012663995,-0.012061395,-0.025389944
10/1963,0.0083630739,0.0205169053,0.0374485198
11/1963,-0.008190013,-0.001159906,-0.021798996
12/1963,0.0185003412,0.0326328842,0.0165673883
01/1964,0.0052322292,0.0257968168,0.0295467757
02/1964,0.023190244,0.01903982,0.0202110394
03/1964,0.0108340006,0.0161663707,0.0245749019
04/1964,0.0059820262,0.009210226,-0.003552893
05/1964,0.0056854056,0.0166674301,0.0248302566
06/1964,0.0106678848,0.0220198319,0.0058557743
07/1964,0.025871589,0.0356412944,0.0151468577
08/1964,-0.008084989,-0.007302479,-0.018558689
09/1964,0.0340519394,0.0286029267,0.0396768207
10/1964,0.0013941503,0.0244291737,0.0063289745
11/1964,-0.004514748,0.0120202978,0.0056942466
12/1964,-0.003285606,0.003264231,-0.001387956
01/1965,0.0572339144,0.0366111383,0.0333696047
02/1965,0.0228682579,0.000164675,0.0035016813
03/1965,-0.014638215,-0.004533709,-0.010188199
04/1965,0.0287975538,0.0286944929,0.0439046797
05/1965,-0.006047633,-0.010288578,-0.000109365
06/1965,-0.034572383,-0.058093229,-0.07019381
07/1965,0.008019726,0.0137079093,0.0486020713
08/1965,0.0219513213,0.0280990064,0.0517314021
09/1965,0.0295671327,0.0318361069,0.0448713862
10/1965,0.0249295681,0.0226980962,0.0532863285
11/1965,-0.005106333,-0.000883941,0.0256725894
12/1965,0.0267352046,0.0111886895,0.0114138123
01/1966,-0.003431729,0.0056234988,0.0487884548
02/1966,-0.030056569,-0.016586666,0.0368833957
03/1966,-0.023564367,-0.020993519,-0.006254254
04/1966,0.0114618693,0.0398182996,0.049953457
05/1966,-0.04282811,-0.046481466,-0.086649856
06/1966,-0.023909011,-0.011407024,0.0144607409
07/1966,-0.0065537,-0.019007354,-0.011642801
08/1966,-0.069033335,-0.080153031,-0.082900106
09/1966,-0.018903847,0.0014871192,-0.002551732
10/1966,0.0127108389,0.066837013,0.0384649416
11/1966,0.0432413409,-0.006817935,0.033632511
12/1966,0.0229976031,0.0002937041,0.0032083468
01/1967,0.1430193877,0.0823639336,0.0628092208
02/1967,0.0005309418,0.0018971589,0.0201667535
03/1967,0.0439717297,0.0369101343,0.0487747768
04/1967,0.0492793346,0.0276362827,0.0558194535
05/1967,-0.044982011,-0.029782934,-0.03565497
06/1967,0.0075697459,0.022950259,0.0611287651
07/1967,0.0559659876,0.0541503531,0.0654058955
08/1967,-0.00201153,-0.001488526,-0.014472348
09/1967,0.031578031,0.0241998199,0.0567786984
10/1967,-0.039533482,-0.01908361,-0.021672796
11/1967,0.0146585074,0.0006952351,0.0102475758
12/1967,0.0350173182,0.0249757577,0.0469615544
01/1968,-0.021986331,-0.03141956,-0.061210057
02/1968,-0.035427099,-0.022222558,-0.044065749
03/1968,-0.001959536,0.0087766567,0.0164806282
04/1968,0.1023454801,0.088523247,0.1022579151
05/1968,0.0132658805,0.0315248521,0.039725176
06/1968,0.0066378314,0.0176819724,0.0025301751
07/1968,-0.010613481,-0.036914888,-0.021481377
08/1968,0.0121870327,0.0163591648,0.0375579132
09/1968,0.0564876692,0.0314753588,0.0559567726
10/1968,0.0185108262,0.0003943983,0.0051569346
11/1968,0.0739212312,0.0364905374,0.0812652932
12/1968,-0.04025555,-0.027985495,-0.02675406
01/1969,-0.018560432,-0.00055232,-0.008215561
02/1969,-0.042022213,-0.053959318,-0.072421704
03/1969,0.026087436,0.0349330203,0.0461716451
04/1969,0.0222193699,0.0074531208,0.0255465928
05/1969,-0.007754568,0.0031674463,0.0114527588
06/1969,-0.092957605,-0.062966332,-0.05879518
07/1969,-0.098082215,-0.056170473,-0.065364824
08/1969,0.0533168587,0.0385972459,0.0584940546
09/1969,-0.032833466,-0.036639255,-0.0166685
10/1969,0.0860603333,0.053066176,0.0530727825
11/1969,-0.057256632,-0.043791597,-0.022977121
12/1969,-0.044098223,-0.03009713,0.0030218193
01/1970,-0.107118699,-0.067066855,-0.070060828
02/1970,0.0486633492,0.0688329644,0.0520614835
03/1970,-0.00175861,0.0164695854,-0.021993461
04/1970,-0.10691126,-0.101811831,-0.108949227
05/1970,-0.03723258,-0.076619176,-0.068504583
06/1970,-0.101984908,-0.056476044,-0.023020647
07/1970,0.088817689,0.0619210267,0.0739479952
