date,p1,p2,p3
07/1963,-0.014525505,0.0038082732,0.0003471477
08/1963,0.0568847838,0.0483837174,0.055805587
09/1963,-0.020798687,-0.007272493,-0.027259704
10/1963,0.0072569874,0.0206169563,0.0370452882
11/1963,0.0029980206,-0.009432504,-0.016757409
12/1963,0.0023877837,0.0260690275,0.028739698
01/1964,0.0083113652,0.0234447185,0.0340864255
02/1964,0.0151783832,0.0166563439,0.0239988216
03/1964,0.0173058142,0.0175155086,0.0218785959
04/1964,0.0096506482,0.0022701246,0.0009534041
05/1964,0.0043842133,0.010934957,0.0285234683
06/1964,0.0135082501,0.0189238693,0.0074120913
07/1964,0.0284602756,0.0273514257,0.0223056376
08/1964,-0.005290907,-0.012637873,-0.013254159
09/1964,0.0360463895,0.0298105077,0.034492726
10/1964,0.0169560547,0.0121507074,0.0070356941
11/1964,-0.000574412,0.002847879,0.0112723025
12/1964,-0.000027459,0.0009412822,-0.000910021
01/1965,0.0558010408,0.0404738405,0.0296383453
02/1965,0.021361548,-0.002784778,0.0067947284
03/1965,-0.010784674,-0.011948197,-0.005296131
04/1965,0.0259805907,0.0231170484,0.0502353007
05/1965,-0.009057674,-0.007774811,0.0007042058
06/1965,-0.036363829,-0.051246365,-0.075275149
07/1965,0.0057456338,0.0186758349,0.0472678715
08/1965,0.0275497193,0.0232227727,0.0495802338
09/1965,0.0238801327,0.0302226974,0.052836266
10/1965,0.0226489125,0.0263381114,0.0521409163
11/1965,-0.003657849,-0.004241972,0.0338765585
12/1965,0.0163315648,0.0094212198,0.017978918
01/1966,-0.00530776,0.0086182494,0.0526706335
02/1966,-0.027794635,-0.014731971,0.0309109241
03/1966,-0.021881571,-0.023183291,-0.006464678
04/1966,0.0082441615,0.0319240132,0.0527595617
05/1966,-0.043472746,-0.044340418,-0.083265062
06/1966,-0.02081133,-0.019832289,0.0168568118
07/1966,-0.003017678,-0.022389116,-0.014341647
08/1966,-0.068802274,-0.077865659,-0.089725246
09/1966,0.0004400685,0.0037019433,-0.028121957
10/1966,0.0589991972,0.0600186458,-0.003462586
11/1966,-0.007596908,0.0174506605,0.0538272494
12/1966,0.007177707,0.0024300295,0.0051122699
01/1967,0.1393700156,0.0685110788,0.0698082964
02/1967,-0.007511074,0.00670272,0.022543231
03/1967,0.038419458,0.0415120378,0.0470778025
04/1967,0.0545469459,0.0261409799,0.0479633596
05/1967,-0.043243535,-0.032331411,-0.036241597
06/1967,0.017022517,0.009470659,0.0545332686
07/1967,0.0700063133,0.0509419781,0.0517727352
08/1967,-0.004937846,0.0010702821,-0.01139508
09/1967,0.0350149968,0.0253886848,0.0472701818
10/1967,-0.042409834,-0.031453564,0.002383714
11/1967,0.0030542023,0.0042406937,0.0206557415
12/1967,0.0282660502,0.033311506,0.0463484684
01/1968,-0.019689205,-0.039744225,-0.061786917
02/1968,-0.022158266,-0.026610048,-0.051806532
03/1968,-0.005837627,0.0058676756,0.0309129877
04/1968,0.0838866804,0.0859852887,0.1282108947
05/1968,0.0104871504,0.0334766396,0.0450844097
06/1968,0.0248565436,0.0083227282,-0.001338412
07/1968,-0.025221957,-0.008185941,-0.039170699
08/1968,0.0114791745,0.0200844602,0.0260402214
09/1968,0.0531692157,0.035195002,0.0447671971
10/1968,0.0190280777,0.0140956643,-0.012368187
11/1968,0.056180551,0.056560826,0.0737677656
12/1968,-0.03943175,-0.027250019,-0.029799698
01/1969,-0.012063198,-0.005104676,-0.011284163
02/1969,-0.040044568,-0.054391099,-0.08154467
03/1969,0.0221499126,0.0418024998,0.0492318172
04/1969,0.0207075139,0.0078517996,0.0249866347
05/1969,-0.00948716,0.0053334055,0.016261793
06/1969,-0.044049874,-0.06286546,-0.088681822
07/1969,-0.073757289,-0.052027688,-0.074303091
08/1969,0.0415964064,0.0456151768,0.062708685
09/1969,-0.037358541,-0.034256016,-0.01525354
10/1969,0.0802217833,0.0517023147,0.0523260534
11/1969,-0.053880893,-0.04653904,-0.021627799
12/1969,-0.058786642,-0.029330845,0.0013018617
01/1970,-0.079081987,-0.086789685,-0.071342645
02/1970,0.0470563694,0.0596716852,0.0545607441
03/1970,-0.014589348,0.0163782597,-0.013919553
04/1970,-0.109155984,-0.099634709,-0.107017575
05/1970,-0.032078442,-0.065422796,-0.073600803
06/1970,-0.081436509,-0.050849182,-0.040114085
07/1970,0.1025048846,0.0974967028,0.0508572324
08/1970,0.0928894453,0.0582926343,0.0386311219
09/1970,0.1160618642,0.0560912775,0.0267226194
10/1970,-0.087684513,-0.012586623,-0.001958379
11/1970,0.0298748077,0.0504718247,0.0541771556
12/1970,0.0762465762,0.0744151427,0.0486647938
01/1971,0.1139983939,0.0499862018,0.0302843579
02/1971,0.016935701,0.0203937626,0.0237884714
03/1971,0.0652551157,0.044152755,0.0376338085
04/1971,0.0308731655,0.0238478463,0.0491946096
05/1971,-0.035271481,-0.036542948,-0.037072563
06/1971,-0.004762786,0.0008295657,0.0160580418
07/1971,-0.028822871,-0.038376937,-0.063580487
08/1971,0.0278386542,0.0419973321,0.0607648634
09/1971,-0.016453874,0.001145127,-0.001843645
10/1971,-0.041414629,-0.033108891,-0.047559441
11/1971,-0.006423572,0.0009161197,0.0028291065
12/1971,0.0990578558,0.0825894615,0.0943738781
01/1972,0.0179592124,0.030430324,0.0304297471
02/1972,0.0236562625,0.0220187562,0.0459640599
03/1972,-0.017962761,0.009936201,0.0190969551
04/1972,-0.005881473,0.0036454626,0.0153645208
05/1972,0.0049797751,0.003489305,0.031779233
06/1972,-0.034202558,-0.022291001,-0.012603785
07/1972,-0.031199009,-0.011201215,0.0108530754
08/1972,0.0720760978,0.0565860621,0.0096459984
09/1972,-0.024814237,-0.013723651,-0.003262701
10/1972,-0.002248404,0.0157597428,0.0079318943
11/1972,0.0950956051,0.0754035671,0.022542496
12/1972,-0.02790764,-0.004690114,0.0279372936
01/1973,-0.072328746,-0.043454476,-0.00691424
02/1973,-0.08402805,-0.037435002,-0.037268611
03/1973,-0.033736492,-0.018560093,0.0031497438
04/1973,-0.103962605,-0.05038471,-0.039482802
05/1973,-0.095255845,-0.042143874,-0.007579045
06/1973,-0.04725086,-0.02555665,0.0000205657
07/1973,0.1611278818,0.102080036,0.0334793548
08/1973,-0.055068253,-0.029756863,-0.027822505
09/1973,0.1260359386,0.0991467905,0.0268428974
10/1973,-0.041425702,-0.031630364,0.0226716182
11/1973,-0.204153698,-0.127601064,-0.099972801
12/1973,-0.060265078,-0.005415889,0.0359888606
01/1974,0.0991795839,0.0219427794,-0.020255319
02/1974,0.0009190499,-0.01017326,0.0032383364
03/1974,-0.016716385,-0.011999156,-0.030563317
04/1974,-0.058341148,-0.041400449,-0.04086604
05/1974,-0.039426445,-0.024345187,-0.066499372
06/1974,-0.032081202,-0.022305744,-0.017034379
07/1974,-0.071269784,-0.08014001,-0.054493678
08/1974,-0.104200257,-0.089879679,-0.091850728
09/1974,-0.127642772,-0.127959647,-0.086173837
10/1974,0.1890880491,0.1524928462,0.1788157786
11/1974,-0.045961652,-0.042269774,-0.02710711
12/1974,-0.053337589,-0.028905241,-0.018969991
01/1975,0.2193457293,0.1267640554,0.1021116736
02/1975,0.0579377648,0.0712084827,0.0534745779
03/1975,0.0453662405,0.0148472225,0.0358162546
04/1975,0.0609922085,0.046868559,0.0449474704
05/1975,0.0617435294,0.0585970755,0.0550708586
06/1975,0.0535270067,0.0507948099,0.0584786122
07/1975,-0.07315209,-0.057993838,-0.052456663
08/1975,-0.025824039,-0.017914468,-0.02948788
09/1975,-0.050230572,-0.026483964,-0.041252537
10/1975,0.0657674562,0.0570489413,0.0512553163
