date,p1,p2,p3
07/1963,0.0058479222,-0.002931537,-0.009711575
08/1963,0.0457331902,0.0516189625,0.0721889804
09/1963,-0.021256089,-0.016389969,-0.012647366
10/1963,0.0287720612,0.0196158495,0.0381029262
11/1963,-0.011966493,-0.001668867,-0.012236715
12/1963,0.0305749188,0.0189674163,0.02101244
01/1964,0.0264997887,0.030193181,0.0091738847
02/1964,0.0201767458,0.0198555877,0.0200877924
03/1964,0.0138309218,0.0219351553,0.0318609813
04/1964,0.010873194,0.0020286623,-0.013958443
05/1964,0.022572105,0.0165217036,0.0074073247
06/1964,0.0098993602,0.0110146448,0.0182382246
07/1964,0.0219462545,0.0293677654,0.0223785983
08/1964,-0.009892384,-0.015381426,-0.006918542
09/1964,0.0383435147,0.0256669398,0.0347620266
10/1964,0.017304987,0.0020475416,0.0129712447
11/1964,-0.000203457,0.0095340014,0.0082761729
12/1964,0.0026853134,0.0014289909,-0.008247222
01/1965,0.0354101047,0.0430030519,0.0523356306
02/1965,0.0047896983,-0.000618324,0.029641165
03/1965,-0.008947824,-0.011351837,-0.007032213
04/1965,0.042692445,0.0226194292,0.0264707808
05/1965,-0.002889117,-0.009825941,-0.005984899
06/1965,-0.04391281,-0.04741413,-0.065698159
07/1965,0.0180494847,0.0168511078,0.0272344547
08/1965,0.0314418094,0.0258890935,0.0389666107
09/1965,0.0331424894,0.0315341825,0.0411325388
10/1965,0.0355289806,0.0235194933,0.0355456128
11/1965,0.0078621919,-0.002498934,0.0231219982
12/1965,0.0091907091,0.02056616,0.0111639392
01/1966,0.0229973619,0.0006312579,0.0232066268
02/1966,-0.016986118,-0.017562779,0.0110669781
03/1966,-0.012898332,-0.022155634,-0.021165389
04/1966,0.0363190477,0.0270359417,0.0180550548
05/1966,-0.066066125,-0.049806624,-0.05120985
06/1966,0.0029440298,-0.017599645,-0.017660134
07/1966,-0.016417219,-0.014810996,-0.004206713
08/1966,-0.086889333,-0.07484375,-0.06803461
09/1966,-0.014325765,0.0057757083,-0.011411279
10/1966,0.0249747063,0.0603126084,0.0390344702
11/1966,0.0572894102,-0.00558061,0.0023521059
12/1966,0.0007944017,0.0028779265,0.0147631076
01/1967,0.1013430702,0.0699330747,0.0912481031
02/1967,0.0292044852,0.0129790833,-0.00154174
03/1967,0.0534320661,0.055745301,0.0306662066
04/1967,0.0506354557,0.0243280984,0.0511708131
05/1967,-0.02998906,-0.023333085,-0.048222603
06/1967,0.0414931842,0.0453031766,0.0072553038
07/1967,0.0480889992,0.0663580825,0.0558276498
08/1967,-0.00870428,-0.002381257,-0.003059663
09/1967,0.0380689283,0.0284754129,0.0379494804
10/1967,-0.011465987,-0.037989182,-0.047849563
11/1967,0.0222501502,-0.009694927,-0.001253969
12/1967,0.0312825572,0.0269269032,0.0574520137
01/1968,-0.04571086,-0.029078769,-0.028743025
02/1968,-0.03295001,-0.026635202,-0.03688533
03/1968,0.0180102856,-0.003528408,0.0051587125
04/1968,0.1195180184,0.0798117755,0.0901610981
05/1968,0.0531822906,0.031494685,0.0055023344
06/1968,-0.008099018,0.0023900168,0.0307646312
07/1968,-0.052761898,-0.030128158,-0.000125429
08/1968,0.0281760282,0.0140154193,0.0189062135
09/1968,0.0376518928,0.0499537025,0.0415318857
10/1968,0.0096064226,0.0032319396,0.0131292969
11/1968,0.070583862,0.0454573213,0.0688902851
12/1968,-0.031367382,-0.03243967,-0.034392933
01/1969,-0.018365732,-0.011814769,0.0039905371
02/1969,-0.052504166,-0.048657975,-0.062581563
03/1969,0.0532002645,0.028120008,0.0247503612
04/1969,0.0205595092,0.0141221679,0.0168099716
05/1969,0.0021233146,0.0118099082,-0.002875515
06/1969,-0.085748655,-0.056559507,-0.065050272
07/1969,-0.089655082,-0.051706834,-0.069321039
08/1969,0.0806089443,0.0486046697,0.0412147936
09/1969,-0.03156862,-0.023509614,-0.021084337
10/1969,0.0645790774,0.0522357014,0.053522641
11/1969,-0.04230988,-0.035138493,-0.030595651
12/1969,-0.034580398,-0.019980717,-0.005804236
01/1970,-0.088555875,-0.065780914,-0.078088248
02/1970,0.0533819497,0.0659807763,0.0474936429
03/1970,-0.007318187,-0.005054973,-0.003004951
04/1970,-0.113282523,-0.089056567,-0.115958014
05/1970,-0.051482984,-0.063436201,-0.086265342
06/1970,-0.053351265,-0.041471679,-0.064342719
07/1970,0.0726453016,0.0657288616,0.084392249
08/1970,0.049731348,0.0515964057,0.0675585386
09/1970,0.0435222206,0.0338942188,0.1169453075
10/1970,-0.006267828,-0.020216368,-0.061106606
11/1970,0.0510728301,0.0538301354,0.0400106973
12/1970,0.0595181682,0.0708549026,0.0519325324
01/1971,0.0436892079,0.0565482492,0.0460232347
02/1971,0.0223340112,0.0084349588,0.0351923406
03/1971,0.0596246203,0.0318277098,0.0385417747
04/1971,0.0245317505,0.0322701676,0.0536814307
05/1971,-0.026056701,-0.046960101,-0.036779327
06/1971,0.0063998842,0.0039718044,-0.005163504
07/1971,-0.027372994,-0.04799792,-0.078806299
08/1971,0.0349773397,0.0422628687,0.0688391758
09/1971,-0.006280604,0.0001671468,-0.016169418
10/1971,-0.037651839,-0.033038468,-0.06845842
11/1971,0.0011806814,0.0029701965,-0.014868917
12/1971,0.0895566262,0.0864011211,0.1077255307
01/1972,0.0128698696,0.0292986063,0.0608423975
02/1972,0.0343055081,0.0257381943,0.0416407577
03/1972,0.008118403,0.0154560163,0.0019507697
04/1972,0.0152373199,0.0118752362,-0.00095637
05/1972,0.0200679426,0.0247899883,-0.004854453
06/1972,-0.037489802,-0.016796029,-0.012818261
07/1972,-0.034576239,0.0093547865,0.0046754893
08/1972,0.0168269632,0.051387477,0.0412413915
09/1972,-0.00975842,-0.006988383,-0.016183212
10/1972,0.0145700103,0.0142215122,-0.007854293
11/1972,0.0407554486,0.0571236604,0.0494976479
12/1972,0.0164434785,0.0095991466,-0.017694885
01/1973,-0.037357766,-0.005957018,-0.048265196
02/1973,-0.046823758,-0.040774739,-0.027675088
03/1973,-0.007408054,-0.007971436,0.0007957005
04/1973,-0.065617685,-0.031295208,-0.039199979
05/1973,-0.020693714,-0.015947191,-0.030618138
06/1973,-0.003141361,-0.02127163,-0.002394349
07/1973,0.0741494572,0.0524356718,0.0275515813
08/1973,-0.033918051,-0.033024639,-0.014933337
09/1973,0.0220605937,0.0842459781,0.1078635417
10/1973,0.0125680754,-0.017193736,-0.010047307
11/1973,-0.104103983,-0.139721098,-0.176351028
12/1973,0.0254707852,0.0010402649,-0.02867306
01/1974,-0.015917255,0.0060678069,0.0882404673
02/1974,-0.005366507,0.0016550654,0.0154381738
03/1974,-0.023291098,-0.018962869,-0.011642377
04/1974,-0.04638136,-0.03068995,-0.057712075
05/1974,-0.040124206,-0.023117653,-0.078982674
06/1974,-0.010831999,-0.031223521,-0.050699623
07/1974,-0.070237328,-0.067956699,-0.072251109
08/1974,-0.091051333,-0.098705913,-0.090530923
09/1974,-0.116955407,-0.107467961,-0.100694296
10/1974,0.195425103,0.1492743844,0.1195237191
11/1974,-0.037158249,-0.036639766,-0.043223108
12/1974,-0.040021317,-0.02057493,-0.030665837
01/1975,0.1079670639,0.1414464263,0.2256945746
02/1975,0.0421506856,0.0683237942,0.0793877166
03/1975,0.0342815545,0.0141398632,0.0443973548
04/1975,0.0641810281,0.0448188414,0.0406990568
05/1975,0.0499720269,0.0556940944,0.0762277539
06/1975,0.0545953494,0.0528468892,0.0532850072
07/1975,-0.048570832,-0.067742818,-0.069339257
08/1975,-0.014664771,-0.022926602,-0.03148298
09/1975,-0.042392615,-0.028909747,-0.051321774
10/1975,0.0603188744,0.05217649,0.0611252071
