date,p1,p2,p3
07/1963,0.0011064978,-0.003443378,0.0040078728
08/1963,0.0517364459,0.0557580033,0.0490047902
09/1963,-0.019569054,-0.013605732,-0.027507485
10/1963,0.0308815782,0.0275040037,0.0088565594
11/1963,-0.00605294,-0.014438377,-0.007444081
12/1963,0.0293467523,0.0182206771,0.0270648867
01/1964,0.0302950724,0.020262971,0.0277241232
02/1964,0.017869586,0.0213733231,0.0231835194
03/1964,0.0231060459,0.0154063128,0.0270491412
04/1964,-0.002347953,0.0077277103,0.0013919516
05/1964,0.0149633432,0.0194940898,0.0185731685
06/1964,0.0102717785,0.0141588647,0.010406622
07/1964,0.0143792235,0.0361671023,0.0163107054
08/1964,-0.014477725,-0.006745951,-0.019236536
09/1964,0.0324120887,0.0343728831,0.0301334077
10/1964,0.0032768091,0.0064723115,0.0362285202
11/1964,0.0072717491,0.001142561,0.0148119623
12/1964,-0.00018584,0.0018992675,-0.005451442
01/1965,0.0532290484,0.0399078122,0.0198752275
02/1965,0.0167535148,0.0038493597,-0.009050066
03/1965,-0.004742748,-0.007709479,-0.023355671
04/1965,0.0429467069,0.0301643357,0.0189411378
05/1965,-0.006917698,-0.008425835,0.001229428
06/1965,-0.053271266,-0.055560851,-0.03336819
07/1965,0.0258074609,0.0132876425,0.0300092881
08/1965,0.0326537202,0.0285962335,0.0442754684
09/1965,0.0376781878,0.0316824659,0.0371509686
10/1965,0.0255913781,0.0350531335,0.037233615
11/1965,0.01019462,0.0021930247,0.0273977462
12/1965,0.0125560365,0.017690728,0.0055488315
01/1966,0.0120933687,0.0121115704,0.0262956326
02/1966,-0.003424247,-0.015683139,-0.005051834
03/1966,-0.017381987,-0.019362743,-0.021549279
04/1966,0.0325724589,0.0194650054,0.0364925072
05/1966,-0.050627479,-0.055226556,-0.06236012
06/1966,-0.012656138,-0.014639924,0.0043512727
07/1966,-0.020676684,-0.010162897,-0.001181232
08/1966,-0.079958369,-0.079629311,-0.064094919
09/1966,-0.023566652,-0.004289373,0.0185527958
10/1966,0.0290902299,0.0402976419,0.0712307361
11/1966,0.053064131,0.0112202282,-0.000520054
12/1966,0.0102874904,0.0063775413,-0.007810751
01/1967,0.1011371935,0.0819488836,0.0630378658
02/1967,0.0253736742,0.0058026971,0.0007011142
03/1967,0.0566392302,0.0346322186,0.0420524033
04/1967,0.0550544683,0.0420151508,0.0254902147
05/1967,-0.040170713,-0.03939245,-0.025629129
06/1967,0.0386742328,0.0191055196,0.0255650993
07/1967,0.0486174487,0.0523374216,0.0860326811
08/1967,-0.004033742,-0.006166638,-0.00127458
09/1967,0.0320776991,0.0395604595,0.0244742761
10/1967,-0.03260156,-0.021662264,-0.038241452
11/1967,0.0128755322,0.0075308542,-0.000107443
12/1967,0.0352672843,0.0359077826,0.0257806614
01/1968,-0.056189283,-0.032752916,-0.021674619
02/1968,-0.041007623,-0.028626046,-0.030253109
03/1968,0.0098808396,0.0079271629,0.000350958
04/1968,0.1119381155,0.0868091672,0.1028607519
05/1968,0.0306330041,0.0316551557,0.0131215923
