date,p1,p2,p3
07/1963,0.001021701,-0.003812249,0.0057926293
08/1963,0.0541628582,,0.0321518654
09/1963,-0.017231193,,-0.025913801
10/1963,0.0267619413,,0.0094054996
11/1963,-0.009392988,,-0.023564288
12/1963,0.0240430028,,0.0169121561
01/1964,0.0221342449,0.0220236431,0.0388486062
02/1964,0.0231213881,0.0184403825,0.018610021
03/1964,0.0220140021,0.0184675155,0.0205043951
04/1964,-0.009608675,0.0050796311,0.0206496997
05/1964,0.021139278,0.0162738561,0.0151603407
06/1964,0.0130767852,0.0122991643,0.0085308356
07/1964,0.0144208233,0.0361113945,0.0163383456
08/1964,-0.014605456,-0.006664521,-0.01926528
09/1964,0.0329167713,0.0342666171,0.0297827014
10/1964,0.0032901453,0.0066990828,0.0351098116
11/1964,0.0074979205,0.0009376965,0.0142034981
12/1964,0.0008472907,0.0012379988,-0.004325727
01/1965,0.0456582475,0.0357677394,0.0505880317
02/1965,0.0090091936,0.0038059183,0.0112896219
03/1965,-0.008479381,-0.011258391,-0.003414532
04/1965,0.0386293758,0.0303476064,0.0244104227
05/1965,-0.00742151,-0.007820198,0.0047000715
06/1965,-0.05131994,-0.053099837,-0.045278657
07/1965,0.0257889904,0.0132876425,0.0301139133
08/1965,0.0326473084,0.0286006262,0.0442717677
09/1965,0.0374959198,0.0318132447,0.0370563639
10/1965,0.025475464,0.0349796559,0.0372205867
11/1965,0.0100992186,0.0023753973,0.0271725902
12/1965,0.012645412,0.0174587452,0.0070521546
01/1966,0.0260629136,0.004819689,0.017431046
02/1966,0.0088828162,-0.014393147,-0.027927443
03/1966,-0.021475356,-0.01543615,-0.023384458
04/1966,0.0347690203,0.0216440632,0.0257114078
05/1966,-0.066457707,-0.048931982,-0.051985133
06/1966,-0.016174372,-0.007564449,-0.015174476
07/1966,-0.02080958,-0.010033409,-0.001172731
08/1966,-0.079283612,-0.08004704,-0.064176036
09/1966,-0.023535258,-0.004245459,0.0182547373
10/1966,0.0286551988,0.0403401094,0.0713939665
11/1966,0.0535398505,0.0108618365,0.000534395
12/1966,0.011729607,0.0052727748,-0.007527655
01/1967,0.0956270535,0.0794326013,0.0802581075
02/1967,0.0336917832,0.0020491818,-0.002622399
03/1967,0.0484048146,0.0404703769,0.0414849793
04/1967,0.0489499237,0.0388782445,0.0455765529
05/1967,-0.034756748,-0.038237421,-0.038431363
06/1967,0.043151429,0.0152425685,0.0343300497
07/1967,0.0477257257,0.0525828215,0.0860248092
08/1967,-0.00446996,-0.00609338,-0.000856939
09/1967,0.031551547,0.0405525521,0.0233096501
10/1967,-0.031016758,-0.021997142,-0.038941705
11/1967,0.0114108257,0.008418673,-0.000090277
12/1967,0.0344589155,0.0367797791,0.0270926779
01/1968,-0.061676552,-0.033470494,-0.006519974
02/1968,-0.045031108,-0.029064497,-0.023082358
03/1968,0.0064600162,0.014964024,-0.003504633
04/1968,0.1162050972,0.0933834158,0.0843518059
05/1968,0.0326537664,0.0282950177,0.0252331794
06/1968,0.0039286014,0.0059633028,0.0227482667
07/1968,-0.044436844,-0.024002142,0.0011295943
08/1968,0.0190839412,0.0173322378,0.0207784168
09/1968,0.044995161,0.0442666585,0.0417338709
10/1968,0.003392333,0.002811745,0.0189784173
11/1968,0.0673890945,0.0542821544,0.0730252223
12/1968,-0.029476396,-0.039295053,-0.026187414
01/1969,-0.018405177,-0.01693732,0.0030449958
02/1969,-0.070026371,-0.046961838,-0.051149422
03/1969,0.0358683302,0.0416317102,0.0266506412
04/1969,0.0146464523,0.0204317379,0.0153400064
05/1969,0.0023332666,-0.002810216,0.0112526221
