date,p1,p2,p3
07/1963,0.0095488338,0.0077846345,0.0003495572
08/1963,0.0494830639,0.0541114679,0.0589023678
09/1963,-0.025922761,-0.025038543,-0.004097697
10/1963,0.0007981992,0.0221463968,0.0860499684
11/1963,0.0010659476,-0.008276917,-0.031283505
12/1963,0.0429811722,0.0404450185,0.0155139326
01/1964,0.019826677,0.0517242188,0.0306282522
02/1964,0.0239645115,0.0163904562,0.025484554
03/1964,0.0127759535,0.0411012499,0.0211686531
04/1964,0.0387381144,0.0038027193,-0.00611969
05/1964,0.019389842,0.011980144,0.025163634
06/1964,0.0127405966,0.0105799629,0.007427548
07/1964,0.0155875601,0.0094427843,0.0272112839
08/1964,-0.013991493,0.0027851187,-0.013795053
09/1964,0.0238395193,0.0377749921,0.0331652034
10/1964,0.030707442,0.0080490207,-0.000855421
11/1964,0.0259623257,-0.006730108,-0.000389842
12/1964,-0.005853395,-0.017421702,0.0154935534
01/1965,0.0142593083,0.0508760114,0.0541276227
02/1965,0.0053158997,0.0283415572,0.0053682914
03/1965,-0.024642011,-0.005079381,-0.005283388
04/1965,0.0296031591,0.0338452655,0.0485163745
05/1965,0.0045397079,-0.01431991,-0.009375811
06/1965,-0.034890273,-0.059996546,-0.05799657
07/1965,0.0194738818,0.0107912041,0.0225693031
08/1965,0.0251688984,0.0214927494,0.0349314079
09/1965,0.0366519355,0.0468565531,0.0533637079
10/1965,0.0218815669,0.0359486439,0.0423474673
11/1965,-0.006283515,0.0098967384,-0.008264497
12/1965,0.0147392314,0.0022348875,0.022591199
01/1966,0.0072298666,0.0114594209,0.0113857745
02/1966,-0.010483346,0.0111341548,-0.024370204
03/1966,-0.037743615,-0.018848026,-0.01951848
04/1966,0.0306908542,0.0509149336,0.0147697258
05/1966,-0.055339745,-0.049036615,-0.057289232
06/1966,-0.028557147,-0.010146806,-0.012361075
07/1966,-0.012500943,-0.004050651,-0.019892662
08/1966,-0.079231063,-0.06955784,-0.071554808
09/1966,-0.017382702,-0.019469362,-0.009242087
10/1966,0.0595843551,0.0354759645,0.0391208724
11/1966,0.007890633,0.0069764454,0.0405904542
12/1966,0.0131737101,-0.003468663,-0.008321472
01/1967,0.0879488808,0.0701419129,0.0866248272
02/1967,0.0096083381,-0.003694816,0.0292424926
03/1967,0.039453634,0.0474630388,0.0420403315
04/1967,0.0207507794,0.0256713919,0.0764669074
05/1967,-0.039105548,-0.031434066,-0.051855393
06/1967,0.0093855195,0.0117118786,0.0365849115
07/1967,0.0534707109,0.0594122328,0.0665604657
08/1967,-0.006523043,-0.009819571,-0.004809955
09/1967,0.0341385222,0.0402985487,0.0388091178
10/1967,-0.032243237,-0.0053724,-0.028466659
11/1967,0.0068037031,0.0086956355,0.0049628162
12/1967,0.0382337509,0.0355421509,0.0218182313
01/1968,-0.047194294,-0.049303671,-0.049970426
02/1968,-0.037595936,-0.033043302,-0.028848146
03/1968,-0.005122213,0.0190537047,0.0174252598
04/1968,0.1012983111,0.0973969476,0.0959539665
05/1968,0.0309631909,0.0312493588,0.0111778134
06/1968,0.0047651378,0.0045458111,-0.000587817
07/1968,-0.028715997,-0.008697396,-0.034499123
08/1968,0.0209257567,0.0150277481,0.0210150556
09/1968,0.058992646,0.0319483884,0.0488864917
10/1968,0.0114638235,-0.003215336,0.0138783947
11/1968,0.0649723494,0.0581228808,0.0459343461
12/1968,-0.031057183,-0.030196822,-0.039920153
01/1969,-0.016277718,-0.017538336,-0.010237735
