date,p1,p2,p3
07/1963,-0.014902617,-0.00804025,0.003251952
08/1963,0.0371479056,0.0633371355,0.0519923543
09/1963,-0.010298715,-0.009039284,-0.02073394
10/1963,0.0190702613,-0.000647797,0.0335587651
11/1963,-0.002541605,-0.003093558,-0.013116554
12/1963,0.0035919463,0.010666354,0.0290078515
01/1964,0.0212291282,0.0142879997,0.0276953139
02/1964,0.0152433447,0.0203087805,0.0204825257
03/1964,0.0268304341,0.0242388723,0.0178389521
04/1964,0.0015980904,-0.002646405,0.0038718815
05/1964,0.0055068587,0.0093046612,0.0216640205
06/1964,0.0150712008,0.014365535,0.0108721435
07/1964,0.0217250282,0.024993973,0.0248407604
08/1964,-0.012627737,-0.005697773,-0.013467179
09/1964,0.0301935134,0.0314926382,0.0333359651
10/1964,0.0125231138,0.015833389,0.009931462
11/1964,-0.005447918,0.0073179564,0.0065411299
12/1964,-0.003681996,-0.000473228,0.0006480432
01/1965,0.0627778355,0.0467199646,0.0375832354
02/1965,0.0279014235,0.0222620426,0.0009150344
03/1965,0.0063276853,-0.000207651,-0.013412265
04/1965,0.0333584999,0.0381170997,0.031079854
05/1965,-0.01036403,-0.010402533,-0.005347975
06/1965,-0.073562393,-0.059236872,-0.047587022
07/1965,0.0215277913,0.0177166955,0.0201583128
08/1965,0.0413452205,0.0359967867,0.0297003509
09/1965,0.02774571,0.0251728873,0.0372612082
10/1965,0.0498218086,0.0283172356,0.0306344541
11/1965,0.0367998503,0.0071407929,0.0054723714
12/1965,0.0398193162,0.0200997902,0.0105223343
01/1966,0.039513412,0.0027638427,0.0139718073
02/1966,0.0070860608,-0.010826092,-0.012266172
03/1966,-0.019325212,-0.022940417,-0.018052363
04/1966,0.0312746561,0.017335009,0.0287109242
05/1966,-0.059594796,-0.047089831,-0.055790149
06/1966,-0.000752351,-0.01207838,-0.012989539
07/1966,-0.014964311,-0.011622482,-0.011516453
08/1966,-0.081763749,-0.074639578,-0.077112259
09/1966,-0.009667598,-0.006932834,-0.005520188
10/1966,0.004173897,0.0492159678,0.0443332036
11/1966,0.038455432,0.0050359921,0.0241699594
12/1966,0.0102120063,0.0201520677,0.0004114771
01/1967,0.1541238401,0.1147129049,0.0693740689
02/1967,0.0252880503,0.0040922711,0.0117832672
03/1967,0.0503132637,0.0457704037,0.0413448796
04/1967,0.0401794377,0.024173034,0.0496894007
05/1967,-0.019389613,-0.02848968,-0.042062265
06/1967,0.0494644511,0.0275903578,0.024587364
07/1967,0.0671332809,0.0503545144,0.0568825952
08/1967,0.0059079045,-0.001923829,-0.007848692
09/1967,0.0284116945,0.0247662524,0.0401511674
10/1967,-0.033700781,-0.049450136,-0.018885124
11/1967,0.0042136903,0.0098339693,0.007906193
12/1967,0.0561056805,0.0469276471,0.0284180246
01/1968,0.0212265574,-0.00973805,-0.058232564
02/1968,-0.039553389,-0.030001418,-0.033402489
03/1968,-0.015068255,-0.005784549,0.0155526599
