date,p1,p2,p3
07/1963,0.0027898745,0.0028820746,-0.001044494
08/1963,0.0472636957,0.0482465255,0.0630005442
09/1963,-0.019609313,-0.024059888,-0.009310163
10/1963,0.0011566816,0.0181243513,0.0588713802
11/1963,-0.006025175,-0.002427221,-0.020704665
12/1963,0.0211547707,0.0373098182,0.0179607165
01/1964,0.0244409005,0.0349276671,0.0216137883
02/1964,0.0129592989,0.02604244,0.0179305616
03/1964,0.015605389,0.0296358804,0.015795979
04/1964,0.0064870244,0.0137328391,-0.008056925
05/1964,0.0057636514,0.0191564256,0.0191839106
06/1964,0.0223845895,0.0055351772,0.0137005538
07/1964,0.0333519389,0.0229673453,0.0228101155
08/1964,-0.005613277,-0.016699141,-0.011928356
09/1964,0.0294470977,0.0425260839,0.0283640225
10/1964,0.0180490692,0.0234528082,-0.000933193
11/1964,0.0092345334,0.0102349063,0.0075997504
12/1964,-0.004010498,-0.005910374,0.0111152383
01/1965,0.0310180717,0.019814228,0.0583232916
02/1965,0.0041492177,-0.003212266,0.0108984222
03/1965,-0.011636864,-0.017280869,-0.007580936
04/1965,0.0227865968,0.0261771383,0.0465683032
05/1965,-0.002054941,-0.00285767,-0.007437799
06/1965,-0.0430608,-0.043416076,-0.05601078
07/1965,0.0269727637,0.0089633477,0.0185075823
08/1965,0.0140794259,0.0326691105,0.0405214703
09/1965,0.0267010363,0.0457231613,0.038073084
10/1965,0.0209636009,0.0398122213,0.0325704128
11/1965,-0.003131593,0.0003134867,0.014997095
12/1965,0.0095082043,0.0153940118,0.0108947733
01/1966,0.009987125,0.0139473036,0.0069058148
02/1966,-0.025357383,-0.013391306,-0.00398835
03/1966,-0.025030146,-0.026233613,-0.005307474
04/1966,0.023710982,0.0172082652,0.0347491254
05/1966,-0.050683278,-0.064502569,-0.044322687
06/1966,-0.014693067,-0.016911917,-0.007333777
07/1966,-0.011180824,-0.006152364,-0.011654625
08/1966,-0.083102637,-0.071660146,-0.069844803
09/1966,0.0166804842,-0.006368943,-0.017202136
10/1966,0.0800734874,0.0429991682,0.0216672682
11/1966,0.0017038446,-0.008146299,0.048471446
12/1966,0.0173121297,0.0045676278,-0.00922513
01/1967,0.0652611106,0.0858191023,0.0833972653
02/1967,-0.009418616,0.0027358555,0.0260979656
03/1967,0.0338207291,0.0438981539,0.047516569
04/1967,0.0237565166,0.0389462713,0.0656305494
05/1967,-0.03564038,-0.03276577,-0.048496504
06/1967,0.0066016488,0.0287147967,0.0296749798
07/1967,0.0460090638,0.0745246182,0.0501365533
08/1967,-0.004022732,-0.013263093,-0.002901727
09/1967,0.018812719,0.0316941685,0.0518603502
10/1967,-0.04700452,-0.036415798,-0.003023493
11/1967,0.0121503127,-0.001361063,0.011657489
12/1967,0.0383714494,0.0365797505,0.0242512949
01/1968,-0.023644908,-0.030303674,-0.061826037
02/1968,-0.026256873,-0.040898707,-0.028812566
03/1968,-0.0202157,0.0061057045,0.0270193906
04/1968,0.0628835734,0.0901672923,0.1172192581
05/1968,0.0214937773,0.0125233618,0.0324723413
06/1968,0.0362231066,0.0044840415,-0.007086322
07/1968,-0.007826317,-0.002913401,-0.045626957
08/1968,0.010686754,0.0229207192,0.0164854321
09/1968,0.0425041869,0.0522069279,0.0313027819
10/1968,0.0149085691,0.0220164433,-0.01200823
11/1968,0.0675803953,0.0450860253,0.0652686146
12/1968,-0.022735945,-0.032834406,-0.040585424
01/1969,0.00231069,-0.01178954,-0.021768067
02/1969,-0.060920786,-0.055056024,-0.04025778
03/1969,0.0178706747,0.0472804462,0.0412678754
04/1969,0.0083597562,0.0012663476,0.0380085803
05/1969,0.0049501883,0.0073673918,-0.00067327
06/1969,-0.088513306,-0.081070201,-0.03044961
07/1969,-0.069193531,-0.07887211,-0.050178534
08/1969,0.0285009299,0.0435781461,0.0700128857
09/1969,-0.049670167,-0.032587691,-0.002894589
10/1969,0.0617066356,0.0302755893,0.0690968993
11/1969,-0.048618159,-0.038523643,-0.021230157
12/1969,-0.020979794,-0.035710429,0.0043330381
01/1970,-0.069542275,-0.10072301,-0.067621266
02/1970,0.0828314901,0.0570275681,0.0396457158
03/1970,0.0025471397,0.0156057382,-0.022627354
04/1970,-0.098839584,-0.099011119,-0.105265432
05/1970,-0.049259042,-0.04537922,-0.079359515
06/1970,-0.056315781,-0.041703865,-0.04911513
07/1970,0.0866102885,0.0870369205,0.0489082437
08/1970,0.0464094449,0.0681484936,0.0416855439
09/1970,0.0306834736,0.0354939945,0.0666805275
10/1970,-0.017004539,-0.01866005,-0.006753457
11/1970,0.0615250349,0.048041107,0.0456486377
12/1970,0.0630347457,0.0603293918,0.0591012939
01/1971,0.0500821075,0.0422902611,0.0452095705
02/1971,0.0039837566,0.0236383484,0.0321005651
03/1971,0.0307344114,0.0398813455,0.0537973025
04/1971,0.0208755644,0.052363598,0.0351590579
05/1971,-0.045366953,-0.040782666,-0.026924023
06/1971,0.0084999494,-0.008574454,0.0062853188
07/1971,-0.045304713,-0.035332346,-0.049506126
08/1971,0.0195409192,0.0457936699,0.0527993129
09/1971,-0.02394247,-0.005271311,0.0047719187
10/1971,-0.031497513,-0.057142772,-0.033011239
11/1971,-0.012363801,-0.007761086,0.0089789133
12/1971,0.1022652929,0.0867413761,0.0932430822
01/1972,0.0228256936,0.0224761315,0.0350509069
02/1972,0.0131235621,0.0305173894,0.0479542794
03/1972,-0.011055069,-0.001755313,0.017629837
04/1972,-0.004153986,0.0073381989,0.0110969272
05/1972,0.0056439981,0.0083415271,0.0284726325
