date,p1,p2,p3
07/1963,-0.000774278,,
08/1963,0.0532338104,,
09/1963,-0.017325455,,
10/1963,0.0257100659,,
11/1963,-0.010180688,,
12/1963,0.0235470866,,
01/1964,0.0247519256,,
02/1964,0.0201031186,,
03/1964,0.0198492688,,
04/1964,0.0027001856,,
05/1964,0.0177159016,,
06/1964,0.0118799283,,
07/1964,0.0246372895,,
08/1964,-0.011854805,,
09/1964,0.032750031,,
10/1964,0.0112228767,,
11/1964,0.0055651284,,
12/1964,0.0001140117,,
01/1965,0.040994089,,
02/1965,0.0070624291,,
03/1965,-0.009404684,,
04/1965,0.0327631961,,
05/1965,-0.006372368,,
06/1965,-0.05175473,,
07/1965,0.0197720462,,
08/1965,0.0318844537,,
09/1965,0.034080733,,
10/1965,0.0316443342,,
11/1965,0.0082166519,,
12/1965,0.0147921305,,
01/1966,0.0139435167,,
02/1966,-0.010036608,,
03/1966,-0.019057941,,
04/1966,0.0266199036,,
05/1966,-0.054229305,,
06/1966,-0.011610187,,
07/1966,-0.011887779,,
08/1966,-0.077070892,,
09/1966,-0.006109799,,
10/1966,0.0423481054,,
11/1966,0.0216097898,,
12/1966,0.004909148,,
01/1967,0.0851678889,,
02/1967,0.0112284294,,
03/1967,0.043377559,,
04/1967,0.0432830795,,
05/1967,-0.0371075,,
06/1967,0.0273425489,,
07/1967,0.0565571474,,
08/1967,-0.00498808,,
09/1967,0.0354515752,,
10/1967,-0.027213283,,
11/1967,0.0078802818,,
12/1967,0.034903041,,
01/1968,-0.037789312,,
02/1968,-0.032672122,,
03/1968,0.0071001814,,
04/1968,0.0968902002,,
05/1968,0.028691838,,
06/1968,0.0104094886,,
07/1968,-0.022608686,,
08/1968,0.0187333265,,
09/1968,0.0444567274,,
10/1968,0.0075742166,,
11/1968,0.0603259387,,
12/1968,-0.03258315,,
01/1969,-0.009721005,,
02/1969,-0.054190727,,
03/1969,0.0344914796,,
04/1969,0.0171377016,,
05/1969,0.003944613,,
06/1969,-0.066830122,,
07/1969,-0.067122156,,
08/1969,0.0532999931,,
09/1969,-0.023111787,,
10/1969,0.0571515028,,
11/1969,-0.035013466,,
12/1969,-0.017476998,,
01/1970,-0.076920035,,
02/1970,0.055643985,,
03/1970,-0.0057314,,
04/1970,-0.105961216,,
05/1970,-0.063877344,,
06/1970,-0.049551077,,
07/1970,0.0712092288,,
08/1970,0.0512702576,,
09/1970,0.0502573511,,
10/1970,-0.016896364,,
11/1970,0.049231609,,
12/1970,0.0607897551,,
01/1971,0.0494122312,,
02/1971,0.0215372695,,
03/1971,0.0455559918,,
04/1971,0.0347342171,,
05/1971,-0.036154687,,
06/1971,0.003586959,,
07/1971,-0.042153786,,
08/1971,0.0433353977,,
09/1971,-0.005256287,,
10/1971,-0.040587663,,
11/1971,-0.001052306,,
12/1971,0.0914854432,,
01/1972,0.0287202343,,
02/1972,0.0321242231,,
03/1972,0.0089061234,,
04/1972,0.0067514271,,
05/1972,0.0153171795,,
06/1972,-0.02033332,,
07/1972,-0.005840823,,0.0007279942
08/1972,0.0331314455,,0.0473946413
09/1972,-0.010129575,,-0.011546304
10/1972,0.0083730746,,0.0111490817
11/1972,0.0473790786,,0.0527397
12/1972,0.0090353842,,0.0083955017
01/1973,-0.029196256,,-0.012598141
02/1973,-0.040516184,,-0.0482487
03/1973,-0.007194497,,0.0025950665
04/1973,-0.049220969,,-0.039224586
05/1973,-0.019801107,,-0.036846179
06/1973,-0.008676143,,-0.010739889
07/1973,0.059885273,,0.0519294706
08/1973,-0.030160364,,-0.032192748
09/1973,0.0484802098,,0.0714529587
10/1973,-0.002311062,,0.0167560546
11/1973,-0.126084741,,-0.112137332
12/1973,0.0090606057,,0.0294029504
01/1974,0.0047796253,,-0.005773143
02/1974,-0.001226211,,-0.003103121
03/1974,-0.022686142,,-0.014026006
04/1974,-0.048627082,,-0.029409276
05/1974,-0.040631202,,-0.05670467
06/1974,-0.024919047,,-0.01742741
07/1974,-0.079256837,,-0.044735713
08/1974,-0.095812451,,-0.084236463
09/1974,-0.114580096,,-0.105150784
10/1974,0.1697051639,,0.1732809867
11/1974,-0.036417343,,-0.042222813
12/1974,-0.035481342,,-0.021052572
01/1975,0.146882768,,0.1353620012
02/1975,0.0636335855,,0.0537320108
03/1975,0.0286223759,,0.0342300151
04/1975,0.0453503591,,0.0588339746
05/1975,0.0532295994,,0.0711738349
06/1975,0.0513619443,,0.0585370884
07/1975,-0.063563326,,-0.058027132
08/1975,-0.027788444,,-0.011099409
09/1975,-0.037533567,,-0.041845511
10/1975,0.059962396,,0.0513644344
11/1975,0.0327061592,,0.0194741121
12/1975,-0.011180763,,-0.01380697
01/1976,0.1264204706,,0.1308919554
02/1976,0.0044665311,,0.0064850202
03/1976,0.0260236537,,0.0328767274
04/1976,-0.012139874,,-0.008377474
05/1976,-0.008999572,,-0.00502956
06/1976,0.0464850527,,0.0447091764
07/1976,-0.006505271,,-0.006478949
08/1976,-0.003062245,,-0.00554822
09/1976,0.0231709872,,0.0352718362
10/1976,-0.021685336,,-0.024558145
11/1976,0.0064170341,,0.005010451
12/1976,0.0596942843,,0.0742930515
01/1977,-0.039163347,,-0.026971088
02/1977,-0.017041792,,-0.019478973
03/1977,-0.009220996,,-0.005163063
04/1977,0.0036807585,,0.0148217618
05/1977,-0.012196851,,-0.012492631
06/1977,0.0524405769,,0.0579853734
07/1977,-0.013914893,,-0.006819311
08/1977,-0.01364455,,-0.013704992
09/1977,0.0018618778,,-0.008515065
10/1977,-0.039354046,,-0.029308032
11/1977,0.048280309,,0.041905302
12/1977,0.0058815616,,0.0132787994
01/1978,-0.05874144,,-0.039970184
02/1978,-0.009877308,,-0.020552878
03/1978,0.0399694465,,0.0164799548
04/1978,0.0862769392,,0.0819554439
05/1978,0.0264285604,,0.0196780659
06/1978,-0.011199093,,-0.009906085
07/1978,0.057335887,,0.0631850103
08/1978,0.042039506,,0.0511543627
09/1978,-0.008678486,,-0.010531284
10/1978,-0.1215986,,-0.099187577
11/1978,0.0345662765,,0.0340987718
12/1978,0.0138018169,,0.030198606
01/1979,0.0523027031,,0.0475920219
02/1979,-0.030593354,,-0.027004734
03/1979,0.0675870255,,0.0656585016
04/1979,0.0114611103,,0.0039513372
05/1979,-0.015674044,,-0.012690369
06/1979,0.0528074091,,0.0367310699
07/1979,0.0175168935,,0.0157868294
08/1979,0.0664004416,,0.0584780819
09/1979,0.0023882062,,0.0009617704
10/1979,-0.078567225,,-0.060245498
11/1979,0.0661696434,,0.0564083893
12/1979,0.0334442572,,0.020053079
01/1980,0.0627996831,,0.073758387
02/1980,-0.002756352,,-0.001904706
03/1980,-0.12450226,,-0.112193321
04/1980,0.0569913594,,0.042197716
05/1980,0.0605855052,,0.0611540046
06/1980,0.0382871421,,0.0399474144
07/1980,0.0665888387,,0.0787296381
08/1980,0.0284798023,,0.0137802077
