date,p1,p2,p3
12/1971,,,0.1965317875
01/1972,,0.1562969595,-0.03167421
02/1972,0.0243026105,0.0498474664,0.0971484314
03/1972,0.0187908417,-0.016338168,0.0126696423
04/1972,0.0316424527,0.0100804307,0.0027714323
05/1972,-0.00096541,0.0090938652,0.0497627478
06/1972,-0.067001078,-0.03701271,-0.00026744
07/1972,-0.034383416,-0.01258558,0.0125501826
08/1972,0.0567801152,0.0342762022,0.0118779312
09/1972,-0.054260648,-0.010577143,-0.007593138
10/1972,-0.025621317,0.0174934005,-0.018024519
11/1972,0.06030936,0.0742555437,0.0253392536
12/1972,-0.049786537,0.0000711742,0.0121151286
01/1973,-0.084311981,-0.056015163,-0.022717047
02/1973,-0.061165856,-0.075424768,-0.045804313
03/1973,-0.032880618,-0.004806337,-0.036231323
04/1973,-0.076909132,-0.068019455,-0.082412107
05/1973,-0.031518002,-0.027695413,-0.009112318
06/1973,-0.018840654,-0.011000668,-0.001361611
07/1973,0.1001049802,0.0608526899,0.0382507686
08/1973,-0.057812902,-0.035602698,-0.025595512
09/1973,0.1246966476,0.1110020047,0.0708956516
10/1973,-0.045418631,-0.000865728,-0.017663512
11/1973,-0.183640202,-0.165993742,-0.165957335
12/1973,0.0013484303,-0.01397694,-0.009310857
01/1974,0.0795746123,0.0269502777,-0.002662228
02/1974,-0.020247406,0.015641047,0.002939024
03/1974,0.0321865859,0.000024967,-0.005191292
04/1974,-0.069581483,-0.050711676,-0.060726668
05/1974,-0.066129508,-0.057484641,-0.029305554
06/1974,-0.076801188,-0.011634379,-0.00986398
07/1974,-0.069675987,-0.062399349,-0.072928874
08/1974,-0.114117569,-0.086910336,-0.10587349
09/1974,-0.07059731,-0.035080619,-0.128520751
10/1974,0.1925457822,0.1017823523,0.1636326315
11/1974,-0.023222902,-0.006375578,-0.018954649
12/1974,-0.052044358,-0.018172373,-0.041045448
01/1975,0.2486837158,0.2215262616,0.1536523519
02/1975,-0.020116321,0.027386918,0.0689755738
03/1975,0.0106750392,0.003080827,0.0316740149
04/1975,0.0538588115,-0.001067288,0.0638719397
05/1975,0.0378547205,0.0898956772,0.0587723891
06/1975,0.0768421877,0.0736445794,0.0325410517
07/1975,-0.055881144,-0.058921112,-0.073365514
08/1975,-0.036979632,-0.010195573,-0.017236391
09/1975,-0.068274041,-0.037814311,-0.02631945
10/1975,0.0622712162,0.0585107782,0.0630222749
11/1975,0.0460731912,0.0249977753,0.0264390319
12/1975,0.0044667242,-0.005170862,-0.015381541
01/1976,0.140982861,0.1473106514,0.1099219953
02/1976,0.0364058382,-0.005706912,-0.002471926
03/1976,0.0205676997,0.039696038,0.0276736091
04/1976,-0.010042436,0.0061929869,-0.015710641
05/1976,-0.007501306,-0.006002417,0.0064392901
06/1976,0.0598069821,0.0609833271,0.0384486616
07/1976,0.006696654,-0.013024935,-0.008428211
08/1976,0.0060807627,-0.004574793,-0.006975783
09/1976,0.0185760956,0.0316399621,0.0259219285
10/1976,-0.01291203,-0.023975979,-0.02628923
11/1976,0.025085713,0.0105511551,-0.010028228
12/1976,0.0852661075,0.067303904,0.0460329991
01/1977,-0.024038567,-0.022877952,-0.059312411
02/1977,-0.021635712,-0.02097412,-0.017296786
03/1977,-0.004811745,-0.004101667,-0.015790255
04/1977,0.0159662804,0.0242737703,-0.015545506
05/1977,-0.019342263,-0.004519139,-0.023754067
06/1977,0.0507348845,0.0442403977,0.0598672385
07/1977,-0.011169374,-0.014774687,-0.015401869
08/1977,-0.015962801,-0.031305187,-0.003085838
09/1977,-0.001654537,0.0022451956,-0.005543932
10/1977,-0.040666442,-0.038114802,-0.036689383
11/1977,0.046886513,0.0398038073,0.0468171316
12/1977,-0.005359574,0.0048623337,0.0108576994
01/1978,-0.048052661,-0.059268447,-0.05791346
02/1978,-0.01434394,-0.012792718,-0.022403799
03/1978,0.0469305455,0.0371947342,0.0241527681
04/1978,0.0627538649,0.0731379098,0.1110514382
05/1978,0.0168905127,0.0161218513,0.0222240055
06/1978,-0.015971141,-0.017879456,-0.007172022
07/1978,0.0527669699,0.0531936665,0.0687801466
08/1978,0.0378624762,0.0487876926,0.0414136975
09/1978,-0.003445667,0.0065330584,-0.023463509
10/1978,-0.114011334,-0.115735754,-0.10385142
11/1978,0.0205159858,0.0376141685,0.0345479787
12/1978,-0.002638979,0.0071867126,0.0349152503
01/1979,0.066316152,0.0522851645,0.0388329233
02/1979,-0.034210721,-0.021436702,-0.032427837
03/1979,0.0592219411,0.0747717375,0.0615875308
04/1979,-0.001252022,0.016316172,0.0059789511
05/1979,-0.004354412,-0.010322978,-0.024024313
06/1979,0.0661124422,0.0546243231,0.0329979189
07/1979,0.0241652417,0.0256116572,0.0082384417
08/1979,0.042414758,0.068013898,0.0676962966
09/1979,-0.021204084,0.0119652542,0.0046439739
10/1979,-0.091549624,-0.062391492,-0.066049701
11/1979,0.045389913,0.065297863,0.0665130785
12/1979,0.0220623166,0.0245159609,0.0264430521
01/1980,0.0414082212,0.0570468523,0.0789779408
02/1980,-0.055794381,0.0130468043,0.0193338072
03/1980,-0.080841448,-0.118737142,-0.122548125
04/1980,0.0777980602,0.042173223,0.0429548305
05/1980,0.070887071,0.0668003412,0.0476744324
06/1980,0.0373776288,0.0281234702,0.0364995853
07/1980,0.0538531176,0.0701215394,0.0739617612
08/1980,0.0084903214,0.0158000813,0.0236493665
09/1980,0.0052911009,0.0087315885,0.0463654952
10/1980,-0.006458743,0.0091215603,0.0365999299
11/1980,0.0328776411,0.0861246316,0.1515605459
12/1980,0.0164513548,-0.032771411,-0.046378926
01/1981,-0.007225023,-0.032320745,-0.063586338
02/1981,0.0227327045,0.0087005199,0.0144239143
03/1981,0.0635269111,0.0486719728,0.0281464723
04/1981,0.0044511976,-0.013447914,-0.02735215
05/1981,0.0298966778,-0.007334331,-0.002404933
06/1981,-0.004145727,0.0035069621,-0.008803332
07/1981,-0.032492738,-0.00149656,0.0123840451
08/1981,-0.052075885,-0.064233597,-0.058236549
09/1981,-0.043224008,-0.069187463,-0.057953854
10/1981,0.058323941,0.0414069847,0.0665616805
11/1981,0.0408989006,0.0527646426,0.048485748
12/1981,-0.02727956,-0.02816959,-0.02606232
01/1982,-0.02544478,-0.027854388,-0.01976021
02/1982,-0.027937566,-0.034108785,-0.058575965
03/1982,0.0067597592,-0.006682643,-0.017071169
04/1982,0.033719696,0.0456205155,0.0526208658
05/1982,-0.069738853,-0.002834407,-0.024166508
06/1982,-0.006311197,-0.024322259,-0.018590335
07/1982,-0.033629962,-0.028272497,-0.012122847
08/1982,0.1252386842,0.1347868944,0.111001125
09/1982,0.0206548304,0.0121113112,0.0212600725
10/1982,0.1614994141,0.1029788331,0.1093079343
11/1982,0.0606581642,0.0430259569,0.0452400266
12/1982,-0.002922369,0.0057577944,0.0254827378
01/1983,0.0323349893,0.0488242819,0.028658437
02/1983,0.0385272824,0.0356330452,0.0306288295
03/1983,0.0371628646,0.0328086113,0.0318752337
04/1983,0.0960138216,0.062872169,0.0747637213
05/1983,0.0249933069,0.0273864651,-0.006646316
06/1983,0.0090651295,0.031879169,0.0528744404
07/1983,-0.03205768,-0.030266471,-0.032732557
08/1983,0.005229825,0.0181472747,-0.000667712
09/1983,0.0068208086,0.0134580677,0.0235917848
10/1983,-0.039713092,-0.005693566,-0.024902127
11/1983,0.0535764195,0.0167344594,0.0191443871
12/1983,-0.005379433,-0.013726911,-0.008917228
01/1984,-0.001288398,-0.003239432,-0.024643958
02/1984,-0.057726298,-0.029862396,-0.028954889
03/1984,0.0291136457,0.0121841508,0.011400276
04/1984,-0.016321724,0.0068652709,0.0129325303
05/1984,-0.085108173,-0.048951315,-0.039937097
06/1984,0.0230003733,0.0139984835,0.0298513889
07/1984,-0.039780865,-0.021969064,-0.014250868
08/1984,0.121674255,0.1008357359,0.1156666026
09/1984,0.0179941895,0.0090754229,-0.013076094
10/1984,-0.009604702,0.00791303,0.0053334717
11/1984,-0.011518706,-0.004358419,-0.014245136
12/1984,0.0271124389,0.0256841161,0.0261258097
01/1985,0.0960668658,0.0714078087,0.0859877447
02/1985,0.0134994523,0.0196078123,0.0158341643
03/1985,-0.006367426,0.01449678,-0.013026814
04/1985,0.0158385167,0.0101428841,-0.013843606
05/1985,0.0512483489,0.0577052834,0.0584379376
06/1985,0.0157545732,0.0232189293,0.0151746474
07/1985,0.000352063,-0.008213853,0.0042691656
08/1985,-0.012225082,0.0044067596,-0.010512641
09/1985,-0.052386238,-0.036426732,-0.033272209
10/1985,0.0578037186,0.0577705052,0.0373765498
11/1985,0.0691959777,0.0546512099,0.0836102329
12/1985,0.0402006123,0.0418955732,0.0518708681
01/1986,0.017648903,0.0144805948,0.0047296972
02/1986,0.0762433262,0.0684255414,0.0664498306
03/1986,0.0464662125,0.0432842233,0.0597717907
04/1986,-0.023020855,-0.020074112,0.0046832439
05/1986,0.0373064166,0.0466996117,0.0546505315
06/1986,-0.011389313,0.0153539239,0.0244001698
