date,p1,p2,p3
07/1963,-0.001616755,-0.004765785,0.0054639608
08/1963,0.0533488693,0.0562598164,0.0519084
09/1963,-0.018007753,-0.014492105,-0.018321469
10/1963,0.010350482,0.0164823068,0.0398081554
11/1963,-0.008184545,-0.007564413,-0.012833385
12/1963,0.0184030546,0.0239912125,0.0284271268
01/1964,0.0218099906,0.0077827546,0.0346465947
02/1964,0.0191099265,0.0187824825,0.020254085
03/1964,0.0311805205,0.0131405828,0.0200380011
04/1964,-0.012219048,0.0113390602,0.0055687489
05/1964,0.0130611829,0.0159100962,0.0175636364
06/1964,0.0225578525,0.0199074578,0.007912281
07/1964,0.0195794772,0.0347601393,0.0222283997
08/1964,-0.008079773,-0.00672891,-0.014553896
09/1964,0.0369281052,0.0333511213,0.0323459126
10/1964,0.0179245617,0.0076544392,0.0101218702
11/1964,0.0029213386,0.0023635965,0.0116426479
12/1964,-0.006403133,-0.002155963,0.0050584226
01/1965,0.0487246106,0.0382096003,0.0378067143
02/1965,0.0232159948,0.0060555237,0.0008223579
03/1965,-0.00232839,-0.002603604,-0.017226432
04/1965,0.0377885112,0.0210361864,0.0388143893
05/1965,-0.003042436,0.0005163859,-0.006776067
06/1965,-0.060681952,-0.047565808,-0.045396915
07/1965,0.0236775029,0.0192284277,0.0161811988
08/1965,0.0277798073,0.025385107,0.0335472823
09/1965,0.0223355885,0.0316134359,0.0418378218
10/1965,0.031494958,0.0239562413,0.0332021728
11/1965,0.00910357,0.0151967122,0.000956696
12/1965,0.013398619,0.0165241532,0.010059364
01/1966,0.0094081095,0.0165256693,0.0080634754
02/1966,-0.01400767,-0.006945833,-0.014885045
03/1966,-0.019168554,-0.016276089,-0.018147217
04/1966,0.0284402173,0.0245368002,0.0246074966
05/1966,-0.061263235,-0.051894319,-0.049935388
06/1966,-0.004527741,-0.002648778,-0.019322688
07/1966,-0.013929287,-0.003639725,-0.013570277
08/1966,-0.087522334,-0.079723464,-0.07036259
09/1966,0.0042788727,-0.005598042,-0.007429974
10/1966,0.0659918755,0.038830064,0.0415033317
11/1966,0.0146743108,0.0072808014,0.0283386295
12/1966,0.0238521995,0.0101551296,-0.006279538
01/1967,0.084814664,0.0875499792,0.0751294118
02/1967,-0.000297971,0.0004394596,0.0169540573
03/1967,0.036586468,0.0444644386,0.0444573857
04/1967,0.027771849,0.0361068281,0.0549175877
05/1967,-0.040577868,-0.038610402,-0.041868157
06/1967,0.0185531706,0.0256096846,0.0225126585
07/1967,0.0530588444,0.0700554582,0.049644998
08/1967,0.0023851969,-0.009561429,-0.006874186
09/1967,0.018838314,0.029330383,0.0458061148
10/1967,-0.038303962,-0.038389638,-0.012844265
11/1967,0.0133422441,0.0044674794,0.0069798516
12/1967,0.0381193088,0.0325212045,0.0301268502
01/1968,-0.014477056,-0.032615708,-0.054526987
02/1968,-0.038528759,-0.027771802,-0.031709559
03/1968,-0.012813149,0.0033968822,0.0171770044
04/1968,0.0874970604,0.0886059134,0.0999073282
05/1968,0.0269515138,0.0130691762,0.0310030881
06/1968,0.0316138223,0.0124862866,-4.662495E-6
07/1968,-0.021912744,-0.017947442,-0.024071172
08/1968,0.0216581959,0.0186480911,0.0158785122
09/1968,0.0501522403,0.0580402128,0.0293445701
10/1968,0.0176725267,0.0087974178,0.002411471
11/1968,0.0650909489,0.0663753178,0.0537932451
12/1968,-0.033365437,-0.030962396,-0.0368536
01/1969,0.0036533436,-0.009482369,-0.017399321
02/1969,-0.074845572,-0.063512745,-0.036661538
03/1969,0.0177753131,0.0428457398,0.0390301839
04/1969,0.0122099892,0.0166107154,0.0210530867
05/1969,-0.004114671,0.0020669876,0.0062677536
06/1969,-0.085709267,-0.084286006,-0.043729157
07/1969,-0.080349302,-0.061461882,-0.062740204
08/1969,0.0425220968,0.0409596708,0.0605828564
09/1969,-0.037474954,-0.02938342,-0.017826217
10/1969,0.0720448771,0.0535856677,0.053259134
11/1969,-0.059493216,-0.043527134,-0.021996375
12/1969,-0.040923189,-0.032010633,0.0009583629
01/1970,-0.073982966,-0.081028207,-0.079058156
02/1970,0.0878088529,0.0572983769,0.0460418815
03/1970,-0.002867522,-0.000621087,-0.007571458
04/1970,-0.122766229,-0.103984829,-0.095556018
05/1970,-0.074414389,-0.06373137,-0.056705095
06/1970,-0.078430488,-0.043357824,-0.044673315
07/1970,0.0745002055,0.0899488828,0.0599060502
08/1970,0.0588241508,0.0490444226,0.0503126948
09/1970,0.0494720036,0.0352415586,0.0534999531
10/1970,-0.051384204,-0.020351469,-0.002523287
11/1970,0.0559414747,0.0507769033,0.0489155506
12/1970,0.076907352,0.0654433719,0.0549929405
01/1971,0.0687771974,0.0572204899,0.0338761263
02/1971,-4.55116E-6,0.0188758876,0.0289335525
03/1971,0.0527477023,0.0368930685,0.0486568195
04/1971,0.0184393656,0.0419449259,0.0361690493
05/1971,-0.044806404,-0.038692312,-0.032860733
06/1971,-0.00505392,0.0052269525,0.0040628861
07/1971,-0.051217568,-0.049028911,-0.037153317
08/1971,0.0682672094,0.0523104469,0.0317109715
09/1971,-0.015814957,-0.010606786,0.0011462845
10/1971,-0.040326097,-0.042754885,-0.037395283
11/1971,-0.008480087,-0.005504493,0.0040208714
12/1971,0.0980878715,0.0863623969,0.0939104263
01/1972,0.0467010859,0.0109553904,0.0299649209
02/1972,0.0175575058,0.0088886203,0.0489231636
03/1972,0.0062130249,0.0131846897,0.0065334039
04/1972,0.0147753302,-0.000320494,0.0085308225
05/1972,-0.016356403,-0.006099326,0.0356255335
06/1972,-0.042500564,-0.03191817,-0.007187091
07/1972,-0.012270533,-0.01183299,0.0019891609
08/1972,0.0511620661,0.0520413214,0.0261711577
09/1972,-0.027804641,-0.012453403,-0.004973476
10/1972,0.0085537221,0.0194057202,0.005448867
11/1972,0.0564164937,0.0761135122,0.0350791333
12/1972,-0.025143325,-0.002329062,0.0220549906
01/1973,-0.056427509,-0.04800812,-0.00941547
02/1973,-0.06229044,-0.043210559,-0.035463506
03/1973,0.0049259907,-0.012090766,-0.003520066
04/1973,-0.052199182,-0.04488248,-0.04589542
05/1973,-0.045133173,-0.013842516,-0.018281222
06/1973,-0.001503482,-0.018469779,-0.006497183
07/1973,0.0748478934,0.0565694582,0.05049355
08/1973,-0.022212831,-0.018594842,-0.036600612
09/1973,0.08401664,0.0941574753,0.0268078608
10/1973,0.0038704048,-0.001351258,0.0016596008
11/1973,-0.125611375,-0.130477519,-0.118967131
12/1973,0.0302449592,0.0489202074,-0.004369711
01/1974,0.0253594976,0.0050359704,-0.011028378
02/1974,0.0088615527,0.0125593261,-0.009517661
03/1974,-0.037561336,-0.02979191,-0.013220453
04/1974,-0.06641181,-0.063530383,-0.028041347
05/1974,-0.087300673,-0.055675227,-0.021478718
06/1974,-0.058967084,-0.021743548,-0.012026267
07/1974,-0.055076931,-0.034433417,-0.08490645
08/1974,-0.089029607,-0.074133975,-0.097476835
09/1974,-0.067833522,-0.074682501,-0.137634919
10/1974,0.1650722672,0.1574363722,0.1832197104
11/1974,-0.017869753,-0.020979628,-0.048287659
12/1974,-0.034558603,-0.011608588,-0.035186022
01/1975,0.2010853145,0.1391207607,0.1260418042
02/1975,0.0165172887,0.0257828229,0.0874169575
03/1975,0.0191509837,0.0443605019,0.0304246925
04/1975,0.0278586325,0.0462480392,0.0578321413
05/1975,0.070761818,0.0622273765,0.0547083458
06/1975,0.0803772461,0.0679665384,0.0412744704
07/1975,-0.06187517,-0.042627371,-0.071000876
08/1975,-0.048027005,-0.02667929,-0.01451256
09/1975,-0.056350241,-0.026429763,-0.037253812
10/1975,0.0541664341,0.0641480141,0.0594415791
11/1975,0.0482151332,0.0305083537,0.0238535463
12/1975,-0.000613576,-0.005146142,-0.017065891
01/1976,0.1396422004,0.1344466356,0.1221212525
02/1976,0.0327259713,0.0116104376,-0.008821245
03/1976,0.0311811702,0.0216287377,0.0311699336
04/1976,-0.01721444,-0.001011453,-0.01398357
05/1976,-0.023235981,-0.014900275,-0.001321951
06/1976,0.0594502767,0.0553168543,0.0401695715
07/1976,0.0066147899,-0.002942035,-0.01243621
08/1976,-0.009300731,0.0042511685,-0.006153696
09/1976,0.0150435554,0.0369930209,0.0243374291
10/1976,-0.014101618,-0.012026295,-0.031060507
11/1976,0.0191689943,0.0231716768,-0.007973561
12/1976,0.0854352463,0.0629633786,0.0526960764
01/1977,-0.027410622,-0.022984694,-0.051287573
02/1977,-0.02134912,-0.02324182,-0.014525749
03/1977,-0.002226254,-0.011115092,-0.010290276
04/1977,0.0202935083,0.0179438758,-0.007567631
05/1977,-0.009176475,-0.008225541,-0.016441199
06/1977,0.0574916475,0.0479575222,0.0552086385
07/1977,-0.004380785,-0.011829643,-0.016765966
08/1977,-0.01993048,-0.028604003,-0.002681168
09/1977,0.0013135005,0.0030854523,-0.004554068
10/1977,-0.046227477,-0.032834433,-0.037585169
11/1977,0.054609657,0.0500325399,0.0409624759
12/1977,-0.002444109,0.0061892929,0.0100424506
01/1978,-0.045338097,-0.056873754,-0.058621645
02/1978,-0.004334496,-0.005826854,-0.020900557
03/1978,0.0549192417,0.0381929056,0.024811814
04/1978,0.0714884677,0.0719027713,0.1017402682
05/1978,0.0235788157,0.0194344494,0.0267301571
06/1978,-0.005395639,-0.014552089,-0.012339443
07/1978,0.0549227448,0.0516965284,0.0664753056
08/1978,0.0462913635,0.0451907404,0.0435370139
09/1978,-0.00261583,0.0039095228,-0.021380229
10/1978,-0.134278467,-0.11355004,-0.107928761
11/1978,0.0267906622,0.045003285,0.0312472833
12/1978,0.0041755429,0.0081508193,0.0299780514
01/1979,0.0716687051,0.0551498781,0.0402992739
02/1979,-0.029816597,-0.023157955,-0.037038014
03/1979,0.0715822126,0.0711664883,0.0613074752
04/1979,0.0019462645,0.0131873017,0.0085027865
05/1979,-0.002826888,-0.020050561,-0.01899135
06/1979,0.0668445916,0.0595951444,0.0308377954
07/1979,0.0244183716,0.0272003727,0.0062843893
08/1979,0.0507692217,0.0690171953,0.067376778
09/1979,-0.01197153,0.0184606652,-0.004948913
10/1979,-0.088689127,-0.063939178,-0.069818507
11/1979,0.0698790273,0.063421489,0.056506864
12/1979,0.0257239901,0.0321245139,0.0251325821
01/1980,0.0648875786,0.078925016,0.0546843223
02/1980,-0.025976892,0.0300155062,-0.021186171
03/1980,-0.127152738,-0.129953863,-0.102201423
04/1980,0.0868100615,0.0517629304,0.0339235094
05/1980,0.0611379794,0.0585743477,0.0598214129
06/1980,0.0453561084,0.0314478849,0.0355332302
07/1980,0.0293861331,0.0677120331,0.0879310868
08/1980,0.0220083238,0.0184761406,0.0238256188
09/1980,0.0133187412,0.0294022145,0.0374615898
10/1980,0.0052420487,0.0206492042,0.0301365098
11/1980,0.048580255,0.1331962788,0.1227362059
12/1980,0.0122584918,-0.040211892,-0.042427949
01/1981,-0.013597818,-0.049491044,-0.050845881
02/1981,0.0152021519,0.0112915055,0.0222892163
03/1981,0.0626971806,0.0458083005,0.0389419972
04/1981,0.0080704226,-0.020768205,-0.018629611
05/1981,0.0352411482,-0.00089141,0.0037379967
06/1981,0.000687128,0.0002845238,-0.013091085
07/1981,-0.02785964,-0.002828015,0.0064985643
08/1981,-0.0542319,-0.060647646,-0.060952533
09/1981,-0.048817387,-0.060149814,-0.063138412
10/1981,0.0569261461,0.0580499167,0.0635297237
11/1981,0.0454117057,0.0469503464,0.0438059302
12/1981,-0.030968156,-0.019696504,-0.028646651
01/1982,-0.018643925,-0.032102766,-0.023110078
02/1982,-0.020945939,-0.036097231,-0.058644412
03/1982,0.000825391,-0.001312842,-0.01358009
04/1982,0.0395331474,0.0486634797,0.0504289364
05/1982,-0.041817808,-0.036283967,-0.020096415
06/1982,-0.014347694,-0.019543189,-0.019391546
07/1982,-0.024723745,-0.023211777,-0.020731822
08/1982,0.1133951492,0.1347141156,0.1101633243
09/1982,0.0309871756,0.0171415488,0.0179144925
10/1982,0.1594761692,0.105498706,0.1086054156
11/1982,0.0632570814,0.0487157783,0.0495703104
12/1982,-0.002341274,0.0146477946,0.0203518963
01/1983,0.0329217095,0.0465954964,0.0348536392
02/1983,0.0378251472,0.0401434106,0.0288852942
03/1983,0.0503017071,0.0385258142,0.0294436969
04/1983,0.0933901278,0.0629035313,0.0736824131
05/1983,0.0170902553,0.0238559257,0.0006241183
06/1983,0.0254104052,0.0235471124,0.052147705
07/1983,-0.030109219,-0.021419693,-0.03915646
08/1983,-0.007503233,0.0175822076,-0.001454832
09/1983,0.0096352787,0.0178514662,0.0212638757
10/1983,-0.034801844,-0.007670508,-0.028852705
11/1983,0.0489955427,0.0207362069,0.0226046107
12/1983,-0.008790589,-0.017294451,-0.006694803
01/1984,-0.003315902,-0.005273067,-0.02274173
02/1984,-0.058411545,-0.028020795,-0.036672934
03/1984,0.0208599468,0.0143860184,0.012261549
04/1984,-0.022655627,0.0082112307,0.0139350384
05/1984,-0.082479072,-0.04639089,-0.041609319
06/1984,0.017187443,0.0150361121,0.033509147
07/1984,-0.039585101,-0.017935117,-0.017934455
08/1984,0.131078622,0.1123474989,0.109233688
09/1984,0.003294743,0.0056306232,-0.005898975
10/1984,-0.000898578,0.0051069054,0.0026775034
11/1984,-0.009232195,-0.003802242,-0.015483241
12/1984,0.0303387877,0.026344603,0.0217395632
01/1985,0.1060592957,0.0706288568,0.0870184311
02/1985,0.0092072037,0.0205091559,0.0195782114
03/1985,-0.008171339,0.0030773205,-0.005236933
04/1985,0.0079718202,0.0041942216,-0.009427464
05/1985,0.0530973202,0.0580646159,0.0578328286
06/1985,0.0189995546,0.0179313962,0.014651235
07/1985,-0.004760631,-0.009714267,0.0071098294
08/1985,-0.006414967,0.0040251162,-0.009323994
09/1985,-0.052140272,-0.041090422,-0.030753248
10/1985,0.0635528159,0.0505574502,0.0411129017
11/1985,0.0604160826,0.0579824527,0.0800695293
12/1985,0.0391090049,0.0434307671,0.0491506149
01/1986,0.0307640688,0.0156150832,-0.000481919
02/1986,0.0786997119,0.0701032889,0.076736771
03/1986,0.0545573705,0.0460903596,0.0601697792
04/1986,-0.023258407,-0.015606748,0.0026848017
05/1986,0.0466641252,0.0514199672,0.0532493877
06/1986,0.0012907615,0.0237417488,0.0155300852
07/1986,-0.083121893,-0.03107871,-0.063014866
08/1986,0.0777061927,0.0815840211,0.0543092938
09/1986,-0.074741137,-0.073790487,-0.088729377
10/1986,0.0323416612,0.0576482656,0.0527605903
11/1986,0.0019509337,0.014195403,0.0239114684
12/1986,-0.025879959,-0.031016655,-0.022351045
01/1987,0.1145524339,0.115934903,0.1403038401
02/1987,0.0573873961,0.0246257538,0.0562772464
03/1987,0.0215691367,0.018035408,0.0212758921
04/1987,-0.016530874,-0.02596217,-0.01141234
05/1987,-0.001284413,0.0038296823,0.0062559718
06/1987,0.040305026,0.0470286051,0.0476815432
07/1987,0.0410440096,0.0355599865,0.0426080795
08/1987,0.0287563097,0.0365892634,0.0464527733
09/1987,-0.019738363,-0.016790412,-0.028762167
10/1987,-0.272433809,-0.19890415,-0.218624235
11/1987,-0.061534905,-0.062374486,-0.084783293
12/1987,0.0627622888,0.0645820858,0.0802445907
01/1988,0.070513638,0.0552159367,0.031569372
02/1988,0.0536361503,0.0414916552,0.0550593341
03/1988,-0.005173406,-0.008512696,-0.031927056
04/1988,0.0142942959,0.0088305633,0.0090354607
05/1988,0.0048295605,0.0082493229,0.002295538
06/1988,0.0615543135,0.0441564663,0.0557680668
07/1988,-0.001960191,-0.002355947,-0.014706999
08/1988,-0.01216594,-0.019846382,-0.03733951
09/1988,0.0319680593,0.0420573182,0.0393042602
10/1988,0.0053090334,0.0253795591,0.0186060145
11/1988,-0.024910229,-0.00816603,-0.022434195
12/1988,0.0114557168,0.0153813411,0.0274714981
01/1989,0.0729529634,0.0576460028,0.0675972851
02/1989,-0.002358454,-0.016865667,-0.023936565
03/1989,0.0410885081,0.0260109711,0.0115416281
04/1989,0.0431642292,0.0525848731,0.0495815019
05/1989,0.0480585055,0.0443663657,0.0375277877
06/1989,-0.004768,-0.000471314,-0.011404042
07/1989,0.0665039185,0.0741936731,0.0858550261
08/1989,0.0230378127,0.0210974214,0.0211886975
09/1989,0.003197588,0.0036933238,-0.006227814
10/1989,-0.05928963,-0.01822857,-0.021919966
11/1989,-0.000160321,0.0307111887,0.0193717603
12/1989,-0.005364638,0.0281919179,0.0210268159
01/1990,-0.090320982,-0.071971247,-0.062113261
02/1990,0.029352673,0.0157177197,0.0130444353
03/1990,-0.002934665,0.0238042021,0.0345458283
04/1990,-0.044796478,-0.037771751,-0.011662907
05/1990,0.0861045537,0.0764674068,0.105997183
06/1990,-0.019021533,-0.011509088,0.0049541978
07/1990,-0.036639669,0.0013892101,-0.010101201
08/1990,-0.105181235,-0.083141816,-0.097599909
09/1990,-0.102839124,-0.030926097,-0.055706068
10/1990,-0.065845025,-0.00252141,-0.000119279
11/1990,0.1074492771,0.0480210089,0.0766032248
12/1990,0.0341544668,0.019674162,0.0397400411
01/1991,0.0633627304,0.0358495226,0.0573903139
