date,p1,p2,p3
08/1971,,,-0.03125
09/1971,,-0.012048192,-0.043988269
10/1971,-0.043395349,-0.022329925,-0.037847205
11/1971,-0.0223261,-0.002607952,0.0132067494
12/1971,0.1092593069,0.0842621848,0.0941855706
01/1972,0.0542283258,0.0134311357,0.0334878072
02/1972,0.0376797266,0.0272670035,0.0449630739
03/1972,-0.01908862,-0.010107751,0.0252803441
04/1972,0.0171422719,0.0078661331,0.0064666517
05/1972,-0.013429322,0.0151906409,0.0302268688
06/1972,-0.038492608,-0.032792339,-0.009582818
07/1972,-0.034584176,-0.017460865,0.0085678941
08/1972,0.0715552122,0.0218886457,0.0203821681
09/1972,-0.025060866,-0.012626283,-0.004049222
10/1972,0.0068190526,0.0137185961,-0.000743306
11/1972,0.0897339114,0.0582716153,0.0248220566
12/1972,-0.01018117,0.0039016652,0.0275274119
01/1973,-0.041979893,-0.008434276,-0.022412804
02/1973,-0.052344019,-0.036873053,-0.030471705
03/1973,0.0071885952,0.0089872797,-0.006488686
04/1973,-0.03590564,-0.037285186,-0.063826023
05/1973,-0.045222428,-0.020420263,-0.014774426
06/1973,-0.042740252,-0.013053684,-0.003361178
07/1973,0.1086812909,0.0770181586,0.0431055836
08/1973,-0.031885156,-0.033425081,-0.02950989
09/1973,0.0849995228,0.0295623125,0.0498890066
10/1973,0.0095752725,0.006648185,0.0029541698
11/1973,-0.143151239,-0.128286331,-0.113205622
12/1973,0.0186904802,0.0423157056,-0.00531638
01/1974,0.0285777696,-0.008691347,-0.014033994
02/1974,0.0225723156,0.0112196794,-0.016759559
03/1974,-0.031791358,-0.019857053,-0.012377019
04/1974,-0.064641173,-0.036442467,-0.037729505
05/1974,-0.065693971,-0.02343092,-0.041666102
06/1974,-0.041457011,-0.024388688,-0.015471979
07/1974,-0.045820728,-0.075724547,-0.075165515
08/1974,-0.075685856,-0.087760303,-0.100796603
09/1974,-0.074670528,-0.113985595,-0.135966198
10/1974,0.0833673842,0.1782941617,0.2048629267
11/1974,-0.036654433,-0.030355876,-0.042365049
12/1974,-0.031245497,-0.026339603,-0.031855224
01/1975,0.205804169,0.1507518649,0.1125581862
02/1975,0.0387410339,0.0624269376,0.0622904029
03/1975,0.0380156938,0.0151386631,0.0274305623
04/1975,0.0562002683,0.0350875442,0.0614409955
05/1975,0.0585621568,0.0508989814,0.0605538441
06/1975,0.0866100881,0.0645764032,0.0410170158
07/1975,-0.047679717,-0.056100025,-0.072875935
08/1975,-0.023730481,-0.026079651,-0.01771078
09/1975,-0.034503025,-0.047350268,-0.033284471
10/1975,0.0579782022,0.0622279886,0.06075226
11/1975,0.0335297898,0.0374951908,0.0249455745
12/1975,-0.001104911,-0.018126019,-0.012244394
01/1976,0.1313025189,0.134997336,0.1225195206
02/1976,0.0013820626,0.0043489802,0.0033615441
03/1976,0.0177356986,0.0295357479,0.0309032295
04/1976,-0.018928465,-0.007686016,-0.011719751
05/1976,-0.023718245,-0.014727684,0.0034957386
06/1976,0.0416266038,0.0569834275,0.0450693284
07/1976,0.0031429574,-0.010186739,-0.009535561
08/1976,0.0167062961,-0.005384197,-0.008131767
09/1976,0.0261680676,0.0272798499,0.0257213261
10/1976,-0.021958958,-0.022584821,-0.024176018
11/1976,0.0305082184,0.0160673207,-0.010238078
12/1976,0.0664774642,0.0713332738,0.0499137802
01/1977,-0.008281622,-0.033637988,-0.057106265
02/1977,-0.025978485,-0.017917919,-0.017913925
03/1977,0.0038974115,-0.009547028,-0.013585852
04/1977,0.0166804168,0.0209622346,-0.010376936
05/1977,-0.011787332,-0.013354376,-0.015885845
06/1977,0.0504222022,0.046250336,0.0588130077
07/1977,-0.010349384,-0.013658741,-0.016166366
08/1977,-0.020389234,-0.023134433,-0.005967964
09/1977,-0.002340274,-0.001564157,-0.00330532
10/1977,-0.035743934,-0.039737653,-0.036633089
11/1977,0.0477210794,0.041670744,0.0470432809
12/1977,0.0058794089,-0.000146477,0.0099911557
01/1978,-0.049165742,-0.05886329,-0.056886864
02/1978,-0.014400149,-0.013938163,-0.021308678
03/1978,0.0430047413,0.0362551567,0.0282484368
04/1978,0.0461407911,0.0783235492,0.1141316016
05/1978,0.0320589082,0.0142771947,0.0212219872
06/1978,-0.021254966,-0.015362756,-0.007943268
07/1978,0.0575233404,0.0539120744,0.0662887087
08/1978,0.0402892347,0.0413020363,0.0459796626
09/1978,0.0017851683,0.0037934479,-0.027109557
10/1978,-0.122080163,-0.102470152,-0.112552746
11/1978,0.0354516492,0.031312693,0.0344197081
12/1978,-0.003578806,0.0100634519,0.0338138825
01/1979,0.0635914305,0.0541151996,0.0369544002
02/1979,-0.022781878,-0.024949467,-0.034350563
03/1979,0.0651514812,0.0647855266,0.0658560073
04/1979,0.0051109375,0.0123688611,0.00502106
05/1979,-0.015987708,-0.012959076,-0.0167201
06/1979,0.0481718099,0.0584730857,0.0353426686
07/1979,0.0216844959,0.0219783579,0.0104786062
08/1979,0.0527149363,0.0637458671,0.0659385956
09/1979,-0.015444818,0.0102120743,-0.000284892
10/1979,-0.086639896,-0.05837394,-0.076185495
11/1979,0.0396784051,0.0659978964,0.0648251843
12/1979,0.0315283974,0.0209921197,0.0265640998
01/1980,0.0536583943,0.0599735806,0.0729197046
02/1980,0.0044924136,0.00849988,0.0065905608
03/1980,-0.105562971,-0.11126735,-0.118939585
04/1980,0.0607398276,0.0505230301,0.0443898071
05/1980,0.0692984206,0.0698246072,0.0503810212
06/1980,0.0339758952,0.0264948225,0.0390751363
07/1980,0.0778390078,0.057157315,0.073405291
08/1980,0.0066288938,0.0209406369,0.0206938096
09/1980,0.0068090899,0.0127809751,0.0447421553
10/1980,-0.00129516,0.0065159366,0.0367884116
11/1980,0.0469285007,0.1105287271,0.1337399357
12/1980,-0.031093639,-0.026429966,-0.036714999
01/1981,-0.008984673,-0.040741246,-0.059091937
02/1981,0.0125808678,0.0110728006,0.0164742709
03/1981,0.0602144162,0.0491785395,0.0292518153
04/1981,-0.012681902,-0.019156317,-0.018943376
05/1981,0.0144884373,0.0053623264,0.0018124168
06/1981,-0.014410514,0.0115483334,-0.012967805
07/1981,-0.025766011,-0.00711334,0.0120980717
08/1981,-0.069934549,-0.055178624,-0.05782451
09/1981,-0.064512908,-0.060141919,-0.054521135
10/1981,0.043193735,0.0492115628,0.070929647
11/1981,0.0351250591,0.0562647582,0.0433204127
12/1981,-0.019837219,-0.023231965,-0.032262602
01/1982,-0.028271833,-0.016932907,-0.027089674
02/1982,-0.046473361,-0.034514198,-0.052244073
03/1982,0.0062404647,-0.007281128,-0.017260442
04/1982,0.0442074553,0.0430007164,0.0510399887
05/1982,-0.031836264,-0.025505072,-0.028139432
06/1982,-0.006398298,-0.018280043,-0.019512103
07/1982,-0.027207387,-0.034931243,-0.008222255
08/1982,0.1200670005,0.1270886968,0.1149136868
09/1982,0.0028946138,0.0192279719,0.0219437407
10/1982,0.136139317,0.1049859773,0.120294151
11/1982,0.0761994994,0.0360686978,0.0509323018
12/1982,0.0161414298,0.0132489802,0.0121001989
01/1983,0.0442691972,0.04181648,0.0285434118
02/1983,0.045336727,0.0293876688,0.0327002272
03/1983,0.0228924731,0.0376456556,0.0343938403
04/1983,0.0819444335,0.0579470241,0.0815496271
05/1983,0.0326397016,0.0127189661,-0.001884228
06/1983,0.0327457512,0.0329233655,0.045833215
07/1983,-0.035645009,-0.026077563,-0.035714557
08/1983,0.0047171568,0.0163017126,-0.0027432
09/1983,0.0080507104,0.0093247007,0.0271709863
10/1983,-0.032258775,-0.022497202,-0.018211607
11/1983,0.0586513681,0.0283834985,0.0157898444
12/1983,-0.005331889,-0.007839074,-0.013053987
01/1984,-0.010622757,0.0103350599,-0.033356288
02/1984,-0.051983523,-0.028132765,-0.03509535
03/1984,0.0242917627,0.0175478305,0.0097511804
04/1984,-0.010699629,0.0049134733,0.0123249896
05/1984,-0.064900199,-0.061519267,-0.041818183
06/1984,0.0289684464,0.0177691856,0.0294543302
07/1984,-0.047653274,-0.022266783,-0.011568348
08/1984,0.119720883,0.1018271072,0.1172236082
09/1984,0.0070595448,0.0072861335,-0.008970564
10/1984,-0.01759614,0.0066257439,0.0085816467
11/1984,-0.014483416,-0.00579367,-0.011187576
12/1984,0.0145795925,0.0237671153,0.0324985532
01/1985,0.0871687337,0.0768129515,0.087970948
02/1985,0.0129245369,0.0178204619,0.017147889
03/1985,-0.008879902,0.0058241693,-0.007240625
04/1985,-0.000335837,0.0066121696,-0.005623012
05/1985,0.0580443145,0.0522365642,0.0620500126
06/1985,0.000766714,0.0200685919,0.0200785453
07/1985,0.0220141101,-0.008589085,-0.00279933
08/1985,-0.002434687,-0.002000317,-0.008444327
09/1985,-0.049620341,-0.031806832,-0.039360968
10/1985,0.036047177,0.0549078894,0.0482362935
11/1985,0.064432361,0.0622857867,0.0777684188
12/1985,0.0284988834,0.0411477594,0.0542207
01/1986,0.0070259368,0.0181305568,0.0068393929
02/1986,0.062063787,0.0656387348,0.0756938775
03/1986,0.0410838127,0.0384166067,0.0648263963
04/1986,-0.01344503,-0.012337627,-0.003880676
05/1986,0.0471862939,0.0514495792,0.0531666897
06/1986,-0.00272746,0.0076757423,0.0272686806
07/1986,-0.090531026,-0.051991739,-0.05418871
08/1986,0.0850307917,0.0809998306,0.0564567927
09/1986,-0.044937454,-0.083716977,-0.091481527
10/1986,0.0485992473,0.0506425475,0.0508284805
11/1986,0.010580119,0.0196516295,0.0176901238
12/1986,-0.034325472,-0.030105396,-0.019612205
01/1987,0.1250394862,0.1199619112,0.136248831
02/1987,0.0410647463,0.0192731226,0.0625161413
03/1987,0.0491420429,0.0066366327,0.0183693211
04/1987,0.0092961384,-0.030522968,-0.017903099
05/1987,0.007587789,0.0089569796,-0.003706553
06/1987,0.0412913145,0.0445243578,0.0479251333
07/1987,0.0639309344,0.0324362782,0.0385651667
08/1987,0.0161132092,0.043615064,0.0468083606
09/1987,-0.023961194,-0.029819683,-0.017386672
