date,p1,p2,p3
07/1963,-0.007518309,0.008586081,0.0000571504
08/1963,0.0661029599,0.047372559,0.0532143177
09/1963,-0.010430427,-0.018707552,-0.017970097
10/1963,0.0128096009,0.016445186,0.0424226274
11/1963,-0.010388338,-0.006091065,-0.013829138
12/1963,0.0285520325,0.0335631382,0.0204485156
01/1964,0.0196613066,0.0255610015,0.0284095883
02/1964,0.0260290145,0.01845324,0.0192549705
03/1964,0.0434202939,0.019001958,0.0147136763
04/1964,-0.003735912,0.0100964873,0.0018400702
05/1964,0.0236560161,0.0148003692,0.0160011916
06/1964,0.0168457469,0.01612272,0.0097164718
07/1964,0.0148365372,0.0254858966,0.027734087
08/1964,-0.006983433,-0.013383997,-0.011689404
09/1964,0.0452545666,0.0337324963,0.029257001
10/1964,0.0153126769,0.0177646093,0.0046754385
11/1964,-0.013764978,0.010830263,0.011868257
12/1964,-0.019287476,0.0006572295,0.0078753621
01/1965,0.0500401525,0.0265646292,0.04490991
02/1965,0.0239197418,-0.001855961,0.0054901852
03/1965,-0.00506259,-0.012045879,-0.012943821
04/1965,0.040248465,0.0227691503,0.039862358
05/1965,-0.002229637,-0.000747207,-0.00722559
06/1965,-0.062231259,-0.042420799,-0.047676017
07/1965,0.035666222,0.0080813569,0.0199400133
08/1965,0.0315743301,0.0200891006,0.0382287615
09/1965,0.0275196099,0.0364618247,0.0390173508
10/1965,0.0392906882,0.0166716199,0.0383683536
11/1965,0.0136286233,-0.001398917,0.0081314233
12/1965,0.0263041254,0.0131380986,0.0061037471
01/1966,0.0348425221,-0.00944172,0.0152771574
02/1966,-0.003198667,-0.027234844,-0.006107438
03/1966,-0.025259738,-0.018223452,-0.014001096
04/1966,0.0279733153,0.0271205732,0.0226905288
05/1966,-0.065408674,-0.050601648,-0.047428526
06/1966,0.0005924849,-0.015492465,-0.015007606
07/1966,-0.007845696,-0.0079877,-0.0146419
08/1966,-0.075752483,-0.066052473,-0.082210391
09/1966,-0.008601517,0.0060094548,-0.011952336
10/1966,0.0463372269,0.0631805455,0.0323499329
11/1966,0.01627174,-0.010774626,0.0458841888
12/1966,0.0067421854,0.0118918803,-0.005376819
01/1967,0.1033890631,0.0578557278,0.0846021075
02/1967,-0.001814925,0.0004214305,0.0211856998
03/1967,0.0438476009,0.0368416726,0.0453035399
04/1967,0.0312679184,0.0306239402,0.0612425293
05/1967,-0.027201373,-0.037409787,-0.047781617
06/1967,0.0309614312,0.0143882435,0.0232452873
07/1967,0.0617108895,0.0662595711,0.0455301824
08/1967,-0.000953156,-0.007556711,-0.007939333
09/1967,0.0221778359,0.0286984442,0.0478697929
10/1967,-0.040351438,-0.041064072,-0.006026241
11/1967,-0.002438609,0.0151888236,0.0064351754
12/1967,0.0411046841,0.026606982,0.0321936983
01/1968,-0.019011983,-0.03287922,-0.058108289
02/1968,-0.035011876,-0.025911401,-0.033184924
03/1968,-0.00601794,-0.000853328,0.0185316811
04/1968,0.0910534601,0.0762336759,0.1085345971
05/1968,0.0239560999,0.0047932794,0.0371124888
06/1968,0.0129671085,0.0197657147,0.0008043824
07/1968,-0.011850902,-0.00399747,-0.03853779
08/1968,0.0281555537,0.0171215488,0.0119098916
09/1968,0.0666729723,0.0397314726,0.0315784869
10/1968,0.0215721101,0.0112981249,-0.003241531
11/1968,0.0537157705,0.0612268056,0.0594596167
12/1968,-0.025421855,-0.031280441,-0.041868281
01/1969,-0.00660158,-0.000491061,-0.020724792
02/1969,-0.0699421,-0.05157692,-0.042606333
03/1969,0.0450727206,0.0336703177,0.032940336
04/1969,0.0147037177,0.0089400671,0.0264344647
05/1969,0.0066510064,0.0040045691,0.001292968
06/1969,-0.094877646,-0.072687179,-0.039000493
07/1969,-0.075951252,-0.077038151,-0.051061169
08/1969,0.0434656124,0.0452737049,0.0582896003
09/1969,-0.040172841,-0.038522377,-0.00771843
10/1969,0.0575297704,0.047890718,0.0605182857
11/1969,-0.050732491,-0.039291842,-0.024007729
12/1969,-0.036989041,-0.017085363,-0.004252426
01/1970,-0.075742862,-0.082930045,-0.076944365
02/1970,0.0828401828,0.0636214069,0.0411640993
03/1970,-0.009929721,0.0043861286,-0.008463444
04/1970,-0.115130423,-0.091198817,-0.102980766
05/1970,-0.066161388,-0.045200189,-0.070292574
06/1970,-0.070367986,-0.039050087,-0.04910271
07/1970,0.0745602514,0.0924982369,0.0522647435
08/1970,0.0530887178,0.0564133438,0.046638581
09/1970,0.0561635927,0.0233378381,0.0615635799
10/1970,-0.046894072,-0.005181272,-0.011172747
11/1970,0.0442612283,0.0514770335,0.0525354556
12/1970,0.0670580153,0.0650194659,0.056202548
01/1971,0.079750445,0.0293524524,0.0450813082
02/1971,0.0152561827,0.0233314298,0.0220868633
03/1971,0.0423065483,0.0379704953,0.0528400528
04/1971,0.0431051596,0.034680491,0.0317854979
05/1971,-0.046211136,-0.035693102,-0.032650752
06/1971,-0.015352021,0.0083155336,0.0057845547
07/1971,-0.052437572,-0.035810604,-0.043755647
08/1971,0.0800031551,0.0162471341,0.0475711087
09/1971,-0.021198401,-0.005148583,0.001354327
10/1971,-0.056344387,-0.037217502,-0.034011147
11/1971,-0.014846142,-0.000584732,0.0052650791
12/1971,0.0947657388,0.092235826,0.0920729238
01/1972,0.0416383381,0.0121631078,0.0315535432
02/1972,0.0168958366,0.0223273903,0.0455699061
03/1972,0.0050852381,-0.010309718,0.0210729175
04/1972,0.0091063617,0.0010427655,0.0098748448
05/1972,-0.013909347,0.0149977803,0.027824819
06/1972,-0.046689237,-0.020401263,-0.009162738
07/1972,-0.019265045,-0.014026639,0.0064531488
08/1972,0.0487512648,0.0561737527,0.0217383105
