date,p1,p2,p3
08/1971,,0.162499994,-0.03125
09/1971,,-0.010752688,-0.032916414
10/1971,-0.054634917,-0.026731953,-0.038230521
11/1971,0.0046209601,0.0015380574,-0.00149912
12/1971,0.0995190558,0.0865142866,0.0891122567
01/1972,0.038305349,0.0223042034,0.0221537927
02/1972,0.0389545992,0.0507478959,0.0221350675
03/1972,0.0250113933,-0.008856212,-0.012116137
04/1972,0.0153933967,0.0104344966,-0.005792806
05/1972,0.0366004591,0.0063125845,0.0095005235
06/1972,-0.00734966,-0.031631726,-0.026349517
07/1972,0.0098298034,-0.016543128,-0.012035387
08/1972,0.0085425331,0.0496094268,0.0735561605
09/1972,-0.003269991,-0.018181538,-0.019001246
10/1972,0.0030770875,0.012151624,-0.000460479
11/1972,0.0245821976,0.06836525,0.0806985643
12/1972,0.028495647,-0.001245372,-0.017874834
01/1973,-0.016154001,-0.025939856,-0.04142361
02/1973,-0.021502915,-0.057634772,-0.058762334
03/1973,0.00028759,0.0050515947,-0.005977869
04/1973,-0.062440835,-0.0336431,-0.031357137
05/1973,-0.008270099,-0.032328445,-0.048154275
06/1973,-0.006742279,-0.00972942,-0.025961612
07/1973,0.0592703558,0.0455716962,0.0792806744
08/1973,-0.034193697,-0.029336688,-0.024624673
09/1973,0.0191102336,0.0871739414,0.10223861
10/1973,0.0108286226,-0.002538759,-0.014279376
11/1973,-0.113756879,-0.130885875,-0.152133963
12/1973,-0.013161058,0.0551429658,0.0550277701
01/1974,-0.018720917,0.0014048636,0.0402690512
02/1974,-0.003892808,0.0137401945,-0.010521507
03/1974,-0.017829341,-0.026310645,-0.008813784
04/1974,-0.038179529,-0.053969336,-0.035050647
05/1974,-0.029249713,-0.060173562,-0.043227931
06/1974,-0.018355132,-0.03003832,-0.021687144
07/1974,-0.104509664,-0.033414135,-0.012941054
08/1974,-0.099957095,-0.082181302,-0.072629233
09/1974,-0.144735015,-0.075490647,-0.078473125
10/1974,0.1932378653,0.161393301,0.1321640302
