date,p1,p2,p3
07/1963,0.0002132416,0.0022011043,-0.00554565
08/1963,0.0514304771,0.0485510331,0.0655271175
09/1963,-0.020823499,-0.018252405,-0.015462787
10/1963,0.0261482355,0.0359720999,0.020220798
11/1963,-0.014971419,-0.010617614,-0.002914868
12/1963,0.0105242645,0.0206793061,0.0323879948
01/1964,0.025264557,0.0341619018,0.0137151174
02/1964,0.0103360649,0.02841981,0.0248595916
03/1964,0.0383742461,0.0112948307,0.0212449926
04/1964,-0.011140175,-0.002529529,0.0118949584
05/1964,0.0094712135,0.0124955731,0.0289470677
06/1964,0.0096630587,0.0095719362,0.0206976709
07/1964,0.0168206276,0.0197225368,0.0325843164
08/1964,-0.021950202,-0.009554745,-0.00558897
09/1964,0.0398116296,0.0315131516,0.0306625858
10/1964,0.0090255548,0.0179774861,0.010958239
11/1964,0.0003669691,0.0096307331,0.0069556983
12/1964,-0.007871612,-0.004083034,0.0045018638
01/1965,0.0396727525,0.0463090888,0.0296129901
02/1965,-0.004145596,0.0098394018,0.0107417621
03/1965,-0.009189779,-0.009703572,-0.013412862
04/1965,0.0382618401,0.0313416026,0.0319322613
05/1965,-0.004208598,-0.000166532,-0.014790776
06/1965,-0.061988107,-0.047101729,-0.040920281
07/1965,0.0171178941,0.0162619766,0.0230969626
08/1965,0.0286695306,0.0252420083,0.0374961653
09/1965,0.0454815497,0.0321947306,0.0351220174
10/1965,0.0419041939,0.0356418637,0.0265138436
11/1965,-0.020339562,0.0027253743,0.037911312
12/1965,0.0145684271,0.0042678346,0.0179227285
01/1966,-0.003346558,0.0060521594,0.0623190533
02/1966,-0.026040759,-0.005322755,0.0022959748
03/1966,-0.020920641,-0.016868139,-0.025782233
04/1966,0.0317964608,0.0246112212,0.0203979465
05/1966,-0.050091295,-0.042936139,-0.065177496
06/1966,-0.001543531,-0.010526045,-0.02203059
07/1966,-0.012458259,-0.002854752,-0.015190889
08/1966,-0.073544052,-0.073557064,-0.080974485
09/1966,-0.008776762,0.0052064986,-0.013680206
10/1966,0.0549597492,0.0657536831,0.0326383358
11/1966,-0.000490107,0.0038235312,0.0750896778
12/1966,0.003181139,0.0097848627,-0.003151464
01/1967,0.0704816181,0.0738806762,0.1198010468
02/1967,-0.006268578,0.0195716321,0.0183746215
03/1967,0.0338977577,0.038101372,0.050583449
04/1967,0.0286761854,0.0498983856,0.0433312129
05/1967,-0.03963288,-0.041872409,-0.039580005
06/1967,0.0401716164,0.0126859516,0.0270814652
07/1967,0.0545876494,0.0531714132,0.0591137219
08/1967,-0.006185871,-0.006129791,-0.003670239
09/1967,0.0466246501,0.0333271966,0.0270746025
10/1967,-0.026483307,-0.020057373,-0.036348424
11/1967,0.0030428352,0.0052576217,0.014701077
12/1967,0.0394836792,0.0282904041,0.0326915168
01/1968,-0.024247077,-0.050609891,-0.039414708
02/1968,-0.025352706,-0.02528766,-0.045556553
03/1968,0.0042472946,-0.001177193,0.0185536114
04/1968,0.0821932541,0.0846209786,0.1061900158
05/1968,0.0171610223,0.0153999291,0.0439828365
06/1968,0.0100817367,0.0120648801,0.0107323019
07/1968,-0.038549513,0.0029911349,-0.023894397
08/1968,0.0198471191,0.0160688114,0.0198632514
09/1968,0.0652914216,0.0256672448,0.0495239701
10/1968,0.008718697,0.0222188841,-0.002453478
11/1968,0.0450338998,0.0521642256,0.07673593
12/1968,-0.039463072,-0.02647252,-0.032923688
01/1969,-0.004290821,-0.014025046,-0.021735765
02/1969,-0.051945381,-0.052807885,-0.051810247
03/1969,0.0122686938,0.0448072127,0.0403224784
04/1969,0.0112588846,0.0142232962,0.0256511895
05/1969,0.0027872458,0.0040063012,0.00605522
06/1969,-0.074329674,-0.045425877,-0.077835637
07/1969,-0.05732744,-0.058844223,-0.076107905
08/1969,0.0500878557,0.0413831743,0.0616171473
09/1969,-0.016936333,-0.02470012,-0.033104758
10/1969,0.0550204878,0.0574249316,0.0473971551
11/1969,-0.043151742,-0.035805999,-0.025870357
12/1969,-0.018005695,-0.009666561,-0.026783779
01/1970,-0.084175616,-0.071053766,-0.062588395
02/1970,0.0562854666,0.0704166117,0.0433993268
03/1970,0.0040969734,0.0076017596,-0.015588853
04/1970,-0.079561253,-0.099970859,-0.117395692
05/1970,-0.067685448,-0.055981939,-0.063391041
06/1970,-0.049164446,-0.037569112,-0.061620755
07/1970,0.0645816743,0.06211312,0.0919435753
08/1970,0.0528579777,0.0505003377,0.0537746444
09/1970,0.0374018105,0.0408669157,0.0558616388
10/1970,-0.029843905,-0.004537428,-0.01391186
11/1970,0.0530121535,0.062004745,0.0416297132
12/1970,0.0506349928,0.0710665224,0.0635236562
01/1971,0.0328700567,0.0700397298,0.0791381922
02/1971,0.0263695422,0.0119650006,0.0246490386
03/1971,0.0326459388,0.0351111141,0.048794666
04/1971,0.0162267937,0.0431689498,0.0419113536
05/1971,-0.033405368,-0.042839852,-0.031143887
06/1971,-0.011375734,0.0061044851,0.0095578754
07/1971,-0.058061982,-0.035003109,-0.036115706
08/1971,0.0392776267,0.0384891257,0.0516317738
09/1971,-0.001945048,-0.007016166,-0.008402274
10/1971,-0.065433935,-0.040125131,-0.030783484
11/1971,-0.005940616,-0.000076059,0.0060818912
