date,p1,p2,p3
07/1963,0.0053192501,-0.000143691,0.002694093
08/1963,0.0555806981,0.0569473652,0.0557960882
09/1963,-0.016234777,-0.019081466,-0.011396044
10/1963,0.0659454613,0.0109275787,0.007188145
11/1963,-0.018539122,-0.010264609,-0.011134001
12/1963,0.0272974806,0.0310809403,0.0175615224
01/1964,0.0387038773,0.0209715466,0.0258270148
02/1964,0.0235324177,0.0152754181,0.0200473455
03/1964,0.0184239261,0.0183927819,0.0312687315
04/1964,0.0085983993,0.0053581814,0.0029649539
05/1964,0.0253012153,0.0054274608,0.0168215808
06/1964,0.007332808,0.0191114654,0.0213075507
07/1964,0.0375438976,0.0206289655,0.0231798444
08/1964,-0.007183564,-0.01540053,-0.005680258
09/1964,0.0373494578,0.0281984318,0.0354708955
10/1964,0.0197562509,0.008067439,0.0040559887
11/1964,0.0051474155,0.0115242707,0.011246631
12/1964,0.0085858896,-0.00137899,-0.001435599
01/1965,0.0500372848,0.0322379742,0.0394847373
02/1965,0.0106513822,-0.002120196,0.0131114378
03/1965,-0.005734171,-0.016522085,-0.007630719
04/1965,0.0447419873,0.0267581581,0.0340923672
05/1965,-0.00811544,-0.003390743,-0.000491972
06/1965,-0.0593275,-0.03581997,-0.060323142
07/1965,0.0289963758,0.0091151834,0.0179635796
08/1965,0.0430377194,0.0301482092,0.0182833143
09/1965,0.040106062,0.0251073749,0.0448638626
10/1965,0.0469374177,0.0202157211,0.0285183522
11/1965,0.0202649718,0.0062087234,-0.008491641
12/1965,0.0172314218,0.0130279733,0.0056483736
01/1966,0.0224194085,0.0026907507,0.0037840016
02/1966,0.0080682008,-0.022863951,-0.024725092
03/1966,-0.009499743,-0.017633826,-0.026275624
04/1966,0.0379428194,0.025092909,0.0164167005
05/1966,-0.050527406,-0.04982126,-0.05726086
06/1966,-0.010994912,-0.011346368,-0.013745387
07/1966,-0.016373839,-0.006329791,-0.007384473
08/1966,-0.082086671,-0.067981724,-0.072794769
09/1966,-0.019331029,0.0001017089,0.0066567523
10/1966,0.0205056042,0.0474197072,0.0707148495
11/1966,0.0388906927,0.0157346103,-0.001994489
12/1966,-0.001393969,-0.000353107,0.0103863685
01/1967,0.0954393485,0.0774892647,0.058272471
02/1967,0.0129831512,0.0095903409,0.00231834
03/1967,0.0555617863,0.0364780989,0.0351645916
04/1967,0.0646879177,0.0501574065,0.0166078733
05/1967,-0.053580309,-0.038648168,-0.028202215
06/1967,0.0260355778,0.0219748688,0.0173955859
07/1967,0.0405023703,0.0682016821,0.0620412063
08/1967,-0.008885693,-0.012485028,0.0029373039
09/1967,0.0474260625,0.02180594,0.0359974455
10/1967,-0.001858965,-0.038767408,-0.042706503
11/1967,0.0150374826,0.0088052239,-0.002443677
12/1967,0.0301887726,0.0330118122,0.0301161649
01/1968,-0.067369437,-0.04004342,-0.009586443
02/1968,-0.043831967,-0.027239868,-0.019508659
03/1968,0.0205282458,0.0053615403,-0.006176533
04/1968,0.1105169833,0.0793988214,0.0825541937
05/1968,0.0392903433,0.0127687402,0.0080578309
06/1968,-0.006068668,0.019576128,0.0165172544
07/1968,-0.033132136,-0.004747892,-0.026153454
08/1968,0.0114238802,0.0173432431,0.025216083
09/1968,0.0402814806,0.0263553925,0.0640227074
10/1968,-0.015034098,0.0202537899,0.0228231678
11/1968,0.0706129957,0.0617122955,0.0364830559
12/1968,-0.036776041,-0.037691034,-0.020213737
01/1969,-0.024117431,-0.002608394,-0.003208544
02/1969,-0.049596329,-0.047911174,-0.056457819
03/1969,0.0423278861,0.0352969277,0.0291108594
04/1969,0.018133449,0.0186250813,0.0147188584
05/1969,-0.006848268,0.017753516,-0.001370672
06/1969,-0.048051589,-0.06572607,-0.082626618
07/1969,-0.062651491,-0.061346059,-0.074123165
08/1969,0.0663733234,0.0398832114,0.0461230733
09/1969,-0.016704108,-0.028095981,-0.030086516
10/1969,0.0671925,0.0467733982,0.0457558832
11/1969,-0.025033727,-0.038834365,-0.037865234
12/1969,-0.008964103,-0.010743513,-0.028102362
01/1970,-0.085024278,-0.080858715,-0.069133578
02/1970,0.0485442621,0.0678209985,0.0460451313
03/1970,-0.010811653,-0.002228419,0.0070853453
04/1970,-0.124696053,-0.083453348,-0.099128437
05/1970,-0.083303983,-0.053315012,-0.042338784
06/1970,-0.07733865,-0.030031221,-0.046370126
07/1970,0.0519290177,0.0814045104,0.0729949714
08/1970,0.0464513547,0.047497867,0.0560295464
09/1970,0.0730023969,0.0325865442,0.0415021186
10/1970,-0.024496283,-0.012034547,-0.006889488
11/1970,0.0392715726,0.0549688155,0.0542069994
12/1970,0.0663518338,0.0664853834,0.0520456909
01/1971,0.063954428,0.0442201597,0.0358134054
02/1971,0.0230671989,0.0099226368,0.0294258407
03/1971,0.0573238979,0.032979279,0.0422472365
04/1971,0.0469907046,0.0297933174,0.0369436439
05/1971,-0.031832481,-0.027875465,-0.045161701
06/1971,0.0034481391,0.0118229959,-0.007106197
07/1971,-0.041389504,-0.040876201,-0.052044068
08/1971,0.0283195327,0.0345578021,0.0775806787
09/1971,0.0015641064,-0.008346882,-0.007712751
10/1971,-0.041178288,-0.029723415,-0.059586313
11/1971,-0.003180805,0.0048656779,-0.008270659
12/1971,0.0982777102,0.0932381123,0.0876111538
01/1972,0.0257211943,0.0213315585,0.0448708749
02/1972,0.04170074,0.0248735447,0.0409903082
03/1972,-0.000789999,0.0025064549,0.0176495956
04/1972,0.0121505208,0.0018869418,0.0095488775
05/1972,0.0257172645,0.0248994057,-0.008610877
06/1972,-0.011424142,-0.01859992,-0.029849283
07/1972,-0.009421656,0.0059090602,-0.016313236
08/1972,0.0445030052,0.0265996889,0.0395449142
09/1972,-0.007107283,-0.007004401,-0.032946048
10/1972,0.0172480696,0.0066146613,-0.005572439
11/1972,0.0508414171,0.0466693803,0.0628716526
12/1972,0.0076650205,0.0200426028,-0.01266014
01/1973,-0.0221979,-0.016773172,-0.039998457
02/1973,-0.049046415,-0.028504075,-0.048664578
03/1973,0.0026028472,-0.003774485,-0.018320189
04/1973,-0.037728908,-0.047595234,-0.047453481
05/1973,-0.027590569,-0.00737684,-0.045774751
06/1973,-0.013198537,-0.004587497,-0.028339242
07/1973,0.0958190809,0.0306253648,0.0419237551
08/1973,-0.020193805,-0.039734737,-0.032335981
09/1973,0.067089138,0.0251248723,0.0763042534
10/1973,-0.012250729,0.0073755448,0.0121156608
11/1973,-0.161117487,-0.107203732,-0.103448976
12/1973,0.0158714853,0.0009655809,0.0271292011
01/1974,0.0070366258,-0.004216923,-0.003630573
02/1974,0.00271047,-0.005787461,0.0029739795
03/1974,-0.017009059,-0.011935076,-0.032614591
04/1974,-0.027923031,-0.041162358,-0.046564235
05/1974,-0.016336206,-0.036210236,-0.0486159
06/1974,-0.030914676,-0.008312544,-0.009054983
07/1974,-0.049436376,-0.091921953,-0.054351635
08/1974,-0.097791223,-0.080988438,-0.089479276
09/1974,-0.129260082,-0.122488227,-0.076299268
10/1974,0.1756390166,0.1725881547,0.151869477
11/1974,-0.04827516,-0.037735157,-0.022567981
12/1974,-0.03469526,-0.02836887,-0.018766013
01/1975,0.135535479,0.1236325321,0.1587348985
02/1975,0.0643291264,0.0851802025,0.0464921257
03/1975,0.037276231,0.0226144725,0.0434597137
04/1975,0.0845774591,0.0384433112,0.0217830621
05/1975,0.0559153444,0.0551005015,0.0668821949
06/1975,0.0508194591,0.0501875818,0.0626993043
07/1975,-0.04502093,-0.086030518,-0.047230835
08/1975,-0.010321402,-0.024610663,-0.026723658
09/1975,-0.031393802,-0.034870313,-0.038380274
10/1975,0.0277516309,0.0922569036,0.073544606
11/1975,0.0066235758,0.0464092425,0.0425772438
12/1975,0.0005994796,-0.025075075,-0.015519589
01/1976,0.1232183667,0.1244610626,0.1463589571
02/1976,-0.00015551,-0.015518358,0.0388053167
03/1976,0.0241292058,0.0310009152,0.0359253531
04/1976,0.0048882019,-0.0236607,-0.01436883
05/1976,0.0119774796,-0.018789067,-0.030952172
06/1976,0.0427425227,0.0482159992,0.0417109575
07/1976,-0.004701777,-0.007088052,-0.018631587
08/1976,-0.000565462,0.0024798979,-0.022157142
09/1976,0.0286585763,0.0314774869,0.019416026
10/1976,-0.023168947,-0.027840609,-0.02165529
11/1976,0.0114047789,-0.00169275,0.0042032921
12/1976,0.0504244084,0.0563844358,0.0776208484
01/1977,-0.033839388,-0.040862055,-0.037693269
02/1977,-0.018678495,-0.016172414,-0.017043155
03/1977,-0.008151679,-0.015993149,0.0021450591
04/1977,-0.005456673,0.0036140261,0.0201983292
05/1977,-0.007786098,-0.012950912,-0.023895191
06/1977,0.0642646688,0.0517733562,0.0319427697
07/1977,-0.016960431,-0.01382042,-0.015982895
08/1977,-0.018282056,-0.011474726,-0.015616292
09/1977,0.0033609941,-0.003445901,-0.004052097
10/1977,-0.03924327,-0.034138791,-0.036800591
11/1977,0.0455989492,0.0418820532,0.0517509002
12/1977,0.0017442341,0.0126071614,0.0042349169
01/1978,-0.063340991,-0.052453163,-0.047024792
02/1978,-0.011392909,-0.020090891,-0.004971559
03/1978,0.0448555763,0.0219284904,0.0378240235
04/1978,0.0846269417,0.0886519494,0.0790814806
05/1978,0.0241654202,0.0195486221,0.0372578499
06/1978,-0.014787961,-0.012795861,-0.009373469
07/1978,0.0569359183,0.0628356778,0.0586982567
08/1978,0.0513714209,0.0374736158,0.0433374187
09/1978,-0.01295429,-0.009340559,-0.004335599
10/1978,-0.135374327,-0.094223153,-0.129989999
11/1978,0.0453217101,0.0302926463,0.0397035325
12/1978,0.0197401396,0.0224751909,0.0090457514
01/1979,0.0561555765,0.0440657327,0.0583199755
02/1979,-0.029013131,-0.029749472,-0.031164872
03/1979,0.0669439067,0.0592589554,0.0733881139
04/1979,0.0147570089,0.0047958136,0.0102024976
05/1979,-0.012852956,-0.018680741,-0.022024534
06/1979,0.0545849084,0.0302289148,0.0527587372
07/1979,0.0275091493,0.0032726166,0.0252982895
08/1979,0.0774455164,0.0562603504,0.0692211562
09/1979,0.0030664114,-0.007191865,0.0214110298
10/1979,-0.079511317,-0.065134497,-0.062085539
11/1979,0.0762119438,0.0455305003,0.0723842228
12/1979,0.0479590383,0.0109089823,0.0373546275
01/1980,0.0690259661,0.0565724324,0.0944223304
02/1980,-0.022576994,-0.010343891,0.0480636425
03/1980,-0.131893009,-0.095255137,-0.149532277
04/1980,0.0458553781,0.0361898153,0.0713499986
05/1980,0.064811563,0.0554722111,0.0548034014
06/1980,0.0362712425,0.0308294338,0.0362826164
07/1980,0.0642223748,0.0893610489,0.0778705288
08/1980,0.0322955136,0.0104351989,0.0180888033
09/1980,0.0532447034,0.0181736596,0.0051439296
10/1980,0.05423733,0.0036199485,0.0019671165
11/1980,0.1857977733,0.0743940406,0.0445213027
12/1980,-0.077244102,-0.004734342,-0.000292913
01/1981,-0.076084282,-0.020165225,-0.011498085
02/1981,-0.002980735,0.0426866654,0.0274643865
03/1981,0.0298550179,0.0545696854,0.0510172405
04/1981,-0.034172073,-0.006764493,-0.002329084
05/1981,-0.007903691,0.0127962769,0.0180852121
06/1981,0.0056773284,-0.02322638,-0.013933604
07/1981,0.0344097041,-0.026163237,-0.019617001
08/1981,-0.064652465,-0.05184919,-0.066344093
09/1981,-0.082173716,-0.035623159,-0.071743377
10/1981,0.0841084397,0.0441378827,0.0272442606
11/1981,0.0467631247,0.0466285104,0.0371072654
12/1981,-0.041854646,-0.00804564,-0.01675121
01/1982,-0.046022745,0.006373338,-0.034293642
02/1982,-0.074648766,-0.024249997,-0.04003926
03/1982,-0.014608705,-0.003056297,0.0023446653
04/1982,0.0490737338,0.0517656624,0.0485066917
05/1982,-0.007287471,-0.034794608,-0.038146764
06/1982,-0.030404033,-0.003185559,-0.020209427
07/1982,-0.035123874,-0.013368221,-0.01667828
08/1982,0.1182686182,0.1170639432,0.1257137338
09/1982,0.0205245167,0.015693719,0.0016619865
10/1982,0.1245932929,0.0994948416,0.1177788379
11/1982,0.0414349745,0.0457655349,0.0644742348
12/1982,0.0093906064,0.0291426809,0.0203222027
01/1983,0.0461809379,0.0319881429,0.0449234617
02/1983,0.0273563848,0.0350295341,0.0294164115
03/1983,0.0324228546,0.0239168236,0.046784982
04/1983,0.0647336668,0.0755478772,0.0699214163
05/1983,0.034762199,-0.006906452,0.0149059195
06/1983,0.0418881261,0.0518601097,0.0288852092
07/1983,-0.030925374,-0.035236496,-0.024573302
08/1983,-0.01136719,0.0004238197,0.0295631237
09/1983,0.0228703437,0.0328705084,-0.008055652
10/1983,-0.03056579,0.0001551533,-0.030166706
11/1983,0.0144046425,0.0246656908,0.038985116
12/1983,-0.019206283,-0.00834834,0.0008103268
01/1984,-0.037239948,-0.016993709,0.0213294993
02/1984,-0.048382853,-0.037646766,-0.023922002
03/1984,0.0092189514,0.0175166924,0.0181797102
04/1984,0.0036198729,0.0092410174,0.0114603628
05/1984,-0.039078037,-0.044309418,-0.062042446
06/1984,0.0320937479,0.0305186601,0.0047155245
07/1984,-0.004139263,-0.015756603,-0.05042877
08/1984,0.118820946,0.1011328283,0.1163958815
09/1984,-0.01410441,-0.002696881,0.0054483372
10/1984,0.0041063185,0.0211031191,-0.023477796
11/1984,-0.023799591,-0.00173733,-0.00799702
12/1984,0.028429388,0.0277445596,0.0059522729
01/1985,0.1050426834,0.0638380737,0.0730891852
02/1985,0.0067891508,0.0188585136,0.0276098352
03/1985,-0.022033326,0.0096687943,0.0067838988
04/1985,-0.016748805,-0.010109273,0.0097470582
05/1985,0.0615749164,0.070695865,0.0323489969
06/1985,0.012337449,0.0192507402,0.0094246689
07/1985,0.0122826109,0.0022456633,-0.001208737
08/1985,-0.017472395,-0.003857154,0.0046651788
09/1985,-0.054022914,-0.037107611,-0.020496772
10/1985,0.0376560763,0.0418054688,0.0466408585
11/1985,0.0804391173,0.0708105113,0.0533770882
12/1985,0.0474301255,0.0522293867,0.0318257721
01/1986,0.0215892022,0.0146340463,-0.017756792
02/1986,0.0817271463,0.0747225667,0.0630994862
03/1986,0.0469860681,0.0584281383,0.0525569059
04/1986,0.0071309097,-0.015252238,0.000475843
05/1986,0.0461308262,0.0422666257,0.0638818053
06/1986,-0.004381445,0.0190484949,0.0227011456
07/1986,-0.071519496,-0.045308513,-0.055471421
08/1986,0.0523050301,0.0660646234,0.0956424384
09/1986,-0.088200624,-0.083089379,-0.04859283
10/1986,0.0605327141,0.0504160899,0.0509748681
11/1986,0.0183161338,0.0251787094,0.0181942487
12/1986,-0.034904761,-0.01977877,-0.024999637
01/1987,0.138082516,0.1230519891,0.147091633
02/1987,0.0552254104,0.0443680659,0.0303441983
03/1987,0.0203885932,0.0201866114,0.0495777611
04/1987,-0.015084883,-0.011950771,-0.001013754
05/1987,0.0039889288,0.0058861689,0.0117970993
06/1987,0.0390235642,0.0505980537,0.0459204711
07/1987,0.0521496928,0.0398381393,0.0428031991
08/1987,0.0409118454,0.0433069329,0.0227673522
09/1987,-0.026033117,-0.023766812,-0.01515442
10/1987,-0.240831851,-0.211111646,-0.208609245
11/1987,-0.086631261,-0.067405306,-0.067710298
12/1987,0.0857252528,0.0757365892,0.0671863504
01/1988,0.033450201,0.0373513024,0.0505977535
02/1988,0.0617816134,0.0518756818,0.0473552698
03/1988,-0.026307148,-0.026493036,0.0005556481
04/1988,0.0024239236,0.0103300616,0.0269017415
05/1988,-0.003460339,0.0057401537,0.0027933523
06/1988,0.0611721693,0.0597596264,0.0267272397
07/1988,-0.022932035,-0.003255678,-0.004435923
08/1988,-0.041486497,-0.033325271,-0.012685126
09/1988,0.0396504139,0.0344721875,0.043045542
10/1988,0.0021770141,0.0298356037,0.0336281899
11/1988,-0.023142713,-0.018549125,-0.004137779
12/1988,0.0321665466,0.0227471275,0.0148879418
