date,p1,p2,p3
02/1973,-0.087139005,-0.02921263,-0.021633531
03/1973,-0.026775653,-0.014308212,0.011923428
04/1973,-0.072777117,-0.064207743,-0.037460488
05/1973,-0.031147502,-0.008211307,-0.014725975
06/1973,-0.018267228,-0.021909965,0.0095183859
07/1973,0.1038271098,0.0535357482,0.0311285281
08/1973,-0.022731582,-0.026693296,-0.040002423
09/1973,0.0704365782,0.057026741,0.0081424471
10/1973,-0.028187947,-0.013391185,0.0146965811
11/1973,-0.202957764,-0.112264687,-0.093947662
12/1973,0.0314611769,-0.014557782,0.006362916
01/1974,0.004758453,-0.019409272,-0.022954446
02/1974,-0.003513697,-0.009070733,-0.012723972
03/1974,-0.019786356,-0.02077341,-0.018907865
04/1974,-0.042189741,-0.019148085,-0.049568831
05/1974,-0.014731242,-0.026423874,-0.041443898
06/1974,-0.031040975,-0.005513778,-0.018046966
07/1974,-0.12127241,-0.080238701,-0.040224998
08/1974,-0.099748386,-0.104817795,-0.075144134
09/1974,-0.158670145,-0.152292687,-0.082525902
10/1974,0.1855103498,0.2024675493,0.162135917
11/1974,-0.053187202,-0.048037396,-0.037705693
12/1974,-0.04399475,-0.036400665,-0.004373757
01/1975,0.1137325309,0.0989974853,0.1448350408
02/1975,0.0672571933,0.1126651699,0.044609361
03/1975,0.0500671325,0.0178329452,0.0019073453
04/1975,0.091634411,0.0470210429,0.0284797119
05/1975,0.0382493565,0.0614106454,0.073764258
06/1975,0.041053853,0.0256111357,0.0751606424
07/1975,-0.079844457,-0.07949224,-0.053260338
08/1975,-0.028281925,-0.006623036,-0.023761664
09/1975,-0.071543002,-0.039288459,-0.019920257
10/1975,0.0474548974,0.0730218043,0.067529968
11/1975,0.0228139131,0.038435884,0.023510611
12/1975,-0.022766956,-0.016448963,-0.004565978
01/1976,0.1392704769,0.1263036301,0.1074473117
02/1976,-0.003889202,-0.005424422,-0.017101521
03/1976,0.0101275386,0.0305024775,0.0550518189
04/1976,-0.01657105,-0.025791933,-0.003949545
05/1976,0.0003621493,-0.021168571,0.0014064018
06/1976,0.043804817,0.0406279178,0.0546588103
07/1976,-0.029574271,-0.017264684,-0.000073782
08/1976,-0.026094128,-0.004711573,0.0063414751
09/1976,0.0180084798,0.0309299847,0.0261820988
10/1976,-0.036338428,-0.020470409,-0.022133445
11/1976,0.0050586342,-0.014209778,0.0018167496
12/1976,0.0471302345,0.0491526988,0.0642160938
01/1977,-0.057195161,-0.06792033,-0.028549482
02/1977,-0.028504726,-0.019892448,-0.013748802
03/1977,-0.005379181,-0.019682563,-0.006991378
04/1977,0.0007161476,0.0045111769,-0.002104354
05/1977,-0.011606777,-0.025802178,-0.006771068
06/1977,0.0509416555,0.0622186973,0.0513078792
07/1977,-0.01964194,-0.017484054,-0.013748114
08/1977,-0.017794436,0.0075993634,-0.033022438
09/1977,-0.013466369,-0.006677675,0.0037316672
10/1977,-0.050091748,-0.039186952,-0.037894333
11/1977,0.0536770631,0.0430409273,0.0326061499
12/1977,0.0071399182,0.0049291171,0.0049091339
01/1978,-0.065907948,-0.061975399,-0.051273895
02/1978,-0.024426957,-0.01855133,-0.016698361
03/1978,0.0472789244,0.0121129418,0.0359466326
04/1978,0.1098563343,0.1036767746,0.081163975
05/1978,0.0190948095,0.0203636522,0.0159898504
06/1978,-0.001854896,-0.01281224,-0.023982231
07/1978,0.0809704335,0.0694698225,0.0482692469
08/1978,0.0476712966,0.0309352527,0.0399324023
09/1978,-0.033348671,-0.015867905,0.0090024542
10/1978,-0.118753922,-0.110848291,-0.095535554
11/1978,0.0397793605,0.0408878277,0.0300942034
12/1978,0.0284715036,0.0342395857,0.0079813431
01/1979,0.0392708757,0.0361687732,0.055753644
02/1979,-0.044468755,-0.030705591,-0.024931231
03/1979,0.0745699233,0.0624852921,0.0606546405
04/1979,0.0025377672,0.0089631529,0.0067392258
05/1979,-0.029808202,-0.019658716,-0.005457991
06/1979,0.0549481169,0.0264590404,0.0530814426
07/1979,-0.00175003,0.0206507532,0.0174509682
08/1979,0.078284852,0.0589420488,0.0597081882
09/1979,0.002313725,-0.002299345,0.0053110695
10/1979,-0.088352231,-0.063386018,-0.058635471
11/1979,0.072759058,0.0624642936,0.0439017106
12/1979,0.0477406043,0.018616573,0.0166378048
01/1980,0.0871809905,0.0624887278,0.0602529172
02/1980,-0.006451997,-0.013141763,0.0348742161
03/1980,-0.162078654,-0.11928934,-0.086659648
04/1980,0.0420089776,0.0451976167,0.0455272498
05/1980,0.0641937143,0.0444322902,0.0619586836
06/1980,0.0381326055,0.0281135105,0.034325294
07/1980,0.1011526779,0.0706433033,0.044471577
08/1980,0.0226120116,0.0072719679,0.0206540922
09/1980,0.0411239223,0.0249392173,0.0298490647
10/1980,0.0072795955,0.0360888221,0.029910122
11/1980,0.1304544081,0.1349502904,0.0886724023
12/1980,-0.048997772,-0.048540334,-0.00105827
01/1981,-0.087853575,-0.055180318,-0.010817028
02/1981,0.0235786535,0.0225139496,0.0120417094
03/1981,0.0654808105,0.0182609455,0.0397238217
04/1981,-0.019541187,-0.018453755,-0.028047872
05/1981,0.026991665,-0.001415461,-0.014429594
06/1981,-0.046692414,-0.01742867,0.0240901084
07/1981,-0.031709022,-0.005495149,0.0127042338
08/1981,-0.087342885,-0.069044923,-0.042331513
09/1981,-0.060631087,-0.060981252,-0.051658084
10/1981,0.0972823036,0.0506621994,0.0369131873
11/1981,0.0182872212,0.0561876403,0.0622262534
12/1981,-0.029197849,-0.034625809,-0.022890853
01/1982,-0.013768342,-0.02036018,-0.031010745
02/1982,-0.056895679,-0.043356616,-0.041669167
03/1982,-0.021564506,-0.000495604,-0.000336953
04/1982,0.0531122868,0.0461438101,0.0411508055
05/1982,-0.045336254,-0.027408688,-0.01319256
06/1982,-0.006458036,-0.01808675,-0.035937722
07/1982,-0.003333177,-0.025632182,-0.037940736
08/1982,0.1187881272,0.1215356738,0.1306463102
09/1982,0.0074478766,0.0160610181,0.0209231348
10/1982,0.13130976,0.1113648313,0.096317553
11/1982,0.0683534662,0.0353808661,0.0248791826
12/1982,-0.007206859,0.0416203009,0.0252769265
01/1983,0.0364874274,0.0290693949,0.0356100433
02/1983,0.0333312519,0.0265770798,0.0244170085
03/1983,0.0305667214,0.0289197789,0.04370201
04/1983,0.065338622,0.0858578371,0.0830278389
05/1983,0.0026403186,-0.009275288,0.0234458281
06/1983,0.0333663479,0.0451978679,0.0399576536
07/1983,-0.051233435,-0.025745772,-0.015554276
