date,p1,p2,p3
07/1963,-0.017031775,-0.006077448,0.0033452943
08/1963,0.076433768,0.0670506628,0.0462146697
09/1963,-0.027969973,-0.020374799,-0.014643191
10/1963,0.0457417746,0.0138350873,0.0251911848
11/1963,-0.006735855,-0.010743085,-0.010660648
12/1963,-0.000586234,0.0214907052,0.0281455211
01/1964,0.0016004715,0.0242272595,0.0285786068
02/1964,0.0284800033,0.0286708125,0.0165862805
03/1964,0.0265922958,0.0291745806,0.0163390269
04/1964,-0.028435857,-0.002630918,0.0085055205
05/1964,0.0224933084,0.0126941685,0.0182602087
06/1964,0.0152574122,0.0152207721,0.0105083517
07/1964,0.0152052106,0.0221431055,0.0266742013
08/1964,-0.010137181,-0.009919507,-0.012469685
09/1964,0.0594446864,0.0358453308,0.0281570324
10/1964,0.0052527647,0.015747562,0.0110175142
11/1964,-0.016291856,-0.005704029,0.012012973
12/1964,-0.002385251,-0.00785657,0.0023658106
01/1965,0.0612117558,0.0512905537,0.0359188968
02/1965,0.0380840965,0.02560568,-0.001972375
03/1965,-0.004574146,-0.004973991,-0.011158201
04/1965,0.0456639042,0.0462332401,0.0274498133
05/1965,-0.010348289,-0.004192117,-0.006974799
06/1965,-0.100421853,-0.071486917,-0.040244904
07/1965,0.0543855142,0.0231543625,0.0138564368
08/1965,0.0717736689,0.0418521081,0.0227845962
09/1965,0.0508104796,0.0343449164,0.0310900956
10/1965,0.0726638671,0.0391589295,0.0221985731
11/1965,0.0708224505,0.0148334569,-0.004328735
12/1965,0.0355779917,0.0377304556,0.0043009551
01/1966,0.0685013094,0.0358624076,-0.002215408
02/1966,0.0545259005,0.0012950148,-0.025496477
03/1966,-0.022929951,-0.018589835,-0.018599865
04/1966,0.0521143593,0.0328385102,0.0194527942
05/1966,-0.117320863,-0.061061179,-0.038738967
06/1966,0.0173653554,-0.005147979,-0.019406143
07/1966,-0.021119362,-0.017890992,-0.007753177
08/1966,-0.101440216,-0.080356041,-0.070228636
09/1966,-0.032672475,-0.023442592,0.0058305096
10/1966,-0.034285267,0.050024107,0.0583412066
11/1966,0.1146654714,0.0187895988,0.001681282
12/1966,0.0112131516,0.007097512,0.0025620215
01/1967,0.1510016565,0.1115141248,0.0603578843
02/1967,0.0296826987,0.0099775174,0.0073811199
