date,p1,p2,p3
07/1963,0.0011917222,-0.015392717,-0.008518979
08/1963,0.054006304,0.0544513933,0.0362167355
09/1963,-0.016965566,-0.022810799,-0.013059093
10/1963,0.0269227296,0.0205921261,0.0124152848
11/1963,-0.009418952,-0.014167326,-0.015953321
12/1963,0.026314594,0.0119916437,-0.009338864
01/1964,0.0254339005,0.0141324894,0.0331634912
02/1964,0.0192188813,0.0262913612,0.0263200541
03/1964,0.0176012515,0.038968557,0.0277209214
04/1964,0.0043589609,-0.010855925,-0.003599636
05/1964,0.0182487134,0.0150582851,0.0125369928
06/1964,0.011730657,0.0137576899,0.0109336566
07/1964,0.0248121531,0.0188915437,0.0332410922
08/1964,-0.012192572,-0.008821564,-0.009007214
09/1964,0.0328006606,0.0302673881,0.0389700517
10/1964,0.0105901349,0.0148634834,0.018862349
11/1964,0.006229194,0.0002659463,0.0022980392
12/1964,0.0010328297,-0.001163782,-0.015581275
01/1965,0.0381195568,0.0558711235,0.068529064
02/1965,0.0029502115,0.0359700757,0.0313501622
03/1965,-0.01220584,0.0042637369,0.0180003569
04/1965,0.0314692184,0.0376930985,0.0451134558
05/1965,-0.006177535,-0.007017686,-0.007944195
06/1965,-0.046628567,-0.079390088,-0.09332733
07/1965,0.0178497158,0.0336576426,0.0297315009
08/1965,0.0285890207,0.0577694902,0.0439907657
09/1965,0.034226852,0.0360193901,0.0281357717
10/1965,0.0281624444,0.0476090415,0.0676939305
11/1965,0.0021548418,0.0459020916,0.0463986433
12/1965,0.0113376039,0.0311595044,0.0442224136
01/1966,0.0080913968,0.0374982665,0.0704294841
02/1966,-0.016525307,0.0173088693,0.0447842633
03/1966,-0.018654912,-0.024121849,-0.014233389
04/1966,0.0224229464,0.0399588528,0.0683227939
05/1966,-0.047363393,-0.080713953,-0.109207509
06/1966,-0.014164556,0.001669788,0.0045940134
07/1966,-0.011489301,-0.014069479,-0.014273925
08/1966,-0.073462384,-0.091291273,-0.107916156
09/1966,-0.004394338,-0.014519241,-0.018834656
10/1966,0.0504037303,0.009002577,-0.029008803
11/1966,0.0176774343,0.0461064262,0.042772149
12/1966,0.0022266486,0.0197116366,0.0216675106
01/1967,0.0732575056,0.139792619,0.1854899049
02/1967,0.0082498806,0.0195665167,0.0441458564
03/1967,0.0398745491,0.058388964,0.06876906
04/1967,0.0435752922,0.0414181214,0.0426590753
05/1967,-0.04194836,-0.012216466,-0.00932619
06/1967,0.0183275444,0.0588784804,0.1039140133
07/1967,0.0536281404,0.059389026,0.0942012339
08/1967,-0.006242415,-0.000077234,0.0034930971
09/1967,0.0320814351,0.04047419,0.0718203376
10/1967,-0.027400731,-0.029017175,-0.021553425
11/1967,0.008349389,0.0073175869,0.0025175147
12/1967,0.0267353262,0.0578313718,0.1041767092
01/1968,-0.044524501,-0.023495248,0.0225233393
02/1968,-0.027279111,-0.049462326,-0.067266395
03/1968,0.009429856,0.0019905703,-0.012779038
04/1968,0.0877722756,0.125572399,0.163092842
05/1968,0.0177369401,0.0588779377,0.1083265986
06/1968,0.0109584315,0.0110283828,0.0034416539
07/1968,-0.019091175,-0.043416876,-0.026000232
08/1968,0.0155225246,0.0270452582,0.0440982084
09/1968,0.0393316392,0.0620476564,0.0712536424
10/1968,0.0071940827,0.0101639503,0.0067652417
11/1968,0.0554988127,0.0827331765,0.0755067939
12/1968,-0.038197601,-0.022640422,0.0116791606
01/1969,-0.009234374,-0.014438544,-0.006647469
02/1969,-0.04571319,-0.079527913,-0.099564634
03/1969,0.0368865223,0.0208048882,0.0327218701
04/1969,0.0187780251,0.0109885083,0.0097364952
05/1969,0.0036846728,0.0018198206,0.0089417102
06/1969,-0.054920744,-0.107000487,-0.128784381
07/1969,-0.061492281,-0.082554626,-0.1079194
08/1969,0.052181903,0.0601019346,0.0528380786
09/1969,-0.02465436,-0.013339838,-0.022885296
10/1969,0.0507345998,0.0794080319,0.0985439152
11/1969,-0.031472025,-0.044582864,-0.060977028
12/1969,-0.011218973,-0.031944473,-0.070629517
01/1970,-0.080361347,-0.068994693,-0.04603038
02/1970,0.0583309155,0.045666189,0.0408945621
03/1970,-0.001949861,-0.016304868,-0.032272461
04/1970,-0.094695004,-0.147367677,-0.177483995
05/1970,-0.056990162,-0.098923152,-0.095443271
06/1970,-0.045844529,-0.062645721,-0.078586283
07/1970,0.0712308959,0.0768042369,0.0598450798
08/1970,0.0492064213,0.0653584204,0.0684725716
09/1970,0.0385581291,0.0916240244,0.1473568445
10/1970,-0.01011132,-0.043786361,-0.070282105
11/1970,0.0540652127,0.0398991058,-0.001359444
12/1970,0.0563081859,0.0858729033,0.0874412276
01/1971,0.0377811367,0.0909922516,0.1367931898
02/1971,0.0193475494,0.0267861586,0.043920138
03/1971,0.0420993486,0.0612653954,0.0576670265
04/1971,0.0346271487,0.042079995,0.0286400629
05/1971,-0.034935903,-0.036339511,-0.057756546
06/1971,0.0064660276,-0.007402723,-0.018725849
07/1971,-0.040061728,-0.047476875,-0.062373481
08/1971,0.0416517831,0.0551484765,0.0448000193
09/1971,-0.005423637,-0.004670094,-0.002826062
10/1971,-0.037370633,-0.053648415,-0.061628395
11/1971,0.0036874823,-0.01705503,-0.040883352
12/1971,0.0866038732,0.1123397944,0.1291537566
01/1972,0.0205294732,0.0487273358,0.10925775
02/1972,0.0310435394,0.038629347,0.0389173037
03/1972,0.0094709541,0.0070502084,-0.002167095
04/1972,0.0072872153,0.0055375652,0.0059860424
05/1972,0.0206692531,-0.003628302,-0.021659661
06/1972,-0.018189353,-0.029764069,-0.02862921
07/1972,0.0005641645,-0.029983881,-0.038831612
08/1972,0.038956088,0.0229250831,0.0036450692
09/1972,-0.007034433,-0.023798708,-0.038590336
10/1972,0.0119526109,-0.003913708,-0.019478072
11/1972,0.0465207925,0.0596483494,0.0526833908
12/1972,0.0126713767,-0.007108916,-0.021965185
01/1973,-0.021259899,-0.06283074,-0.045405273
02/1973,-0.035730245,-0.07370957,-0.084747385
03/1973,-0.001851884,-0.030456938,-0.024396636
04/1973,-0.04410579,-0.067754428,-0.07425956
05/1973,-0.01494585,-0.065866633,-0.08698871
06/1973,-0.005944422,-0.029048215,-0.03234489
07/1973,0.0483805099,0.1010847857,0.1235946428
08/1973,-0.028484816,-0.031019641,-0.054916577
09/1973,0.0434546261,0.1014372755,0.0859039651
10/1973,0.0015910338,0.0009014605,-0.006301711
11/1973,-0.112015663,-0.172769888,-0.187316143
12/1973,0.0170765197,0.0043630434,-0.034496573
01/1974,-0.012161902,0.0612541531,0.1180163283
02/1974,-0.002444745,0.002324418,0.0035093037
03/1974,-0.023654206,-0.016213742,0.0029984357
04/1974,-0.042815895,-0.05483301,-0.058549501
05/1974,-0.036499118,-0.078425048,-0.07613354
06/1974,-0.0214747,-0.036210517,-0.03051216
07/1974,-0.074331115,-0.040133912,-0.053689404
08/1974,-0.093931955,-0.087550934,-0.081544622
09/1974,-0.117865888,-0.080924157,-0.082577305
10/1974,0.1843267096,0.1130331363,0.08884869
11/1974,-0.03724945,-0.038585514,-0.049776342
12/1974,-0.025775523,-0.052515354,-0.073665341
01/1975,0.1256475656,0.2266509783,0.2687434617
02/1975,0.0638758414,0.0429141393,0.0489586591
03/1975,0.0238864838,0.0565304085,0.072628685
04/1975,0.0507861412,0.0457474105,0.0354255672
05/1975,0.056677997,0.0600279273,0.0793816737
06/1975,0.0518191605,0.0571054124,0.0702343203
07/1975,-0.068809386,-0.037412735,-0.015639673
08/1975,-0.018777078,-0.039342973,-0.056996425
09/1975,-0.038818225,-0.039814678,-0.034325717
10/1975,0.0638049157,0.0341893804,0.0174762839
11/1975,0.0296705957,0.0301151975,0.0225432675
12/1975,-0.013144142,-0.002418771,-0.011725274
01/1976,0.1190127335,0.1596210939,0.1907212658
02/1976,-0.00947739,0.0592064517,0.1024437552
03/1976,0.0308096738,0.0147042618,0.0131578225
04/1976,-0.011237224,-0.009871443,-0.012648142
05/1976,-0.006521454,-0.010291536,-0.022342837
06/1976,0.0471668218,0.0493835545,0.0259677
07/1976,-0.008103874,0.0007903922,0.0012233373
08/1976,-0.000536731,-0.016693314,-0.018492664
09/1976,0.0255648966,0.0257073067,0.021042255
10/1976,-0.022787648,-0.019037999,-0.02037789
11/1976,-0.000090587,0.0374922808,0.033527808
12/1976,0.0562835265,0.082960495,0.099935047
01/1977,-0.047874295,-0.001511341,0.0345969398
02/1977,-0.01875591,-0.017565168,-0.002421227
03/1977,-0.01158261,0.0035305437,0.0055001051
04/1977,0.0024918153,0.0185893659,0.019313786
05/1977,-0.015043767,-0.001822122,0.0008545852
06/1977,0.0515072827,0.0618679695,0.0604248685
07/1977,-0.01534525,-0.006026302,0.0091882964
08/1977,-0.015573482,-0.007884954,-0.003364364
09/1977,-0.003113821,0.0082493231,0.0140451917
10/1977,-0.040285197,-0.0258402,-0.023591941
11/1977,0.0402655088,0.0675586841,0.0812229368
12/1977,0.0047053852,0.013867654,0.0246443634
01/1978,-0.06026352,-0.04433181,-0.016280124
02/1978,-0.019864998,0.0086890355,0.0267074727
03/1978,0.0277488223,0.0523521643,0.0717864747
04/1978,0.0874614104,0.0758439612,0.0810960342
05/1978,0.0166709823,0.0456634223,0.066120571
06/1978,-0.014974953,0.0017320508,0.0047290858
07/1978,0.0600069266,0.0565180048,0.0537897107
08/1978,0.0354114505,0.0685627684,0.0873450302
09/1978,-0.008340253,-0.015282363,-0.00677685
10/1978,-0.094705278,-0.1693814,-0.204060828
11/1978,0.030082328,0.0469017959,0.0562571312
12/1978,0.0182023913,0.0195334771,0.019487309
01/1979,0.0432808507,0.0702793354,0.0915064771
02/1979,-0.030995484,-0.02613486,-0.022171074
03/1979,0.0607252578,0.0888642194,0.0881562472
04/1979,0.0055170556,0.0205701286,0.0242975395
05/1979,-0.015264038,-0.012497947,-0.014318419
06/1979,0.0456170503,0.0565191767,0.0562888985
07/1979,0.0129222574,0.0342513149,0.0256733802
08/1979,0.0608415474,0.0746869819,0.0757273722
09/1979,0.0035814677,-0.000393799,-0.006766834
10/1979,-0.065358072,-0.091887154,-0.10771467
11/1979,0.058775741,0.078759986,0.0789554572
12/1979,0.0213363105,0.0465338132,0.0712645393
01/1980,0.0630160445,0.0699970783,0.0904440854
02/1980,0.0030776601,-0.028496535,-0.010436583
03/1980,-0.106982291,-0.156489489,-0.182256981
04/1980,0.0485989745,0.0667226463,0.0653876956
05/1980,0.0555249878,0.0845181121,0.0727562825
06/1980,0.0361893135,0.0492886768,0.0452140375
07/1980,0.0626555977,0.1016188223,0.0984937378
08/1980,0.0141582387,0.0449117328,0.0695339466
09/1980,0.0294676904,0.0297932377,0.039148133
10/1980,0.0194791262,0.020911668,0.0454383206
11/1980,0.1205939326,0.0766576499,0.0786508637
12/1980,-0.033677831,-0.025684795,-0.039594671
01/1981,-0.051268378,-0.019006142,-0.009178892
02/1981,0.0173513026,0.0204426632,-0.002473194
03/1981,0.0365536475,0.081002971,0.075829472
04/1981,-0.025146603,0.021701639,0.0311940256
05/1981,0.0030133058,0.028634998,0.0352977561
06/1981,-0.002184249,-0.022163325,-0.020918925
07/1981,0.0027882882,-0.021229979,-0.02496768
08/1981,-0.05425132,-0.065669814,-0.081202393
09/1981,-0.058733799,-0.066231114,-0.09024269
10/1981,0.0575563,0.0704406171,0.0804816888
11/1981,0.0503804623,0.032360179,0.0252374151
12/1981,-0.029571536,-0.020557872,-0.017190421
01/1982,-0.023858434,-0.039256936,-0.023061666
02/1982,-0.049953799,-0.040855805,-0.046296308
03/1982,-0.010254814,-0.006250615,-0.010486758
04/1982,0.044688598,0.0530439524,0.0535792588
05/1982,-0.027410852,-0.033182722,-0.022396246
06/1982,-0.020678577,-0.018215663,-0.028966687
07/1982,-0.02265621,-0.017789662,-0.019912999
08/1982,0.1256001115,0.1071263012,0.0626194301
09/1982,0.0154605038,0.0348647032,0.0378220207
10/1982,0.1116056295,0.1438546203,0.1407810072
11/1982,0.0427217302,0.082695967,0.0945595769
12/1982,0.0155475666,0.0048589992,0.0156013882
01/1983,0.0317994683,0.0447837318,0.0877625225
02/1983,0.0274246738,0.0501532453,0.0539617692
03/1983,0.032805719,0.0440614418,0.0478908711
04/1983,0.0742713572,0.0728252264,0.0807611792
05/1983,-0.001370757,0.0394806399,0.0832748981
06/1983,0.0371666188,0.0427628134,0.0425391179
07/1983,-0.035294491,-0.03246227,-0.022575792
08/1983,0.0115050547,-0.023700225,-0.03593897
09/1983,0.014467822,0.0313434762,0.0095011406
10/1983,-0.016352859,-0.05130868,-0.059552003
11/1983,0.0230179314,0.0495399018,0.0339772976
12/1983,-0.008721534,-0.017958754,-0.01442278
01/1984,-0.011688839,-0.032069387,-0.006080763
02/1984,-0.033940508,-0.053831228,-0.054878987
03/1984,0.0151135282,0.0121755723,0.0095262038
