date,p1,p2,p3
07/1963,0.0068061771,-0.002817073,-0.017024722
08/1963,0.0462324227,0.0657800127,0.0623952135
09/1963,-0.023316987,-0.006579525,-0.010879216
10/1963,0.0189918322,0.0516185298,0.0266504361
11/1963,-0.005975498,-0.025379407,0.0027891936
12/1963,0.0337071119,0.0169894328,-0.001818322
01/1964,0.0331319862,0.0167128951,0.0084784621
02/1964,0.0153881102,0.0231842552,0.037844584
03/1964,0.014063836,0.0291359088,0.0338829897
04/1964,0.0019779387,0.0138915119,-0.011026217
05/1964,0.0122346129,0.0222953322,0.0254611213
06/1964,0.0071450174,0.0203297676,0.0276591856
07/1964,0.0238030997,0.0313841122,0.0167135226
08/1964,-0.018318718,-0.003111984,0.0095435665
09/1964,0.0286351672,0.0406668666,0.0426370819
10/1964,0.0113548323,0.0094603169,0.0126724758
11/1964,0.0144058811,-0.001120759,-0.006847156
12/1964,0.000266379,0.0064658417,-0.003524173
01/1965,0.0384340914,0.0408597308,0.0427823957
02/1965,0.0010282122,0.0087301854,0.0224366531
03/1965,-0.017502046,8.0872295E-6,-0.003573863
04/1965,0.0266067237,0.0470682002,0.0465886899
05/1965,-0.001732816,-0.009005814,-0.006583609
06/1965,-0.038441293,-0.059213644,-0.075948452
07/1965,0.0174221175,0.0120024015,0.039469261
08/1965,0.0266631621,0.0402060808,0.0361480298
09/1965,0.0350643817,0.0334508399,0.0482786438
10/1965,0.0270821792,0.029831514,0.0578235289
11/1965,-0.002899436,0.0192445344,0.0394310939
12/1965,0.0067314915,0.0244517085,0.0234652142
01/1966,-0.000050574,0.0255688367,0.0471261301
02/1966,-0.020192535,-0.005885141,0.0204758474
03/1966,-0.015791176,-0.021626724,-0.022342979
04/1966,0.0236866771,0.025938398,0.0333108874
05/1966,-0.044266355,-0.062696992,-0.08009751
06/1966,-0.017436627,-0.005934184,0.0048117292
07/1966,-0.010474222,-0.008268104,-0.021218455
08/1966,-0.07429137,-0.078767525,-0.07522271
09/1966,0.001187248,-0.012080488,-0.022934353
10/1966,0.0599051559,0.0260219031,0.0077767008
11/1966,0.0272413651,0.00130721,0.0275591165
12/1966,0.0019395176,0.0036854043,0.0077125079
01/1967,0.0612125334,0.1035253892,0.1320028948
02/1967,0.0100780438,0.004896434,0.0177675679
