date,p1,p2,p3
07/1963,0.0005465253,-0.001440416,-0.00157856
08/1963,0.0467239895,0.0532596668,0.0675569226
09/1963,-0.021046317,-0.016605246,-0.013679422
10/1963,0.0394647122,0.019966932,0.0116821558
11/1963,-0.014510469,-0.010175772,-0.002704845
12/1963,0.0254485174,0.0234105236,0.0207061922
01/1964,0.0255640122,0.0271265807,0.0143100839
02/1964,0.0189242695,0.0180671001,0.0261540372
03/1964,0.0217157798,0.0194118319,0.0184333453
04/1964,-0.014738551,0.0010254627,0.0177146034
05/1964,0.021543212,0.0207611712,0.0091625491
06/1964,0.0091607819,0.0108870521,0.0177988517
07/1964,0.0205860757,0.0296108643,0.0214120896
08/1964,-0.004415766,-0.011689711,-0.020878494
09/1964,0.0322302352,0.0318975664,0.0342241699
10/1964,0.0062960931,0.0192155378,0.005219054
11/1964,0.0105533853,0.0058889629,0.0008286784
12/1964,-0.003208151,-0.000219076,0.0061289984
01/1965,0.0350547446,0.03673806,0.0610284423
02/1965,0.022939973,0.0030712031,0.0013515564
03/1965,-0.017341723,-0.004847985,-0.009255818
04/1965,0.0439826402,0.0263528371,0.031406654
05/1965,-0.015458387,0.0016256586,-0.009850205
06/1965,-0.055720972,-0.043877189,-0.061353875
07/1965,0.0131001984,0.0242607126,0.0387832187
08/1965,0.0442238414,0.0268798432,0.0256616032
09/1965,0.034432854,0.0343899004,0.0335205266
10/1965,0.0408459677,0.0257187052,0.0247881813
11/1965,0.0088566965,0.0048807739,0.0127553457
12/1965,0.0073332537,0.0123485095,0.0205130081
01/1966,0.0221677351,0.0085164415,0.0165515642
02/1966,0.024212014,-0.021668907,-0.017793952
03/1966,-0.010581464,-0.028944424,-0.016098665
04/1966,0.0347255073,0.0270785254,0.0138317304
05/1966,-0.066926503,-0.049839598,-0.044706109
06/1966,-0.018371148,-0.010775381,0.0091016299
07/1966,-0.022700497,-0.009397122,-0.005695345
08/1966,-0.078814602,-0.073391466,-0.080234918
09/1966,-0.017869913,0.0082706233,-0.004555659
10/1966,0.0486327701,0.052559891,0.0184690133
11/1966,-0.000793226,0.0365845632,0.0624211349
12/1966,0.0028170726,-0.001357642,0.0136302482
01/1967,0.0724405104,0.0857550787,0.0986157141
02/1967,0.0153379958,0.0015054746,0.0163825264
03/1967,0.0465382728,0.0334893954,0.0496769765
04/1967,0.0438564592,0.0422833565,0.0444929689
05/1967,-0.049365817,-0.036402018,-0.018580603
06/1967,0.0473271304,0.0242801346,0.0208732611
07/1967,0.0617400336,0.0577057724,0.0527299727
08/1967,-0.007675171,-0.006680293,-0.000852639
09/1967,0.0355702408,0.034888186,0.0365990119
10/1967,-0.00394507,-0.040345676,-0.042008324
11/1967,0.0091536763,0.0013256671,0.01465921
12/1967,0.0298150676,0.0315301198,0.0537912692
01/1968,-0.046153939,-0.044343342,-0.020750001
02/1968,-0.040305928,-0.029172555,-0.034137385
03/1968,0.0005969772,0.0079214892,0.0168302984
04/1968,0.1074498121,0.0865847598,0.099098888
05/1968,0.0412340361,0.0281469361,0.0220851864
06/1968,-0.005816988,0.0042011067,0.0229806486
07/1968,-0.021393881,-0.015682406,-0.034586184
08/1968,0.0173988712,0.0185633089,0.0210167578
09/1968,0.0559258222,0.0379847113,0.0456274385
10/1968,-0.007956459,0.0234173399,0.0021027907
11/1968,0.0364114615,0.0615227599,0.0802622084
12/1968,-0.042836209,-0.029783818,-0.02772135
01/1969,-0.015620683,-0.009188179,-0.00434423
02/1969,-0.068137813,-0.050511081,-0.04519209
03/1969,0.0360190743,0.0343032857,0.0261327217
04/1969,0.0175695526,0.0179291325,0.0137181259
05/1969,-0.004510921,0.010749689,0.0079968316
06/1969,-0.080480761,-0.043156825,-0.083225882
07/1969,-0.05799887,-0.07540446,-0.080036744
08/1969,0.0448522572,0.0537365249,0.0709037313
09/1969,-0.020527528,-0.029143759,-0.014035451
10/1969,0.0603056156,0.0654231896,0.0444900155
11/1969,-0.041218904,-0.028995503,-0.036771702
12/1969,-0.007909278,-0.020056435,-0.038001063
01/1970,-0.078278458,-0.071136182,-0.085699405
02/1970,0.0437119454,0.0535808887,0.064842012
03/1970,-0.005548313,-0.009441311,-0.003124412
04/1970,-0.093351772,-0.102056627,-0.133573819
05/1970,-0.04895235,-0.073004615,-0.095781716
06/1970,-0.043718129,-0.051913693,-0.058162987
07/1970,0.0632938671,0.0730758894,0.0873582204
08/1970,0.0527056036,0.0479882392,0.053804135
09/1970,0.0459218102,0.0408019861,0.0708291363
10/1970,-0.065265973,-0.011197007,-0.00236711
11/1970,0.0454470997,0.0592154361,0.0400381361
12/1970,0.0526701884,0.0608355159,0.0834411604
01/1971,0.0598939197,0.0395584453,0.0553868602
02/1971,0.0175466089,0.0232302278,0.0224139974
03/1971,0.0457009068,0.0446226114,0.0477151834
04/1971,0.0278223293,0.0337448242,0.0425062954
05/1971,-0.037441819,-0.035676484,-0.034796932
06/1971,0.010804638,0.0017342307,-0.005702369
07/1971,-0.047340941,-0.036295739,-0.042868206
08/1971,0.0235761546,0.0382982297,0.0755884944
09/1971,-0.011644546,0.000179949,-0.005463867
10/1971,-0.037525514,-0.036505432,-0.055689867
11/1971,0.0033654398,0.0020249612,-0.017230353
12/1971,0.0812568129,0.0929536515,0.128052701
01/1972,0.0457465598,0.023688386,0.0272360617
02/1972,0.0290875169,0.0397877017,0.0272473216
03/1972,0.0034498466,0.0049226259,0.0264073134
04/1972,0.0075614656,0.0099295217,0.0016968889
05/1972,0.0131027471,0.0232419943,0.0027867162
06/1972,-0.008887423,-0.033370246,-0.036046663
07/1972,0.0100459512,-0.008854799,-0.025794206
08/1972,0.0224655966,0.0572395482,0.0329487957
09/1972,-0.014175308,-0.011106509,-0.002587758
10/1972,0.0196787994,-0.005518729,0.0085352075
11/1972,0.0419844032,0.0424847098,0.0665535152
12/1972,-0.017408166,0.0019873461,0.0320847472
01/1973,-0.017717202,-0.030711129,-0.060721639
02/1973,-0.041446236,-0.036089889,-0.0663028
03/1973,-0.010433067,-0.005388512,-0.006145088
04/1973,-0.051738875,-0.051556327,-0.05616017
05/1973,-0.026469299,-0.017135115,-0.047099045
06/1973,-0.005365715,-0.014513959,-0.020997206
07/1973,0.0407013938,0.0528829919,0.134151234
08/1973,-0.033242414,-0.028843994,-0.030726701
09/1973,0.0682057692,0.03238504,0.0753627418
10/1973,-0.00563158,-0.005976839,0.0076051399
11/1973,-0.098894991,-0.126150609,-0.16571823
12/1973,0.0096958067,0.023280613,0.0074660187
01/1974,-0.029072251,0.0116205915,0.0548273636
02/1974,0.0001350416,0.0127784114,-0.006910397
03/1974,-0.045348582,-0.018582432,-0.005114179
04/1974,-0.035395639,-0.043395956,-0.05999317
05/1974,-0.03285784,-0.042519878,-0.068954254
06/1974,-0.023446973,-0.017007006,-0.037375519
07/1974,-0.0719447,-0.072054735,-0.060400329
08/1974,-0.096888453,-0.092411983,-0.089392492
09/1974,-0.120454725,-0.125360816,-0.082968739
10/1974,0.1306766827,0.149226536,0.2139731953
11/1974,-0.030741023,-0.047626766,-0.047279159
12/1974,-0.030960307,-0.029593439,-0.035187578
01/1975,0.1086584898,0.1449208285,0.2531809877
02/1975,0.0356550864,0.0321662958,0.0775638896
03/1975,0.0241256021,0.0262593558,0.0515742802
04/1975,0.0575344579,0.0568266096,0.0395064649
05/1975,0.0446511387,0.0547111714,0.0969421356
06/1975,0.0455197759,0.049207268,0.069140725
07/1975,-0.054975045,-0.059706311,-0.069403314
08/1975,-0.030300132,-0.018122571,-0.025005597
09/1975,-0.034916159,-0.039594636,-0.048520535
10/1975,0.0521866831,0.052970269,0.0703220732
11/1975,0.0440048529,0.0199243103,0.0085148064
12/1975,-0.026437811,-0.014170257,0.0117755955
01/1976,0.1163637795,0.1259860167,0.1421846727
02/1976,0.0476441075,0.0067853217,-0.00939615
03/1976,0.0007949332,0.008960638,0.0448211533
04/1976,-0.017262125,-0.008938023,-0.00166727
05/1976,-0.005477255,-0.003352163,-0.019795629
06/1976,0.0492300842,0.0395151857,0.0499658585
07/1976,-0.018859922,0.0011730819,-0.000768351
08/1976,0.0073143504,-0.003826078,-0.013101519
09/1976,0.0251656316,0.0303572374,0.0153487976
10/1976,-0.026275913,-0.022937294,-0.015120374
11/1976,0.0184421341,-0.002099721,0.0053533269
12/1976,0.050943276,0.0551216592,0.0749980782
01/1977,-0.02963628,-0.030895602,-0.044879752
02/1977,-0.025748653,-0.015989087,-0.015253796
03/1977,-0.0064019,-0.01262982,-0.004317489
04/1977,0.0141817142,0.0043597746,0.0011361354
05/1977,-0.00903135,-0.007992086,-0.019302709
06/1977,0.0555404983,0.0525861125,0.0525528059
07/1977,-0.017502139,-0.007420236,-0.016502165
08/1977,-0.008990269,-0.016224703,-0.016634856
09/1977,-0.00513045,0.0003770211,0.0053838952
10/1977,-0.04669933,-0.036019363,-0.029942032
11/1977,0.0469301946,0.0378637168,0.0601063413
12/1977,0.011414677,-0.001242754,0.0129003205
01/1978,-0.057852756,-0.055054894,-0.048573209
02/1978,-0.0120375,-0.014154469,-0.009908035
03/1978,0.0470665769,0.0369230952,0.0264425765
04/1978,0.082578269,0.0840262444,0.0877920446
05/1978,0.0192637517,0.0286168082,0.0309505831
