date,p1,p2,p3
10/1973,-0.015598695,0.0675675645,-0.039701567
11/1973,-0.116979136,-0.142571295,-0.08661107
12/1973,-0.023664228,0.02261524,0.021958887
01/1974,0.0090248564,-0.000544946,-0.036065689
02/1974,-0.00989165,0.0077125438,-0.014693654
03/1974,-0.024227626,-0.002309505,-0.01877578
04/1974,-0.03283612,-0.020350316,-0.037780098
05/1974,-0.030914642,-0.023288843,-0.045953409
06/1974,-0.035162896,-0.002948199,-0.001154441
07/1974,-0.116927103,-0.053898169,-0.057596632
08/1974,-0.133402711,-0.07482277,-0.070957165
09/1974,-0.115991811,-0.146049756,-0.120123268
10/1974,0.1394703166,0.2362386226,0.1838034668
11/1974,-0.017706757,-0.053197275,-0.024470893
12/1974,-0.068110088,-0.033202092,-0.003669777
01/1975,0.2138160793,0.0953989046,0.0560159724
02/1975,0.0703658599,0.107620958,0.0854486677
03/1975,0.0064581659,-0.009752893,0.0441014806
04/1975,0.0589127835,0.0505558618,0.0516965913
05/1975,0.0575050405,0.0648833816,0.0403374109
06/1975,0.0425956196,0.0216071423,0.058381267
07/1975,-0.069076493,-0.072387314,-0.06958972
08/1975,0.0002275491,-0.015055683,-0.037318718
09/1975,-0.031159338,-0.006474671,-0.065709137
10/1975,0.029116769,0.0670575554,0.0714654661
11/1975,-0.000680129,0.0382234648,0.0403924331
12/1975,0.0086790871,-0.025880224,-0.024367434
01/1976,0.1031338829,0.1302169773,0.1469845902
02/1976,-0.008027665,-0.001073522,0.0028938976
03/1976,0.0399369373,0.0415024992,0.0207609566
04/1976,0.0043225827,-0.005155271,-0.018435962
05/1976,-0.005885963,0.0198391873,0.012428569
06/1976,0.058149219,0.0348463317,0.0583714332
07/1976,-0.016759591,0.0022926575,-0.011855687
08/1976,-0.00326215,-0.01836036,0.0063912199
09/1976,0.0293990922,0.0338065557,0.0250509143
10/1976,-0.031579148,-0.014960519,-0.02601188
11/1976,-0.005102835,-0.010398814,0.00954175
12/1976,0.0512663477,0.0749153405,0.044516524
01/1977,-0.033156346,-0.037727269,-0.042516222
02/1977,-0.019658443,-0.015758166,-0.005897416
03/1977,0.0014983439,-0.012972237,-0.004001791
04/1977,0.0154834465,0.0079629525,-0.016652067
05/1977,-0.028405101,-0.024762544,0.0033959524
06/1977,0.0188492848,0.0655023147,0.0521884478
07/1977,-0.035307979,-0.000353283,0.0023662663
08/1977,-0.035709104,-0.010047996,-0.037417394
09/1977,-0.012623695,0.0022299208,-0.004893236
10/1977,-0.029054089,-0.035810049,-0.032932391
11/1977,0.036425985,0.0307662265,0.0455231293
12/1977,-0.000521733,0.0170158172,0.0112188405
01/1978,-0.050827736,-0.058282711,-0.044001093
02/1978,-0.018615731,-0.028528701,-0.026543528
03/1978,0.0268754648,0.0285108509,0.0132959664
04/1978,0.0631665899,0.0996696772,0.1104221627
05/1978,0.0152054707,0.0049263381,0.0317839378
06/1978,-0.016113425,-0.020536823,-0.006705341
07/1978,0.0484842283,0.0644156664,0.0704944911
08/1978,0.0441255037,0.0377295508,0.0495934392
09/1978,0.008048449,-0.017788738,-0.00249325
10/1978,-0.094788719,-0.085587726,-0.091609917
11/1978,0.0307441915,0.0365923227,0.0307355663
12/1978,-0.000944682,0.0190552471,0.0424913324
01/1979,0.0540560099,0.0462618069,0.0364643745
02/1979,-0.019429892,-0.036658593,-0.026717145
03/1979,0.0701871438,0.0592294045,0.061717632
04/1979,0.0160655951,0.0131890483,0.0063558428
05/1979,-0.009301816,-0.016252627,-0.025184026
06/1979,0.0499476302,0.0211708686,0.0652951353
07/1979,0.0343514374,-0.007723694,0.0253056891
08/1979,0.0304085059,0.0507752718,0.0772394291
09/1979,-0.018601833,0.0011635652,0.0214362423
10/1979,-0.087451733,-0.053800493,-0.051338261
11/1979,0.0603180199,0.0419410246,0.0750923662
12/1979,0.0073573131,0.0314304826,0.0145009972
01/1980,0.0570691495,0.0435949305,0.09847208
02/1980,-0.032934848,-0.045398567,0.0729190665
03/1980,-0.11094462,-0.071848163,-0.132837273
04/1980,0.0369262002,0.0392786492,0.0577549909
05/1980,0.0600398653,0.0622880044,0.0413315232
06/1980,0.0347393022,0.0314164746,0.040511008
07/1980,0.0757313041,0.0628216924,0.0465018713
08/1980,0.0054551516,0.008803493,0.0136712281
09/1980,0.0097202827,0.0104718676,0.0621534158
10/1980,0.0052262118,0.0273174794,0.0403121476
11/1980,0.0780007735,0.1731928834,0.1121804901
12/1980,-0.033560977,-0.064453763,-0.004123157
01/1981,-0.009637988,-0.07610396,-0.047742527
02/1981,-0.010861842,0.0159338212,0.0260003024
03/1981,0.0134937943,0.026491385,0.0316865886
04/1981,-0.012411575,-0.047802571,-0.031855185
05/1981,-0.027795109,0.0069384512,0.0196822948
