date,p1,p2,p3
07/1963,-0.006048331,0.0096643842,0.00105971
08/1963,0.0515039689,0.0497833389,0.0669853662
09/1963,-0.014788831,-0.017742014,-0.019768264
10/1963,0.0240777323,0.0413842017,0.0203171826
11/1963,-0.001434503,-0.018659415,-0.014146242
12/1963,0.0280708958,0.0337921624,0.0109129407
01/1964,0.0275954155,0.0296436914,0.0202519719
02/1964,0.0124042602,0.018655682,0.0336284831
03/1964,0.0061271699,0.0219640415,0.0422885542
04/1964,0.0017801224,0.0075584521,-0.003471054
05/1964,0.0004365431,0.0232985581,0.026921337
06/1964,0.0138580819,0.0153352515,0.0068522154
07/1964,0.034708192,0.0220688635,0.0234331434
08/1964,-0.014171745,-0.007427237,-0.012075904
09/1964,0.0280670422,0.0302863297,0.0502746445
10/1964,0.0118985131,0.0127181024,0.0117165777
11/1964,0.0123196116,0.0093620806,-0.000823225
12/1964,0.0056260575,0.0025853727,-0.013225323
01/1965,0.0469330671,0.026242084,0.0451658537
02/1965,0.0043580385,0.0034142878,0.0080999984
03/1965,-0.01277503,-0.014638263,-0.000896957
04/1965,0.0300858956,0.0340027378,0.0538869969
05/1965,-0.006386144,-0.003178328,0.0004833026
06/1965,-0.040393636,-0.051338076,-0.083169312
07/1965,0.0094413769,0.0307741577,0.0413237025
08/1965,0.023203772,0.0399681729,0.0361712789
09/1965,0.0387052517,0.032117287,0.0427930784
10/1965,0.0236718183,0.0326747732,0.0574741012
11/1965,-0.0077255,0.0109772973,0.0300470881
12/1965,0.0051748731,0.0215196045,0.0169397464
01/1966,-0.007343618,0.0250310493,0.0457458697
02/1966,-0.026437977,-0.0044944,0.0188012717
03/1966,-0.019509442,-0.012820028,-0.017760058
04/1966,0.0244264091,0.0233382758,0.0376389389
05/1966,-0.040659514,-0.0616182,-0.089603579
06/1966,-0.023270905,-0.00268377,0.0224525851
07/1966,-0.013449825,-0.003840645,-0.009839144
08/1966,-0.073553538,-0.066432284,-0.088645436
09/1966,-0.010641445,0.0000975796,0.0005147499
10/1966,0.0429625168,0.0453235685,0.0487776212
11/1966,0.0450230275,-0.000650126,-0.000055487
12/1966,-0.003635986,0.0096987995,0.0001468368
01/1967,0.0911320199,0.0677644271,0.0721984259
02/1967,0.0200725414,0.0053644624,-0.004409245
03/1967,0.0420348239,0.036860732,0.0488049186
04/1967,0.051883846,0.0357898464,0.0455195828
05/1967,-0.047302689,-0.031993272,-0.027072416
06/1967,0.0121246554,0.0250730101,0.0632381378
07/1967,0.0491548091,0.063406024,0.077725354
08/1967,-0.006479481,-0.012038035,0.0030409263
09/1967,0.0397599589,0.0308807065,0.0296377245
10/1967,-0.015679634,-0.03705741,-0.041268177
11/1967,0.0175021629,-0.006576308,0.0080439895
12/1967,0.0232697215,0.0401191354,0.0462808127
01/1968,-0.055060126,-0.031414827,-0.039827448
02/1968,-0.032102654,-0.02603634,-0.041712803
03/1968,0.0176242541,-0.006732446,-0.003223923
04/1968,0.0993337779,0.0845738468,0.0951752271
05/1968,0.014587097,0.0342096138,0.021628215
06/1968,0.0033804757,0.0204583457,0.0036525432
07/1968,-0.035882734,0.0013649704,-0.006576351
08/1968,0.0112405051,0.0165372619,0.031127113
09/1968,0.0291133664,0.0496275776,0.0532665387
10/1968,-0.00927552,0.0214936198,0.0167059269
11/1968,0.067858381,0.0419697307,0.0673984191
12/1968,-0.043546878,-0.032408855,-0.013919947
01/1969,-0.021517037,-0.001827428,-0.006354085
02/1969,-0.044116136,-0.05005322,-0.063800688
03/1969,0.0354134484,0.0315828695,0.0454941323
04/1969,0.0252328685,0.0128839853,0.0083238711
05/1969,-0.005453392,0.0076944366,0.0112470109
06/1969,-0.04119207,-0.063973226,-0.086387781
07/1969,-0.059988107,-0.058763776,-0.072920516
