date,p1,p2,p3
07/1963,-0.000025337,0.0028251836,0.0025410458
08/1963,0.0435018383,0.0566292021,0.0659979146
09/1963,-0.019373868,-0.017829579,-0.0130306
10/1963,-0.001343038,0.0424309815,0.0460469181
11/1963,0.0013596662,-0.008054474,-0.027966619
12/1963,0.0263126243,0.0381664979,0.0060387854
01/1964,0.0190077256,0.0375846072,0.0211876226
02/1964,0.0147909263,0.0183403786,0.0297920869
03/1964,0.0053265263,0.0213098002,0.0367535868
04/1964,0.0143915274,0.0035798383,-0.010606011
05/1964,0.0020018454,0.0189651214,0.0282871899
06/1964,0.0209995901,0.0050434972,0.0165270166
07/1964,0.0329332119,0.0310212022,0.0111176608
08/1964,-0.009645006,-0.01364635,-0.006659664
09/1964,0.0299896527,0.0349433738,0.0359658481
10/1964,0.0155482042,0.0057849402,0.0131637001
11/1964,0.0092360128,0.0148898773,0.0004383151
12/1964,0.0024681605,0.0027104865,-0.00382723
01/1965,0.0400995819,0.0342488536,0.0488445669
02/1965,0.0046145155,0.0014416176,0.0138582452
03/1965,-0.014709533,-0.011495033,-0.003357097
04/1965,0.0286936246,0.0324177309,0.0577536729
05/1965,-0.006953254,-0.003160719,-0.00008592
06/1965,-0.036269866,-0.054906167,-0.071434851
07/1965,0.0088360171,0.0249093453,0.0365899504
08/1965,0.0167161672,0.0440600707,0.04467573
09/1965,0.0361378624,0.0362877439,0.0442103676
10/1965,0.01561879,0.0398085791,0.054539755
11/1965,-0.001861307,-0.005342222,0.0515403746
12/1965,0.0120995868,0.0132896151,0.008010356
01/1966,-0.00406113,0.0121855989,0.050479334
02/1966,-0.025089389,-0.01829924,0.0427367408
03/1966,-0.021522829,-0.015696323,-0.002094296
04/1966,0.0180345846,0.0334859912,0.0493915435
05/1966,-0.043704758,-0.056400483,-0.082797434
06/1966,-0.023497847,-0.008322965,0.0220097917
07/1966,-0.013685572,-0.006553679,-0.004445995
08/1966,-0.076236043,-0.068698197,-0.077203654
09/1966,-0.000479356,-0.009665471,-0.005995241
10/1966,0.0567744021,0.0492444995,0.0280053138
11/1966,0.0121919568,0.0019692333,0.0435163548
12/1966,0.0077594438,0.0030047998,-0.00458371
01/1967,0.0813781034,0.0756271638,0.0756507931
02/1967,-0.00456573,0.0053319822,0.0288740518
03/1967,0.0304065888,0.0457899076,0.0557596775
04/1967,0.044166961,0.0319616091,0.0710736059
05/1967,-0.046215577,-0.035441108,-0.034399234
06/1967,0.0022711208,0.0310960807,0.0604859401
07/1967,0.0545625566,0.0551741279,0.0714127671
08/1967,-0.008662935,-0.00294735,-0.007317747
09/1967,0.0330148241,0.0370660741,0.0410647058
10/1967,-0.038683449,-0.01697453,-0.01409383
11/1967,0.0138509466,0.0011599324,0.0129545757
12/1967,0.0302238072,0.0266844578,0.0562320246
01/1968,-0.035588432,-0.041593598,-0.053369615
02/1968,-0.03479468,-0.028638577,-0.033088664
03/1968,-0.009292386,0.0177006111,0.0091692526
04/1968,0.0748583292,0.0936913362,0.1217913654
05/1968,0.0055593053,0.0250510748,0.0445103815
06/1968,0.0193473816,0.0010082636,-0.001775596
07/1968,-0.027539351,-0.01550637,-0.023308949
08/1968,0.0102494261,0.0150839609,0.0348143369
09/1968,0.0427912343,0.0352011157,0.0523952663
10/1968,0.0101602103,0.0027902794,0.0100009874
11/1968,0.0678717252,0.0450162745,0.0637796451
12/1968,-0.044916749,-0.025499558,-0.021350155
01/1969,-0.014559527,-0.005974783,-0.012846181
02/1969,-0.045897001,-0.047073324,-0.068382443
03/1969,0.0254830439,0.0414755561,0.0505330987
04/1969,0.0187563426,0.0124609017,0.0225259705
05/1969,-0.010326999,0.0115796797,0.0117028018
06/1969,-0.085735375,-0.041573946,-0.075136195
07/1969,-0.073412559,-0.055633706,-0.067559139
08/1969,0.0507937968,0.0335413192,0.0584435421
09/1969,-0.038685927,-0.037203188,-0.014379996
10/1969,0.0728330229,0.0476160768,0.0507396954
11/1969,-0.048348139,-0.044292704,-0.020660716
12/1969,-0.034801673,-0.026721917,0.0047128919
01/1970,-0.100989431,-0.077888213,-0.067520336
02/1970,0.0657534029,0.0568088134,0.0510926798
03/1970,-0.004590493,0.0131299005,-0.018633325
04/1970,-0.101891288,-0.102057777,-0.097093376
05/1970,-0.044650597,-0.063434798,-0.0700114
06/1970,-0.090505291,-0.047119838,-0.024486748
07/1970,0.0863873322,0.0570206381,0.0777958487
08/1970,0.0739594889,0.0464313935,0.0451825353
09/1970,0.0769770485,0.0577668294,0.0223127064
