date,p1,p2,p3
07/1963,0.0032911742,0.0010073239,-0.003965941
08/1963,0.042391531,0.0692261315,0.0613278722
09/1963,-0.022518862,-0.012906035,-0.003262899
10/1963,0.0224437777,0.0407993476,0.0277692149
11/1963,-0.002053954,-0.024661165,-0.010721377
12/1963,0.0347065261,0.0164517257,0.0106439653
01/1964,0.0354043046,0.0179888299,0.013004885
02/1964,0.0145904629,0.0236213251,0.0328956193
03/1964,0.0186350912,0.0214216514,0.0269052107
04/1964,0.0012908417,0.0016796338,0.0181882317
05/1964,0.0101474061,0.0194723089,0.0322109571
06/1964,0.0085004676,0.017360022,0.0209698911
07/1964,0.0285473407,0.0267506594,0.0153845538
08/1964,-0.012782192,-0.012295436,-0.000581762
09/1964,0.0339243823,0.0308177132,0.0316766713
10/1964,0.0172209781,0.0052918218,0.0128296878
11/1964,0.0198619411,-0.002720288,-0.001588827
12/1964,0.003715611,0.0015298764,-0.005878108
01/1965,0.0256927035,0.0529128801,0.0492472029
02/1965,0.0010288991,0.0034067834,0.0251612091
03/1965,-0.018747658,-0.004195768,-0.006351413
04/1965,0.0225055089,0.0437042107,0.0502099757
05/1965,-0.000977171,-0.00877265,-0.00455643
06/1965,-0.040089351,-0.052548734,-0.067501912
07/1965,0.0143740581,0.0269444878,0.0131689687
08/1965,0.0236993378,0.0426731546,0.0269051401
09/1965,0.0439373423,0.0273829079,0.0271099532
10/1965,0.028508698,0.0351839205,0.0358973626
11/1965,-0.005245557,0.0211216851,0.0135209274
12/1965,0.012872603,0.003627508,0.027514688
01/1966,0.003457538,0.0190991753,0.0134155462
02/1966,-0.024007642,-0.004518394,0.0115482258
03/1966,-0.022063366,-0.007859852,-0.021037025
04/1966,0.0247182228,0.0270282797,0.0275001426
05/1966,-0.05437061,-0.044432821,-0.061840379
06/1966,-0.018136321,-0.005047851,-0.004729118
07/1966,-0.014385513,-0.004435588,-0.006100639
08/1966,-0.081477784,-0.065963227,-0.064108716
09/1966,-0.004655282,-0.004894242,-0.004027504
10/1966,0.0533473878,0.0412656992,0.0239265523
11/1966,0.0044376536,0.0478261778,0.0009126816
12/1966,0.0053681462,-0.000238726,-0.005650209
01/1967,0.0655040722,0.0791486906,0.1224643475
02/1967,-0.000165411,0.0252621651,0.0048510622
03/1967,0.0324894893,0.0524620783,0.0486677029
04/1967,0.0439995163,0.0500765222,0.0458821602
05/1967,-0.047257867,-0.036175455,-0.028150108
06/1967,0.0038536037,0.0406757937,0.0398044618
07/1967,0.0512767803,0.0598083073,0.061943533
08/1967,-0.007439199,-0.009517274,0.005397144
09/1967,0.0312168227,0.0408493127,0.0364097398
10/1967,-0.032067643,-0.016897444,-0.032435914
11/1967,0.0058003104,0.0109718501,0.0047510151
12/1967,0.0213098591,0.0408988518,0.0396373416
01/1968,-0.041679094,-0.051127401,-0.01235132
02/1968,-0.027972878,-0.035215322,-0.031309547
03/1968,-0.0011768,0.01542191,0.0053299826
04/1968,0.073520375,0.1062337294,0.1201132199
05/1968,0.0060605194,0.0320041727,0.0451606827
06/1968,0.0185563574,0.0006381076,0.000040049
07/1968,-0.028823327,-0.017459428,-0.014699514
08/1968,0.0127968959,0.0151341027,0.0264178885
09/1968,0.0421962726,0.0295572659,0.0679546252
10/1968,0.0032966628,0.0033437565,0.0192562463
11/1968,0.0699393913,0.0493354822,0.0592310814
12/1968,-0.036956732,-0.03428565,-0.025609293
01/1969,-0.004613779,-0.017413613,-0.008395835
02/1969,-0.058929595,-0.03949106,-0.061372581
03/1969,0.0208355803,0.0447337138,0.0445876587
04/1969,0.0199222023,0.0143289755,0.0206645316
05/1969,-0.006468143,0.0105806702,0.0053225544
06/1969,-0.075673228,-0.043603592,-0.082657219
07/1969,-0.069293773,-0.059729743,-0.068196582
08/1969,0.0447331387,0.0550844564,0.0446630238
09/1969,-0.036349483,-0.021615124,-0.019076386
10/1969,0.0637440771,0.0467259738,0.0562426416
