date,p1,p2,p3
07/1963,0.0008064657,0.0078231602,-0.00836404
08/1963,0.052518695,0.048604819,0.065758661
09/1963,-0.020487947,-0.012013858,-0.013617547
10/1963,0.0370963238,0.0166462692,0.0204148773
11/1963,-0.012778887,-0.006329435,-0.00936831
12/1963,0.0227621619,0.0339181626,0.0214285775
01/1964,0.0263848073,0.030582024,0.0223493636
02/1964,0.0163254879,0.018472627,0.0367868391
03/1964,0.0108999236,0.0326493509,0.0351166319
04/1964,0.001747449,0.0051095457,0.0062976893
05/1964,0.0145556643,0.0132544401,0.0267336396
06/1964,0.0117801965,0.0113040819,0.0213190478
07/1964,0.0286170896,0.0237242744,0.0200757169
08/1964,-0.013746582,-0.008657999,-0.003632486
09/1964,0.0274663193,0.0408436974,0.0405156322
10/1964,0.0119839486,0.0126497893,0.0106092123
11/1964,0.012030064,0.0092856084,-0.011778568
12/1964,0.0061051344,0.0003610915,-0.019641398
01/1965,0.038045529,0.034960948,0.0515563881
02/1965,0.0006329801,0.0091288428,0.016955455
03/1965,-0.012580171,-0.01368978,-0.001949185
04/1965,0.0326563699,0.0346037371,0.0393552722
05/1965,-0.005524103,-0.00263354,-0.003329138
06/1965,-0.042867722,-0.057361898,-0.056010611
07/1965,0.0142659914,0.0187000254,0.0361371214
08/1965,0.0273185372,0.0374763251,0.0227174527
09/1965,0.0428915541,0.0232716333,0.0394336465
10/1965,0.027351331,0.0318673261,0.0515415725
11/1965,-0.000356693,0.0132659213,0.0107618428
12/1965,0.006786354,0.0166899459,0.0267285685
01/1966,0.0008006672,0.0149861644,0.0402102602
02/1966,-0.016759269,-0.014240781,0.0000849101
03/1966,-0.016642425,-0.016339535,-0.026366179
04/1966,0.0283996633,0.0190728111,0.027029287
05/1966,-0.04598228,-0.0577802,-0.071104644
06/1966,-0.017882695,-0.009775696,0.0087714458
07/1966,-0.012740181,-0.007018503,-0.005978737
08/1966,-0.075660918,-0.070341411,-0.07435931
09/1966,-0.008135757,0.0029905261,-0.008400094
10/1966,0.0365895703,0.0612447189,0.0433517971
11/1966,0.0376669332,-0.003537455,-0.007295066
12/1966,-0.001412996,0.0063386487,0.0058282842
01/1967,0.0758602904,0.0633540272,0.1198521804
02/1967,0.0206879689,-0.005215281,-0.004315813
03/1967,0.0410166952,0.0408397451,0.0469771109
04/1967,0.0576981636,0.0305492104,0.0346057165
05/1967,-0.047410622,-0.033827563,-0.02733103
06/1967,0.0204346305,0.0166794582,0.0403115421
07/1967,0.0476957008,0.063764348,0.0695856937
08/1967,-0.008592974,-0.008711532,0.0059123871
09/1967,0.0409609551,0.0307917163,0.0283294455
10/1967,-0.011371816,-0.03892057,-0.050103406
11/1967,0.0138937041,0.0046690496,-0.009697239
12/1967,0.0236734762,0.0364532306,0.0531018018
01/1968,-0.061737009,-0.019675424,-0.013909427
02/1968,-0.035316969,-0.021969501,-0.03900067
03/1968,0.0171626858,-0.003167279,-0.008938129
04/1968,0.105646317,0.0669539318,0.108536485
05/1968,0.0264966071,0.0122060936,0.0306621195
06/1968,-0.001316256,0.0243035826,0.0084879215
07/1968,-0.046247272,-0.000797302,0.0054722036
08/1968,0.0134233049,0.0153748405,0.0252695965
09/1968,0.0328272789,0.0418083453,0.0601237576
10/1968,-0.01290781,0.0224130971,0.02281647
11/1968,0.0688066083,0.0471079445,0.054769462
12/1968,-0.043392766,-0.030029875,-0.017057179
01/1969,-0.020074483,-0.000407584,-0.009532693
02/1969,-0.051040028,-0.043819491,-0.06223685
03/1969,0.0357774336,0.0356362062,0.0384928895
04/1969,0.0296523141,0.007751541,0.00647023
05/1969,-0.004710684,0.0082681039,0.0141504606
06/1969,-0.03856637,-0.078135282,-0.088895024
07/1969,-0.053163222,-0.075501149,-0.071576633
08/1969,0.0659217314,0.0346319159,0.0379694358
09/1969,-0.006783975,-0.03473237,-0.046682827
10/1969,0.0637328163,0.0530380704,0.0353773826
11/1969,-0.023693651,-0.034615928,-0.051358517
12/1969,-0.003717069,-0.019079157,-0.029270736
01/1970,-0.077606634,-0.085399106,-0.072843767
02/1970,0.0391646777,0.0798582088,0.0634841452
03/1970,-0.02210278,0.0134804499,0.011467563
04/1970,-0.113424002,-0.099490084,-0.077999234
05/1970,-0.079110327,-0.056352035,-0.030827814
06/1970,-0.054409379,-0.039394114,-0.048017804
07/1970,0.0490151097,0.0939323266,0.0813768582
08/1970,0.0429652589,0.056955278,0.0607719598
09/1970,0.0735694356,0.0166600422,0.0349523404
10/1970,-0.01035167,-0.011014075,-0.023786564
11/1970,0.0442468652,0.0567711884,0.0565971767
12/1970,0.0546326659,0.0653068668,0.0661132676
01/1971,0.0464992946,0.0341035043,0.0607138363
02/1971,0.0288896596,0.0135703338,0.0182253585
03/1971,0.0575698891,0.0347359737,0.0233295286
04/1971,0.0357962808,0.0339341764,0.0421067975
05/1971,-0.02811568,-0.040601401,-0.046156994
06/1971,0.0089208665,-0.004208348,-0.003026017
07/1971,-0.046986427,-0.032255899,-0.054947708
08/1971,0.0560153927,0.0046701331,0.0688762992
09/1971,0.0037515097,-0.014476268,-0.023819437
10/1971,-0.040235289,-0.035612762,-0.051308002
11/1971,0.0043734034,-0.006370262,-0.015348671
12/1971,0.0927829403,0.0920461385,0.0980360016
01/1972,0.0300697115,0.0110118251,0.0564041617
02/1972,0.0445579212,0.01956697,0.0186009126
03/1972,0.0193093089,-0.022829535,-0.001928723
04/1972,0.0102975703,-0.005415065,0.0120268163
05/1972,0.0223712888,0.0162405807,-0.005693644
06/1972,-0.010045224,-0.024134037,-0.04854637
07/1972,0.0039767173,-0.013182324,-0.017767065
08/1972,0.0131488354,0.0595677632,0.0707009396
09/1972,-0.009391315,-0.007631361,-0.021499223
10/1972,0.0059003764,0.0142642178,0.0108329499
11/1972,0.027602163,0.0711130622,0.0971599723
12/1972,0.0261015684,-0.004603052,-0.016271927
01/1973,-0.025759026,-0.019867468,-0.013638809
02/1973,-0.031504205,-0.052132153,-0.051094417
03/1973,-0.009667012,0.0050496261,0.004775151
04/1973,-0.059338067,-0.024519866,-0.026425374
05/1973,-0.013215093,-0.022381093,-0.044102666
06/1973,-0.011597012,-0.012138093,-0.01258654
07/1973,0.0675343632,0.0193059821,0.0571033063
08/1973,-0.034945588,-0.030196624,-0.018857775
09/1973,0.0285158198,0.0785805438,0.0979572084
10/1973,0.0020603241,0.0037274555,0.0090353968
11/1973,-0.120828519,-0.123793365,-0.127427769
12/1973,-0.016419749,0.051629623,0.0534070055
01/1974,-0.010139562,-0.005568762,0.0541650422
02/1974,-0.007555701,0.0027454829,0.021279359
03/1974,-0.016135232,-0.023841973,-0.022189592
04/1974,-0.029867416,-0.05706818,-0.041840774
05/1974,-0.02337921,-0.04421212,-0.067185126
06/1974,-0.012162178,-0.020268232,-0.013488014
07/1974,-0.085221826,-0.030301815,-0.031663618
08/1974,-0.098064198,-0.070097514,-0.065787913
09/1974,-0.138203787,-0.068335844,-0.072168691
10/1974,0.2030130228,0.1013153834,0.0847795667
11/1974,-0.042339705,-0.030184968,-0.0428952
12/1974,-0.033185044,-0.016830597,-0.035755716
01/1975,0.105728425,0.1977372452,0.2317366909
02/1975,0.0906253428,0.0232605055,0.034183713
03/1975,0.0307208473,0.0264413218,0.0685724153
04/1975,0.0611515316,0.0266512712,0.0600067785
05/1975,0.061968142,0.0587335775,0.0298606028
06/1975,0.0432787768,0.0741851114,0.0742806706
07/1975,-0.071917296,-0.039011737,-0.034979317
08/1975,-0.018377045,-0.01795797,-0.02393896
09/1975,-0.0373531,-0.022920601,-0.036437632
10/1975,0.0622417382,0.059154097,0.0491722859
11/1975,0.0263032994,0.0301896044,0.0421132671
12/1975,-0.018577408,-0.001980529,0.0061682103
01/1976,0.1145246904,0.1407634857,0.1961330619
02/1976,-0.015690368,0.023470691,0.0616378043
03/1976,0.0311390235,0.0287367223,0.0192072294
04/1976,-0.016319944,0.0064146723,-0.007029753
05/1976,-0.002977886,-0.013940238,-0.024920837
06/1976,0.0433970918,0.0468132379,0.0466765732
07/1976,-0.013046796,-0.001154105,0.0013404704
08/1976,-0.005680334,0.0062994513,-0.014022064
09/1976,0.0263870666,0.0335972546,0.0253684897
10/1976,-0.026345997,-0.019197164,-0.02861739
11/1976,-0.005815261,0.0228011036,0.0266802642
12/1976,0.0493467539,0.0721707285,0.0817893398
01/1977,-0.05672785,-0.004962151,0.0029188244
02/1977,-0.017303046,-0.021390936,-0.008372554
03/1977,-0.014629843,-0.001535066,0.0023532103
04/1977,-0.007005131,0.0177758535,0.0293547687
05/1977,-0.018509499,-0.004040848,-0.006826765
06/1977,0.0568026689,0.0435480945,0.0486784309
07/1977,-0.019078445,-0.005362374,-0.014915408
08/1977,-0.002785416,-0.028885451,-0.037290961
09/1977,-0.005391635,0.0053730196,0.0044876223
10/1977,-0.040668441,-0.031111053,-0.026618463
11/1977,0.042079524,0.0499971503,0.0513574496
12/1977,0.008376098,0.0054268544,0.0086168726
01/1978,-0.060427662,-0.051789933,-0.036077109
02/1978,-0.022937336,0.0010624534,-0.003298266
03/1978,0.0254246551,0.0415573147,0.0454226884
04/1978,0.1032858803,0.0600097832,0.0574038628
05/1978,0.0238715058,0.0236723255,0.0323097834
06/1978,-0.014946305,-0.006237794,-0.013613934
07/1978,0.0684821824,0.0511276218,0.0543387416
08/1978,0.0439561255,0.0461658903,0.0348457017
09/1978,-0.024834109,0.0076781889,0.0032402567
10/1978,-0.114316501,-0.106884951,-0.128557277
11/1978,0.0355579296,0.037035373,0.0399694108
12/1978,0.0326087531,0.0097551143,-0.003394567
01/1979,0.0395572557,0.0549975461,0.0747591492
02/1979,-0.034132911,-0.026760283,-0.023085133
03/1979,0.0620841443,0.0641990076,0.0733780516
04/1979,0.0045559403,0.0131543699,0.0118508798
05/1979,-0.019416073,-0.017234243,-0.015050956
06/1979,0.0318559074,0.0537434978,0.0499058933
07/1979,0.0048522414,0.0228076167,0.0298471081
08/1979,0.0690926574,0.062926814,0.0606614239
09/1979,-0.007060031,0.0212875813,-0.002833914
10/1979,-0.068929207,-0.058675596,-0.083690079
11/1979,0.0643499693,0.0600276617,0.0538816939
12/1979,0.0366836189,0.0153774644,0.0309874681
01/1980,0.0574670062,0.0831801392,0.0821508323
02/1980,-0.025132535,0.0368207862,0.0113359118
03/1980,-0.105878866,-0.131816309,-0.139156002
04/1980,0.0391185469,0.0590533975,0.0530192958
05/1980,0.0589568133,0.0552431884,0.0607900686
06/1980,0.0339366845,0.0390388016,0.0236002226
07/1980,0.0982119424,0.0570368568,0.0513516484
08/1980,0.0244273556,0.0230259937,0.0154354754
09/1980,0.0444928813,0.0285317192,0.0025989044
10/1980,0.0279424465,0.0415221862,0.002657978
11/1980,0.133444535,0.134505227,0.0661810557
12/1980,-0.041507345,-0.047014706,-0.027580532
01/1981,-0.0600422,-0.044472589,-0.008078496
02/1981,0.0207409849,0.0110175799,0.0184944467
03/1981,0.0448917533,0.0259015562,0.0635008735
04/1981,-0.026841599,-0.01522496,0.0011560351
05/1981,0.0074740449,-0.007747233,0.0180805749
06/1981,-0.032037294,0.0206832618,0.0066036581
07/1981,0.0058512094,0.0030030811,-0.012857363
08/1981,-0.068814283,-0.058221265,-0.04097709
09/1981,-0.067066218,-0.073061578,-0.043057312
10/1981,0.0733665994,0.0459611754,0.0343705035
11/1981,0.042578388,0.047128352,0.0483637521
12/1981,-0.026020079,-0.027489547,-0.019295865
01/1982,-0.02621365,-0.033131873,-0.006943602
02/1982,-0.073702781,-0.034275298,-0.006590818
03/1982,-0.017440365,-0.005832826,0.0195387102
04/1982,0.0572018246,0.0403836627,0.0439965578
05/1982,-0.029317906,-0.019212774,-0.018303328
06/1982,-0.031764522,-0.00662367,-0.006950326
07/1982,-0.006242263,-0.041008555,-0.023326985
08/1982,0.1069231184,0.1284410973,0.130230899
09/1982,0.0170690681,0.0184125137,0.0018437676
10/1982,0.1229671821,0.097988507,0.1103324989
11/1982,0.0697248117,0.0239341724,0.0454245485
12/1982,0.0163126001,0.0194987346,0.0286020004
01/1983,0.0434176602,0.0399286797,0.0392571311
02/1983,0.0298226397,0.0330290893,0.0312670142
03/1983,0.0196589407,0.0461705129,0.0343402531
04/1983,0.0671753465,0.0806745355,0.069554421
05/1983,0.0122850259,0.0144041553,0.0132117759
