date,p1,p2,p3
07/1963,-0.000727091,0.0091790728,-0.00921991
08/1963,0.0528725329,0.0526118053,0.0552700052
09/1963,-0.020091544,-0.013240538,-0.013223626
10/1963,0.0380613451,0.0179375051,0.0139315756
11/1963,-0.01295213,-0.008647672,-0.002763546
12/1963,0.0237559495,0.0308816322,0.022379019
01/1964,0.0316842385,0.0166691313,0.0253314209
02/1964,0.0181208069,0.0185239026,0.0306540727
03/1964,0.014738024,0.0275188143,0.038101851
04/1964,-0.001502244,0.0114079115,0.0103456297
05/1964,0.0166043259,0.0129699677,0.0184565126
06/1964,0.0087145084,0.0163693087,0.02711977
07/1964,0.0280180901,0.023532649,0.0229976022
08/1964,-0.015180917,-0.006409709,-0.004811581
09/1964,0.0273976883,0.0399153747,0.0404897192
10/1964,0.0104676117,0.0147958337,0.0110649373
11/1964,0.0123551614,0.0104694405,-0.015934626
12/1964,0.0066089523,-0.002698447,-0.015769851
01/1965,0.0377907011,0.0350982557,0.0522290342
02/1965,0.0044364054,0.0010640851,0.0177653932
03/1965,-0.010711997,-0.01737211,-0.00079292
04/1965,0.0355659361,0.0300551407,0.0339287822
05/1965,-0.008648478,0.003698602,-0.006208655
06/1965,-0.049191813,-0.046876138,-0.048121554
07/1965,0.0180248714,0.0132411708,0.0321595411
08/1965,0.0332604312,0.0240079215,0.0272179595
09/1965,0.0427977134,0.02828042,0.0342051927
10/1965,0.0315674709,0.024826992,0.0478470489
11/1965,0.0040631053,0.0030875918,0.0100126961
12/1965,0.0052552955,0.013785772,0.0346924129
01/1966,0.0075507092,0.0023686887,0.0305095123
02/1966,-0.007621251,-0.024131307,-0.015388074
03/1966,-0.01375267,-0.024790679,-0.017330016
04/1966,0.030019439,0.0268436611,0.0088583674
05/1966,-0.053749869,-0.051004982,-0.04957064
06/1966,-0.00977355,-0.022335221,-0.002743005
07/1966,-0.011300002,-0.009012584,-0.007777719
08/1966,-0.076268805,-0.073809748,-0.065698517
09/1966,-0.006972014,0.0010136607,-0.007798926
10/1966,0.0343743061,0.0672771322,0.0386027286
11/1966,0.035957639,-0.002607389,-0.008401882
12/1966,-0.000873801,0.0020978975,0.0144740801
01/1967,0.0661559974,0.0701894482,0.1446403169
02/1967,0.026149235,-0.007217265,-0.007627587
03/1967,0.041278764,0.0408242624,0.0450906904
04/1967,0.0516589032,0.0410222995,0.0408462619
05/1967,-0.04273414,-0.038100294,-0.039351425
06/1967,0.0282308845,0.0140279953,0.0212464879
07/1967,0.0476843839,0.0623599608,0.0651271084
08/1967,-0.007999412,-0.009536079,0.0025077575
