date,dist_ma,div_ma,divma_ma,dist_cma,div_cma,divma_cma,vwret,vwretx,n,totalme,avgme,bm,bmc,dist,div,divma,dist_c,div_c,divma_c,dp_dist,dp_div,dp_divma,dpc_dist,dpc_div,dpc_divma
05/1960,8298624.8948,8020990.2663,8024361.4956,8237817.2693,7960182.6408,7963553.8701,0.0342769441,0.0291111871,1073,226335748,211925,0.6793260744,0.6437772697,1231416.0367,1227239.433,1227239.433,1227983.0117,1223806.408,1223806.408,0.0366651092,0.0354384597,0.0354533545,0.036396448,0.0351697985,0.0351846933
06/1960,8304959.9514,7964117.9682,7967489.1975,8245227.8101,7904385.8269,7907757.0562,0.025177464,0.022914259,1079,233261181,217798,0.6617792123,0.6387791047,515263.18576,446027.34995,446027.34995,510990.11995,441754.28415,441754.28415,0.035603695,0.0341424918,0.0341569444,0.0353476209,0.0338864177,0.0339008703
07/1960,8307722.9101,7956732.1027,7960103.332,8249874.3569,7900372.4077,7903743.637,-0.023680924,-0.024721949,1085,238850137,221568,0.6944642183,0.6654285303,296237.84717,280704.37226,280704.37226,290843.82083,276799.20409,276799.20409,0.0347821567,0.0333126545,0.0333267689,0.0345399607,0.0330766919,0.0330908063
08/1960,8436542.1427,8087049.598,8090420.8273,8381984.2493,8033980.5628,8037351.7921,0.0290713665,0.0236650069,1089,233300860,216019,0.711972648,0.6833523097,1236610.3689,1236610.3689,1236610.3689,1229937.5341,1229937.5341,1229937.5341,0.0361616418,0.0346636082,0.0346780583,0.0359277898,0.0344361378,0.0344505879
09/1960,8437609.6489,8084886.4684,8088257.6977,8381357.0956,8031034.8543,8034406.0836,-0.057981921,-0.059804358,1092,238850496,220139,0.6974413189,0.6689357062,439282.99847,432451.90488,432451.90488,432978.33124,427059.31869,427059.31869,0.0353259039,0.0338491509,0.0338632653,0.0350903902,0.0336236893,0.0336378037
10/1960,8380416.7087,8127922.9707,8131294.2,8325036.9412,8074944.1425,8078315.3718,-0.006188989,-0.00756102,1093,225158828,206189,0.7395158256,0.7095590733,437728.13929,432938.87961,432938.87961,432838.58559,428049.32591,428049.32591,0.0372200228,0.03609862,0.0361135927,0.0369740641,0.0358633246,0.0358782973
11/1960,8354284.0699,8100596.7813,8103968.0106,8299286.39,8048000.0406,8051371.2699,0.0488201699,0.0426134062,1091,223474668,205211,0.7415719006,0.7108126448,1289496.5732,1273841.8457,1273841.8457,1281847.7899,1266193.0624,1266193.0624,0.0373835843,0.0362483894,0.0362634749,0.0371374817,0.0360130306,0.0360281161
12/1960,8330846.6329,8078574.5445,8080114.5444,8272531.8696,8022660.7204,8024200.7204,0.0435382816,0.0416545384,1092,233024836,213981,0.71073532,0.6842327761,445136.07074,441366.07078,442906.07074,439340.63,435570.63003,437110.63,0.0357508958,0.0346682984,0.0346749071,0.0355006446,0.0344283505,0.0344349592
01/1961,8530416.8932,8267559.3819,8269099.3819,8470806.3072,8210349.7351,8211889.7351,0.0634846214,0.0621733702,1093,245637411,226394,0.6764242732,0.7465095144,514241.33255,503655.90979,503655.90979,510350.90979,499765.48704,499765.48704,0.0347276779,0.0336575741,0.0336638435,0.0344850007,0.0334246713,0.0334309407
02/1961,8336916.8982,8196177.5492,8197717.5492,8270697.9241,8132359.5143,8133899.5143,0.0406649603,0.0362335318,1093,261193639,239408,0.6387384876,0.7162012616,1139937.2644,1135787.6887,1135787.6887,1127091.2089,1122941.6332,1122941.6332,0.0319185296,0.0313796981,0.0313855941,0.0316650051,0.0311353659,0.0311412619
