date,dy1,dy2,dy5,dy7
12/2004,-0.129106,-0.087957,-0.036644,-0.037314
01/2005,-0.135862,-0.093911,-0.038936,-0.036057
02/2005,-0.104326,-0.075074,-0.028829,-0.0298
03/2005,-0.113977,-0.074015,-0.029185,-0.028375
04/2005,-0.121336,-0.084775,-0.035516,-0.032286
05/2005,-0.113962,-0.077431,-0.036152,-0.030576
06/2005,-0.104631,-0.075631,-0.03621,-0.032163
07/2005,-0.129314,-0.085431,-0.041919,-0.037209
08/2005,-0.11624,-0.079348,-0.042353,-0.03744
09/2005,-0.145583,-0.093267,-0.047809,-0.043228
10/2005,-0.171925,-0.106215,-0.053679,-0.048847
11/2005,-0.139122,-0.091573,-0.051714,-0.047993
12/2005,-0.1577,-0.106341,-0.058398,-0.054147
01/2006,-0.159296,-0.128501,-0.081283,-0.069988
02/2006,-0.163189,-0.132914,-0.094171,-0.078864
03/2006,-0.172351,-0.130842,-0.09715,-0.08763
04/2006,-0.157646,-0.120108,-0.09185,-0.084455
05/2006,-0.13087,-0.100606,-0.082046,-0.077719
06/2006,-0.114461,-0.080263,-0.069235,-0.06638
07/2006,-0.128554,-0.084454,-0.072102,-0.06619
08/2006,-0.109683,-0.070865,-0.064052,-0.061067
09/2006,-0.113846,-0.065804,-0.06321,-0.057989
10/2006,-0.114556,-0.065462,-0.05547,-0.056055
11/2006,-0.096684,-0.060089,-0.05298,-0.051549
12/2006,-0.117573,-0.059093,-0.056228,-0.055024
01/2007,-0.110499,-0.061843,-0.056926,-0.055808
02/2007,-0.098739,-0.066619,-0.06256,-0.059217
03/2007,-0.101741,-0.076841,-0.065944,-0.063059
04/2007,-0.117738,-0.090166,-0.073887,-0.071497
05/2007,-0.09982,-0.079953,-0.075446,-0.074282
06/2007,-0.089337,-0.082236,-0.071493,-0.069011
07/2007,-0.101262,-0.086545,-0.07185,-0.064866
08/2007,-0.100661,-0.073631,-0.051064,-0.051417
09/2007,-0.079385,-0.064124,-0.052129,-0.050899
10/2007,-0.078373,-0.065685,-0.055683,-0.051287
11/2007,-0.0228,-0.02702,-0.043113,-0.043244
12/2007,-0.009232,-0.029593,-0.037733,-0.034466
01/2008,0.041758,0.018779,-0.009131,-0.014613
02/2008,0.010055,0.002186,-0.012822,-0.011839
03/2008,0.034758,0.009924,-0.006286,-0.006726
04/2008,0.021806,0.00341,-0.003148,-0.007132
05/2008,-0.018993,-0.011155,-0.017062,-0.014397
06/2008,0.022158,0.005416,-0.002593,-0.005072
