date,FBY01,FBY02,FBY03,FBY04,FBY05,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20
01/1964,3.7789254948,3.8983291005,3.9422263206,3.9455548509,3.9882946556,3.5166,3.7619,3.8962,3.9685,4.0123,4.0415,4.0624,,,,,,,,,,,,,
02/1964,3.9366119397,3.9865678963,4.0285327763,4.0158427719,4.0274396634,3.6469,3.9031,3.9913,4.0354,4.0618,4.0794,4.092,,,,,,,,,,,,,
03/1964,3.910453515,4.0763631932,4.1250493129,4.1420736603,4.0682684002,3.7582,3.9989,4.0797,4.12,4.1443,4.1604,4.1719,,,,,,,,,,,,,
04/1964,3.782918699,3.9726886035,4.0399477442,4.0849915943,4.0791316549,3.6066,3.8582,3.988,4.0585,4.1013,4.13,4.1504,,,,,,,,,,,,,
05/1964,3.8322698825,3.93424961,3.9750306709,4.0321377872,3.9836295996,3.6202,3.8414,3.9479,4.0066,4.0428,4.0672,4.0846,,,,,,,,,,,,,
06/1964,3.7795392952,3.7785039576,3.893532528,3.9697585828,3.9794966833,3.5495,3.7753,3.8886,3.9524,3.9922,4.019,4.0383,,,,,,,,,,,,,
07/1964,3.7485043287,3.653907974,3.8682402312,3.9731844358,4.0081583281,3.506,3.6705,3.7991,3.9007,3.9816,4.0468,4.0999,,,,,,,,,,,,,
08/1964,3.8130300123,3.7337627706,3.9022137688,3.9910159771,4.019834176,3.621,3.7632,3.8709,3.9535,4.0177,4.0683,4.1087,,,,,,,,,,,,,
09/1964,3.8973292318,3.7971951384,3.9354244975,3.9979716531,3.9931155186,3.6645,3.823,3.9179,3.9779,4.0179,4.0459,4.0663,,,,,,,,,,,,,
10/1964,3.8954319163,3.8670833458,3.9770586789,4.0040687413,4.0098405521,3.6923,3.8313,3.9189,3.9765,4.016,4.0442,4.065,,,,,,,,,,,,,
11/1964,4.214083042,4.0277850346,4.0941807038,4.081104764,4.0671983619,3.9341,4.0092,4.0525,4.0756,4.0895,4.0988,4.1054,,,,,,,,,,,,,
12/1964,4.0503037416,3.9279482787,3.9679681507,4.0021893562,4.0778553408,3.7492,3.894,3.9882,4.039,4.0697,4.0902,4.1049,,,,,,,,,,,,,
01/1965,4.0995064654,3.9383379726,3.9476618724,3.9824200597,4.0827029066,3.8099,3.867,3.9217,3.9739,4.0237,4.0709,4.1157,,,,,,,,,,,,,
02/1965,4.227039583,4.0452471774,4.0075727912,4.0104773544,4.1256410508,3.9235,3.9639,4.0025,4.0394,4.0747,4.1085,4.1408,,,,,,,,,,,,,
03/1965,4.1400878948,4.0264933546,4.0205445127,3.9979550356,4.1033458276,3.8379,3.9412,4.0177,4.0687,4.1028,4.1264,4.1436,,,,,,,,,,,,,
04/1965,4.0862236632,4.0137395934,4.0430569054,4.0214784451,4.1189377915,3.8289,3.9265,4.0026,4.0499,4.0801,4.1005,4.1152,,,,,,,,,,,,,
05/1965,4.1109087263,4.0469408508,4.0504508774,4.0224475546,4.1249217557,3.845,3.9261,4.0063,4.0555,4.0862,4.1069,4.1217,,,,,,,,,,,,,
06/1965,3.9764244463,3.9317456139,4.0008014944,4.02015014,4.0957723575,3.7565,3.8497,3.9512,4.0193,4.0636,4.0939,4.1156,,,,,,,,,,,,,
07/1965,4.0068138929,4.0049593882,4.0558314296,4.1180904819,4.1255634714,3.7997,3.9149,4.0079,4.0659,4.1027,4.1276,4.1454,,,,,,,,,,,,,
08/1965,4.1717927588,4.0867375891,4.1452187063,4.1621458857,4.1559646285,3.9189,4.029,4.1011,4.1403,4.1641,4.18,4.1914,,,,,,,,,,,,,
09/1965,4.3463617476,4.2401249877,4.2676562505,4.2706873171,4.2503230376,4.1534,4.1757,4.199,4.2231,4.2479,4.2732,4.299,,,,,,,,,,,,,
10/1965,4.3760321237,4.2670445164,4.2937569888,4.3516534644,4.3250332419,4.1158,4.1676,4.239,4.288,4.3201,4.342,4.3578,,,,,,,,,,,,,
11/1965,4.4364169272,4.2906777616,4.3980464633,4.4288203494,4.3974769046,4.2053,4.2749,4.3387,4.374,4.3955,4.4098,4.4201,,,,,,,,,,,,,
12/1965,4.8723099794,4.7948390944,4.8943060642,4.8808840604,4.772828897,4.7303,4.7495,4.7564,4.7598,4.7618,4.7632,4.7642,,,,,,,,,,,,,
01/1966,4.9198245168,4.8235841059,4.9056431704,4.9049200567,4.8236170717,4.6847,4.7647,4.7942,4.809,4.8178,4.8237,4.8279,,,,,,,,,,,,,
02/1966,4.9797868817,4.9067050411,4.9491572399,4.9940175383,4.9490160752,4.7023,4.8824,4.9451,4.9765,4.9953,5.0079,5.0168,,,,,,,,,,,,,
03/1966,4.9304757526,4.719230683,4.7312696369,4.7826941236,4.7292955816,4.6123,4.7046,4.7356,4.7512,4.7605,4.7667,4.7711,,,,,,,,,,,,,
04/1966,4.9765219711,4.8455872931,4.8667832756,4.8469254288,4.8022134739,4.7061,4.7665,4.7868,4.7969,4.803,4.807,4.8099,,,,,,,,,,,,,
05/1966,5.09037514,5.0107343846,4.9801770608,4.9941289026,4.8783863742,4.9142,4.9007,4.896,4.8936,4.8922,4.8912,4.8906,,,,,,,,,,,,,
06/1966,5.1063795197,5.071535173,5.1251548851,5.1161213814,5.0101214123,4.9267,4.9907,5.0121,5.0227,5.0291,5.0334,5.0364,,,,,,,,,,,,,
07/1966,5.2746985973,5.2116438715,5.2238752978,5.2357489765,5.1854220235,5.0286,5.1157,5.1546,5.1745,5.1864,5.1944,5.2001,,,,,,,,,,,,,
08/1966,5.9313658723,5.8404941384,5.7605443794,5.8035887055,5.5626494727,5.5301,5.5825,5.6006,5.6096,5.615,5.6186,5.6212,,,,,,,,,,,,,
09/1966,5.9834359943,5.3987326577,5.3920715648,5.3213273802,5.1502404027,5.3114,5.2903,5.2834,5.2799,5.2779,5.2765,5.2755,,,,,,,,,,,,,
10/1966,5.7003298525,5.2915987124,5.2387428368,5.2099054342,5.1134111147,5.2351,5.1844,5.1674,5.1589,5.1538,5.1504,5.148,,,,,,,,,,,,,
11/1966,5.4376989417,5.353934616,5.329153689,5.3114272739,5.1981797248,5.2314,5.2246,5.2266,5.2277,5.2283,5.2288,5.2291,,,,,,,,,,,,,
12/1966,4.9991781379,4.8028735785,4.8849283276,4.7390387797,4.6891012237,4.761,4.7349,4.7263,4.722,4.7194,4.7177,4.7165,,,,,,,,,,,,,
01/1967,4.611448226,4.4995039735,4.5654395013,4.6234101436,4.5538135476,4.3989,4.4753,4.5236,4.549,4.5643,4.5744,4.5817,,,,,,,,,,,,,
02/1967,4.6723063394,4.6405589129,4.7289764203,4.7145137575,4.6900981818,4.4843,4.6,4.6404,4.6606,4.6727,4.6808,4.6866,,,,,,,,,,,,,
03/1967,4.1288566943,4.1147904813,4.2388096313,4.3334226927,4.3672672818,3.9611,4.1057,4.2231,4.2912,4.3332,4.3612,4.3813,,,,,,,,,,,,,
04/1967,4.0629887076,4.3544594355,4.5147683107,4.6212765781,4.6358534001,3.9726,4.2194,4.4086,4.5271,4.6029,4.6542,4.6911,,,,,,,,,,,,,
05/1967,3.9716692432,4.3153034096,4.5120706316,4.5882068168,4.6844819806,4.0266,4.3161,4.4819,4.5772,4.6364,4.6762,4.7046,,,,,,,,,,,,,
06/1967,5.0473598814,4.9276963276,5.0551271887,5.1780409213,5.2588330047,4.745,5.0013,5.087,5.1299,5.1556,5.1728,5.185,,,,,,,,,,,,,
07/1967,5.1100335817,4.8765584679,4.9564604431,4.9759862152,5.0258387753,4.8471,4.9388,4.9691,4.9843,4.9934,4.9994,5.0038,,,,,,,,,,,,,
08/1967,5.2590456923,5.1411948382,5.216398282,5.1845389577,5.1921666436,4.9746,5.1324,5.1853,5.2117,5.2276,5.2381,5.2457,,,,,,,,,,,,,
09/1967,5.387600365,5.2042035656,5.2893041241,5.2973922774,5.220313022,5.0877,5.1921,5.227,5.2445,5.255,5.2619,5.2669,,,,,,,,,,,,,
10/1967,5.5335634612,5.5668455326,5.5303637488,5.5205077968,5.5686667763,5.2009,5.3755,5.4718,5.5282,5.5639,5.588,5.6054,,,,,,,,,,,,,
